Date,Value
2016-01-01,1.985
2016-01-04,2.195
2016-01-05,2.11
2016-01-06,2.085
2016-01-07,2.11
2016-01-08,2.225
2016-01-11,2.025
2016-01-12,2.05
2016-01-13,1.97
2016-01-14,1.98
2016-01-15,2.075
2016-01-18,2.015
2016-01-19,1.96
2016-01-20,2.035
2016-01-21,1.995
2016-01-22,2.065
2016-01-25,1.98
2016-01-26,1.945
2016-01-27,2.0
2016-01-28,2.095
2016-01-29,2.035
2016-02-01,2.115
2016-02-02,2.105
2016-02-03,2.1
2016-02-04,2.155
2016-02-05,2.09
2016-02-08,2.155
2016-02-09,2.1375
2016-02-10,2.16
2016-02-11,2.085
2016-02-12,1.965
2016-02-15,1.92
2016-02-16,2.055
2016-02-17,2.015
2016-02-18,2.095
2016-02-19,1.86
2016-02-22,2.08
2016-02-23,2.085
2016-02-24,2.19
2016-02-25,2.24
2016-02-26,2.2425
2016-02-29,2.2375
2016-03-01,1.985
2016-03-02,2.1275
2016-03-03,2.13
2016-03-04,2.13
2016-03-07,2.1325
2016-03-08,2.13
2016-03-10,2.05
2016-03-11,2.1325
2016-03-14,2.1075
2016-03-15,2.225
2016-03-16,2.11
2016-03-18,1.98
2016-03-21,2.1275
2016-03-22,2.13
2016-03-23,2.125
2016-03-24,2.055
2016-03-25,2.1575
2016-03-28,2.1775
2016-03-29,1.88
2016-03-30,1.895
2016-03-31,1.975
2016-04-01,1.99
2016-04-04,1.88
2016-04-05,1.905
2016-04-06,1.985
2016-04-07,2.19
2016-04-08,1.8925
2016-04-11,1.97
2016-04-12,1.9025
2016-04-13,1.915
2016-04-14,1.87
2016-04-15,1.9025
2016-04-18,1.95
2016-04-19,1.85
2016-04-20,1.855
2016-04-21,1.8725
2016-04-22,1.865
2016-04-25,1.915
2016-04-26,1.865
2016-04-27,1.91
2016-04-28,1.85
2016-04-29,1.895
2016-05-02,1.9275
2016-05-03,1.8475
2016-05-04,1.8925
2016-05-05,1.9125
2016-05-06,1.89
2016-05-09,1.94
2016-05-10,1.9575
2016-05-11,1.9625
2016-05-12,1.885
2016-05-13,1.885
2016-05-16,1.96
2016-05-17,1.865
2016-05-18,1.865
2016-05-19,1.925
2016-05-20,1.935
2016-05-23,1.96
2016-05-24,1.96
2016-05-25,1.93
2016-05-26,1.945
2016-05-27,1.875
2016-05-30,1.935
2016-05-31,1.945
2016-06-01,1.86
2016-06-02,1.925
2016-06-03,1.975
2016-06-06,1.9425
2016-06-07,1.8075
2016-06-08,1.9525
2016-06-09,1.9125
2016-06-10,1.95
2016-06-13,1.97
2016-06-14,1.985
2016-06-15,1.86
2016-06-16,1.91
2016-06-17,1.875
2016-06-20,1.945
2016-06-21,1.96
2016-06-22,1.8525
2016-06-23,1.9125
2016-06-24,2.0625
2016-06-27,2.05
2016-06-28,1.7075
2016-06-29,1.7825
2016-06-30,1.8025
2016-07-01,1.875
2016-07-04,1.9175
2016-07-05,1.7375
2016-07-06,1.76
2016-07-07,1.8675
2016-07-08,1.8
2016-07-11,1.935
2016-07-12,1.79
2016-07-13,1.845
2016-07-14,1.815
2016-07-15,1.98
2016-07-18,1.925
2016-07-19,1.755
2016-07-20,1.845
2016-07-21,1.835
2016-07-22,1.945
2016-07-25,1.755
2016-07-26,1.8775
2016-07-27,1.9175
2016-07-28,1.9075
2016-07-29,1.895
2016-08-01,1.9625
2016-08-02,1.9625
2016-08-03,1.9625
2016-08-04,1.9625
2016-08-05,1.985
2016-08-08,1.9825
2016-08-09,1.9825
2016-08-10,1.9825
2016-08-11,1.9825
2016-08-12,1.9425
2016-08-15,1.98
2016-08-16,1.9775
2016-08-17,1.9925
2016-08-18,1.9875
2016-08-19,2.005
2016-08-22,1.9825
2016-08-23,1.9825
2016-08-24,1.95
2016-08-25,1.9825
2016-08-26,2.02
2016-08-29,1.9875
2016-08-30,1.9825
2016-08-31,1.7975
2016-09-01,1.7125
2016-09-02,1.9875
2016-09-05,1.9875
2016-09-06,1.9825
2016-09-07,1.985
2016-09-08,1.985
2016-09-09,1.9725
2016-09-12,1.9875
2016-09-13,1.985
2016-09-14,1.985
2016-09-15,1.99
2016-09-16,1.9975
2016-09-19,1.97
2016-09-20,1.985
2016-09-21,1.9825
2016-09-22,1.965
2016-09-23,1.9475
2016-09-26,2.0075
2016-09-27,2.0125
2016-09-28,1.985
2016-09-29,1.9975
2016-09-30,1.9375
2016-10-03,1.9875
2016-10-04,1.95
2016-10-05,1.9775
2016-10-06,1.9525
2016-10-07,1.995
2016-10-10,1.995
2016-10-11,1.9575
2016-10-12,1.995
2016-10-13,1.995
2016-10-14,1.985
2016-10-17,1.99
2016-10-18,1.995
2016-10-19,1.9725
2016-10-20,1.95
2016-10-21,1.985
2016-10-24,1.98
2016-10-25,1.9525
2016-10-26,1.945
2016-10-27,1.94
2016-10-28,1.9975
2016-10-31,1.97
2016-11-01,1.95
2016-11-02,1.9
2016-11-03,1.91
2016-11-04,1.96
2016-11-07,1.9575
2016-11-08,1.9225
2016-11-09,2.0075
2016-11-10,1.935
2016-11-11,1.9225
2016-11-14,1.87
2016-11-15,1.995
2016-11-16,2.1125
2016-11-17,2.11
2016-11-18,2.115
2016-11-21,2.095
2016-11-22,2.0975
2016-11-23,2.0625
2016-11-24,1.74
2016-11-25,1.7075
2016-11-28,1.7325
2016-11-29,1.555
2016-11-30,1.5475
2016-12-01,1.6375
2016-12-02,1.6175
2016-12-05,1.9925
2016-12-06,2.0425
2016-12-07,2.0875
2016-12-08,2.1175
2016-12-09,2.165
2016-12-12,2.1375
2016-12-13,2.1125
2016-12-14,2.1025
2016-12-15,2.1225
2016-12-16,2.17
2016-12-19,2.135
2016-12-20,2.16
2016-12-21,2.185
2016-12-22,2.1575
2016-12-23,2.245
2016-12-26,2.2625
2016-12-27,2.2325
2016-12-28,2.16
2016-12-29,2.15
2016-12-30,2.235
2017-01-02,2.22
2017-01-03,2.15
2017-01-04,2.12
2017-01-05,2.175
2017-01-06,2.185
2017-01-09,2.19
2017-01-10,2.1775
2017-01-11,2.185
2017-01-12,2.1825
2017-01-13,2.165
2017-01-16,2.2
2017-01-17,2.14
2017-01-18,2.15
2017-01-19,2.195
2017-01-20,2.175
2017-01-23,2.195
2017-01-24,2.2
2017-01-25,2.16
2017-01-26,2.195
2017-01-27,2.195
2017-01-30,2.2475
2017-01-31,2.2575
2017-02-01,2.26
2017-02-02,2.24
2017-02-03,2.185
2017-02-06,2.195
2017-02-07,2.19
2017-02-08,2.2
2017-02-09,2.165
2017-02-10,2.18
2017-02-13,1.8675
2017-02-14,2.23
2017-02-15,2.23
2017-02-16,2.175
2017-02-17,2.17
2017-02-20,2.175
2017-02-21,2.23
2017-02-22,2.18
2017-02-23,2.185
2017-02-24,2.175
2017-02-27,2.1675
2017-02-28,2.1625
2017-03-01,2.165
2017-03-02,2.17
2017-03-03,2.13
2017-03-06,2.1975
2017-03-07,2.21
2017-03-08,2.16
2017-03-09,2.1625
2017-03-10,2.03
2017-03-13,2.09
2017-03-14,2.33
2017-03-15,2.275
2017-03-16,2.2825
2017-03-17,2.28
2017-03-20,2.3375
2017-03-21,2.3375
2017-03-22,2.335
2017-03-23,2.3375
2017-03-24,2.3325
2017-03-27,2.3325
2017-03-28,2.285
2017-03-29,2.285
2017-03-30,2.185
2017-03-31,2.19
2017-04-03,2.19
2017-04-04,2.19
2017-04-05,2.185
2017-04-06,2.195
2017-04-07,2.1075
2017-04-10,2.105
2017-04-11,2.105
2017-04-12,2.1025
2017-04-13,2.11
2017-04-14,2.1075
2017-04-17,2.105
2017-04-18,2.105
2017-04-19,2.1
2017-04-20,2.105
2017-04-21,2.105
2017-04-24,2.105
2017-04-25,2.105
2017-04-26,2.1125
2017-04-27,2.1125
2017-04-28,2.1075
2017-05-01,2.1075
2017-05-02,2.105
2017-05-03,2.0325
2017-05-04,2.1125
2017-05-05,2.1075
2017-05-08,2.1075
2017-05-09,2.1025
2017-05-10,2.1025
2017-05-11,2.1125
2017-05-12,2.11
2017-05-15,2.1125
2017-05-16,2.1075
2017-05-17,2.1075
2017-05-18,2.115
2017-05-19,2.1125
2017-05-22,2.11
2017-05-23,2.1075
2017-05-24,2.105
2017-05-25,2.105
2017-05-26,2.105
2017-05-29,2.105
2017-05-30,2.1025
2017-05-31,2.105
2017-06-01,2.1025
2017-06-02,1.6175
2017-06-05,1.6225
2017-06-06,2.1025
2017-06-07,2.105
2017-06-08,2.0975
2017-06-09,2.1025
2017-06-12,2.1025
2017-06-13,2.1025
2017-06-14,2.1
2017-06-15,2.1
2017-06-16,1.6125
2017-06-19,2.1
2017-06-20,2.0975
2017-06-21,2.1
2017-06-22,2.1025
2017-06-23,2.1025
2017-06-26,1.615
2017-06-27,1.6125
2017-06-28,1.615
2017-06-29,1.615
2017-06-30,1.6175
2017-07-03,1.615
2017-07-04,1.615
2017-07-05,1.62
2017-07-06,1.6125
2017-07-07,1.6175
