Date,Value
2016-01-01,4.0525
2016-01-04,4.02
2016-01-05,4.03
2016-01-06,4.03
2016-01-07,4.0325
2016-01-08,4.0225
2016-01-11,4.3975
2016-01-12,4.395
2016-01-13,4.4125
2016-01-14,4.4225
2016-01-15,4.41
2016-01-18,4.4175
2016-01-19,4.41
2016-01-20,4.4
2016-01-21,4.415
2016-01-22,4.3925
2016-01-25,4.415
2016-01-26,4.42
2016-01-27,4.42
2016-01-28,4.3825
2016-01-29,4.3275
2016-02-01,4.185
2016-02-02,4.325
2016-02-03,4.1975
2016-02-04,4.265
2016-02-05,4.215
2016-02-08,4.2525
2016-02-09,4.2425
2016-02-10,4.315
2016-02-11,4.3275
2016-02-12,4.255
2016-02-15,4.2775
2016-02-16,4.21
2016-02-17,4.24
2016-02-18,4.23
2016-02-19,4.095
2016-02-22,4.125
2016-02-23,4.1225
2016-02-24,4.08
2016-02-25,4.1775
2016-02-26,4.18
2016-02-29,4.1775
2016-03-01,4.095
2016-03-02,4.175
2016-03-03,4.1775
2016-03-04,4.1575
2016-03-07,4.185
2016-03-08,4.1825
2016-03-10,4.1325
2016-03-11,4.18
2016-03-14,4.18
2016-03-15,4.25
2016-03-16,4.1875
2016-03-18,3.8
2016-03-21,4.05
2016-03-22,4.0225
2016-03-23,4.0525
2016-03-24,3.68
2016-03-25,3.8125
2016-03-28,3.5125
2016-03-29,3.405
2016-03-30,3.52
2016-03-31,3.41
2016-04-01,3.41
2016-04-04,3.42
2016-04-05,3.43
2016-04-06,3.415
2016-04-07,3.3675
2016-04-08,3.4
2016-04-11,3.3
2016-04-12,3.365
2016-04-13,3.3525
2016-04-14,3.2375
2016-04-15,3.095
2016-04-18,3.085
2016-04-19,3.085
2016-04-20,3.08
2016-04-21,3.08
2016-04-22,3.085
2016-04-25,3.075
2016-04-26,3.08
2016-04-27,3.07
2016-04-28,3.03
2016-04-29,3.295
2016-05-02,3.1375
2016-05-03,3.1175
2016-05-04,3.1675
2016-05-05,3.33
2016-05-06,3.05
2016-05-09,3.2
2016-05-10,3.205
2016-05-11,3.065
2016-05-12,3.19
2016-05-13,3.05
2016-05-16,3.0575
2016-05-17,3.035
2016-05-18,3.035
2016-05-19,3.195
2016-05-20,3.205
2016-05-23,3.06
2016-05-24,3.2
2016-05-25,3.21
2016-05-26,3.21
2016-05-27,3.09
2016-05-30,3.245
2016-05-31,3.105
2016-06-01,3.11
2016-06-02,3.1
2016-06-03,3.04
2016-06-06,3.03
2016-06-07,3.05
2016-06-08,3.02
2016-06-09,3.015
2016-06-10,3.005
2016-06-13,3.0225
2016-06-14,3.0275
2016-06-15,3.0375
2016-06-16,3.0275
2016-06-17,3.0375
2016-06-20,3.0275
2016-06-21,3.025
2016-06-22,3.035
2016-06-23,3.0275
2016-06-24,3.1675
2016-06-27,3.16
2016-06-28,3.3275
2016-06-29,3.11
2016-06-30,3.3625
2016-07-01,3.34
2016-07-04,3.31
2016-07-05,3.3875
2016-07-06,3.38
2016-07-07,3.345
2016-07-08,3.265
