Date,Value
2016-01-04,10.155
2016-01-05,10.315
2016-01-06,10.325
2016-01-07,10.4425
2016-01-08,10.465
2016-01-11,10.485
2016-01-12,10.485
2016-01-13,10.495
2016-01-14,10.3925
2016-01-15,10.4725
2016-01-18,10.4975
2016-01-19,10.435
2016-01-20,10.275
2016-01-21,10.22
2016-01-22,10.28
2016-01-26,10.255
2016-01-27,10.25
2016-01-28,10.25
2016-01-29,10.255
2016-02-01,10.275
2016-02-02,10.2575
2016-02-03,10.585
2016-02-04,10.555
2016-02-05,10.58
2016-02-09,10.5525
2016-02-10,10.8075
2016-02-11,10.76
2016-02-12,10.6775
2016-02-15,10.96
2016-02-16,10.92
2016-02-17,11.0175
2016-02-18,11.225
2016-02-19,11.435
2016-02-22,11.0875
2016-02-23,11.08
2016-02-24,11.58
2016-02-25,11.335
2016-02-26,11.57
2016-02-29,11.525
2016-03-01,11.355
2016-03-02,11.425
2016-03-03,11.38
2016-03-04,11.3275
2016-03-07,11.33
2016-03-08,11.575
2016-03-09,11.1225
2016-03-10,11.1025
2016-03-11,11.075
2016-03-14,11.18
2016-03-15,11.0725
2016-03-16,11.2075
2016-03-17,11.2475
2016-03-18,11.1225
2016-03-21,11.0275
2016-03-22,10.9775
2016-03-23,11.295
2016-03-24,11.5375
2016-03-25,11.235
2016-03-28,11.3075
2016-03-29,11.3675
2016-03-30,11.255
2016-03-31,11.1125
2016-04-01,11.19
2016-04-04,11.3275
2016-04-05,11.365
2016-04-06,11.17
2016-04-07,11.265
2016-04-08,11.25
2016-04-11,11.2225
2016-04-12,11.2175
2016-04-13,11.2075
2016-04-14,11.2525
2016-04-15,11.2275
2016-04-18,11.2875
2016-04-19,11.2
2016-04-20,11.23
2016-04-21,11.205
2016-04-22,11.2775
2016-04-25,11.0625
2016-04-26,11.085
2016-04-27,10.9
2016-04-28,11.0775
2016-04-29,11.07
2016-05-02,11.055
2016-05-03,11.0425
2016-05-04,11.045
2016-05-05,11.075
2016-05-06,11.0375
2016-05-09,10.875
2016-05-10,10.905
2016-05-11,10.84
2016-05-12,10.815
2016-05-13,10.7975
2016-05-16,10.7525
2016-05-17,10.73
2016-05-18,10.725
2016-05-19,10.78
2016-05-20,10.7425
2016-05-23,10.72
2016-05-24,10.6475
2016-05-25,10.6525
2016-05-26,10.615
2016-05-27,10.5425
2016-05-30,10.555
2016-05-31,10.4
2016-06-01,10.445
2016-06-02,10.4225
2016-06-03,10.3325
2016-06-06,10.3075
2016-06-07,10.31
2016-06-08,10.3575
2016-06-09,10.225
2016-06-10,10.3225
2016-06-13,10.415
2016-06-14,10.3825
2016-06-15,10.3875
2016-06-16,10.34
2016-06-17,10.3725
2016-06-20,10.3225
2016-06-21,10.2475
2016-06-22,10.2375
2016-06-23,10.2
2016-06-24,10.3175
2016-06-27,10.2875
2016-06-28,10.2425
2016-06-29,10.1875
2016-06-30,10.3225
2016-07-01,10.2725
2016-07-04,10.1925
2016-07-05,10.1975
2016-07-06,10.215
2016-07-07,10.21
2016-07-08,10.205
2016-07-11,10.1525
2016-07-12,10.08
2016-07-13,9.9975
2016-07-14,9.9875
2016-07-15,9.9825
2016-07-18,9.9525
2016-07-19,9.9275
2016-07-20,9.7175
2016-07-21,9.615
2016-07-22,9.535
