Date,Value
2016-01-04,10.07
2016-01-05,10.1775
2016-01-06,10.37
2016-01-07,10.505
2016-01-08,10.5375
2016-01-11,10.52
2016-01-12,10.495
2016-01-13,10.49
2016-01-14,10.4125
2016-01-15,10.3075
2016-01-18,10.4
2016-01-19,10.17
2016-01-20,10.27
2016-01-21,10.245
2016-01-22,10.1625
2016-01-26,10.1275
2016-01-27,10.1625
2016-01-28,10.1625
2016-01-29,10.185
2016-02-01,10.2675
2016-02-02,10.23
2016-02-03,10.465
2016-02-04,10.7
2016-02-05,10.72
2016-02-09,10.64
2016-02-10,10.9325
2016-02-11,11.34
2016-02-12,11.22
2016-02-15,11.3825
2016-02-16,11.4275
2016-02-17,11.44
2016-02-18,11.525
2016-02-19,11.985
2016-02-22,11.9175
2016-02-23,11.8625
2016-02-24,12.0425
2016-02-25,11.9175
2016-02-26,11.89
2016-02-29,11.7625
2016-03-01,11.4775
2016-03-02,11.605
2016-03-03,11.87
2016-03-04,11.895
2016-03-07,11.8725
2016-03-08,11.89
2016-03-09,11.93
2016-03-10,11.6325
2016-03-11,11.6475
2016-03-14,11.3
2016-03-15,11.305
2016-03-16,11.5775
2016-03-17,11.205
2016-03-18,11.28
2016-03-21,11.175
2016-03-22,11.255
2016-03-23,11.575
2016-03-24,11.62
2016-03-25,11.59
2016-03-28,11.715
2016-03-29,11.755
2016-03-30,11.44
2016-03-31,11.38
2016-04-01,11.48
2016-04-04,11.54
2016-04-05,11.66
2016-04-06,11.62
2016-04-07,11.675
2016-04-08,11.5625
2016-04-11,11.6175
2016-04-12,11.54
2016-04-13,11.57
2016-04-14,11.5775
2016-04-15,11.48
2016-04-18,11.64
2016-04-19,11.495
2016-04-20,11.5125
2016-04-21,11.56
2016-04-22,11.675
2016-04-25,11.44
2016-04-26,11.47
2016-04-27,11.395
2016-04-28,11.3725
2016-04-29,11.2575
2016-05-02,11.3475
2016-05-03,11.235
2016-05-04,11.325
2016-05-05,11.38
2016-05-06,11.315
2016-05-09,11.24
2016-05-10,11.315
2016-05-11,11.0975
2016-05-12,11.11
2016-05-13,11.1925
2016-05-16,11.16
2016-05-17,11.025
2016-05-18,10.935
2016-05-19,11.1225
2016-05-20,11.21
2016-05-23,11.0975
2016-05-24,11.15
2016-05-25,11.1375
2016-05-26,10.79
2016-05-27,10.6875
2016-05-30,10.735
2016-05-31,10.665
2016-06-01,10.7325
2016-06-02,10.6725
2016-06-03,10.65
2016-06-06,10.555
2016-06-07,10.525
2016-06-08,10.3075
2016-06-09,10.3225
2016-06-10,10.435
2016-06-13,10.73
2016-06-14,10.6625
2016-06-15,10.7075
2016-06-16,10.7
2016-06-17,10.82
2016-06-20,10.7
2016-06-21,10.58
2016-06-22,10.6225
2016-06-23,10.49
2016-06-24,11.105
2016-06-27,11.035
2016-06-28,10.825
2016-06-29,10.5175
2016-06-30,10.7
2016-07-01,10.6925
2016-07-04,10.575
2016-07-05,10.59
2016-07-06,10.625
2016-07-07,10.63
2016-07-08,10.605
2016-07-11,10.63
2016-07-12,10.485
2016-07-13,10.12
2016-07-14,9.925
2016-07-15,9.87
2016-07-18,9.8825
2016-07-19,9.625
2016-07-20,9.685
2016-07-21,9.825
2016-07-22,9.695
2016-07-25,9.6425
2016-07-26,9.49
2016-07-27,9.445
2016-07-28,8.9925
2016-07-29,8.91
2016-08-01,8.8525
2016-08-02,8.865
2016-08-03,8.83
2016-08-04,8.7925
2016-08-05,8.7125
2016-08-08,8.6825
2016-08-09,8.5075
2016-08-10,8.5775
2016-08-11,8.4875
2016-08-12,8.45
2016-08-15,8.4125
2016-08-16,8.3575
2016-08-17,8.1575
2016-08-18,8.11
2016-08-19,8.1
2016-08-22,8.2075
2016-08-23,8.08
2016-08-24,8.0
2016-08-25,8.01
2016-08-26,8.01
2016-08-29,8.095
2016-08-30,8.005
2016-08-31,8.0025
2016-09-01,8.0
2016-09-02,8.065
2016-09-05,8.1075
2016-09-06,8.01
2016-09-07,7.9825
2016-09-08,7.9625
2016-09-09,7.9625
2016-09-13,8.215
2016-09-14,8.66
2016-09-15,8.82
2016-09-19,8.74
2016-09-20,8.705
2016-09-21,8.71
2016-09-22,8.385
2016-09-23,8.35
2016-09-26,8.315
2016-09-27,8.2875
2016-09-28,8.32
2016-09-29,8.29
2016-09-30,8.14
2016-10-04,8.15
2016-10-05,8.205
2016-10-06,8.25
2016-10-07,8.205
2016-10-10,8.1775
2016-10-11,8.2075
2016-10-12,8.435
2016-10-13,8.63
2016-10-14,8.6325
2016-10-17,8.62
2016-10-18,8.485
2016-10-19,8.375
2016-10-20,8.085
2016-10-21,8.0275
2016-10-24,7.99
2016-10-25,7.98
2016-10-26,7.91
2016-10-27,7.85
2016-10-28,7.82
2016-10-31,8.1875
2016-11-01,8.0875
2016-11-02,8.0825
2016-11-03,7.88
2016-11-04,7.8225
2016-11-07,7.5
2016-11-08,7.505
2016-11-09,7.84
2016-11-10,7.6825
2016-11-11,8.905
2016-11-14,8.33
2016-11-15,9.2725
2016-11-16,9.215
2016-11-17,9.135
2016-11-18,9.235
2016-11-21,9.19
2016-11-22,9.1925
2016-11-23,9.17
2016-11-24,9.6375
2016-11-25,9.3275
2016-11-28,9.2475
2016-11-29,9.67
2016-11-30,9.805
2016-12-01,9.5675
2016-12-02,9.4675
2016-12-05,9.0825
2016-12-06,8.3925
2016-12-07,8.1175
2016-12-08,8.22
2016-12-09,8.06
2016-12-13,7.81
2016-12-14,8.025
2016-12-15,8.13
2016-12-16,7.84
2016-12-19,7.8525
2016-12-20,7.7675
2016-12-21,8.06
2016-12-22,8.0725
2016-12-23,8.0525
2016-12-27,7.6675
2016-12-28,8.1725
2016-12-29,7.7825
