Date,Value
2016-01-01,10.24
2016-01-04,11.255
2016-01-05,11.425
2016-01-06,11.285
2016-01-07,11.82
2016-01-08,12.745
2016-01-11,12.325
2016-01-12,12.625
2016-01-13,11.46
2016-01-14,11.175
2016-01-15,11.32
2016-01-18,11.025
2016-01-19,10.895
2016-01-20,10.95
2016-01-21,11.325
2016-01-22,11.1075
2016-01-25,10.9025
2016-01-26,11.3425
2016-01-27,11.245
2016-01-28,11.535
2016-01-29,11.525
2016-02-01,11.8575
2016-02-02,11.8275
2016-02-03,11.8325
2016-02-04,12.455
2016-02-05,12.68
2016-02-08,12.6225
2016-02-09,12.8625
2016-02-10,12.395
2016-02-11,12.94
2016-02-12,13.735
2016-02-15,13.525
2016-02-16,13.625
2016-02-17,13.77
2016-02-18,13.575
2016-02-19,14.525
2016-02-22,13.47
2016-02-23,13.45
2016-02-24,13.595
2016-02-25,13.3625
2016-02-26,14.1275
2016-02-29,13.11
2016-03-01,13.7025
2016-03-02,13.26
2016-03-03,13.2575
2016-03-04,13.44
2016-03-07,13.5375
2016-03-08,13.505
2016-03-10,13.6975
2016-03-11,14.7025
2016-03-14,13.9775
2016-03-15,13.5
2016-03-16,13.525
2016-03-18,13.99
2016-03-21,13.2125
2016-03-22,13.31
2016-03-23,13.375
2016-03-24,13.92
2016-03-25,13.6325
2016-03-28,13.2325
2016-03-29,13.2825
2016-03-30,13.1725
2016-03-31,13.95
2016-04-01,13.93
2016-04-04,13.7875
2016-04-05,13.655
2016-04-06,14.1375
2016-04-07,13.4675
2016-04-08,13.485
2016-04-11,13.1725
2016-04-12,13.125
2016-04-13,12.98
2016-04-14,12.61
2016-04-15,12.635
2016-04-18,12.515
2016-04-19,12.49
2016-04-20,12.51
2016-04-21,12.605
2016-04-22,13.5125
2016-04-25,12.785
2016-04-26,13.265
2016-04-27,13.36
2016-04-28,13.1725
2016-04-29,12.8775
2016-05-02,13.4625
2016-05-03,13.1775
2016-05-04,13.2625
2016-05-05,12.945
2016-05-06,12.7125
2016-05-09,12.5725
2016-05-10,12.7475
2016-05-11,12.085
2016-05-12,12.3275
2016-05-13,12.0875
2016-05-16,12.3725
2016-05-17,11.8125
2016-05-18,11.4175
2016-05-19,11.805
2016-05-20,11.97
2016-05-23,11.3375
2016-05-24,11.2025
2016-05-25,11.025
2016-05-26,10.86
2016-05-27,11.0675
2016-05-30,11.25
2016-05-31,11.1375
2016-06-01,11.17
2016-06-02,11.1475
2016-06-03,11.445
2016-06-06,11.325
2016-06-07,10.4725
2016-06-08,10.5275
2016-06-09,10.5875
2016-06-10,11.43
2016-06-13,11.4575
2016-06-14,12.2075
2016-06-15,11.9775
2016-06-16,11.9125
2016-06-17,13.0675
2016-06-20,13.4175
2016-06-21,13.0475
2016-06-22,13.2825
2016-06-23,14.4225
2016-06-24,15.1425
2016-06-27,13.57
2016-06-28,13.1375
2016-06-29,11.7275
2016-06-30,11.3075
2016-07-01,11.7225
2016-07-04,11.105
2016-07-05,11.0075
2016-07-06,11.0275
2016-07-07,11.1425
2016-07-08,11.1675
2016-07-11,11.135
2016-07-12,11.1275
2016-07-13,11.13
2016-07-14,11.065
2016-07-15,11.38
2016-07-18,10.8825
2016-07-19,10.8875
2016-07-20,10.9875
2016-07-21,10.9275
2016-07-22,11.73
2016-07-25,11.09
2016-07-26,11.7225
2016-07-27,11.7225
2016-07-28,11.7225
2016-07-29,11.395
2016-08-01,11.4
2016-08-02,11.4
2016-08-03,11.4
2016-08-04,11.4
2016-08-05,11.505
2016-08-08,10.505
2016-08-09,10.475
2016-08-10,10.53
2016-08-11,10.575
2016-08-12,10.495
2016-08-15,10.245
2016-08-16,10.25
2016-08-17,10.07
2016-08-18,9.695
2016-08-19,10.2
2016-08-22,10.935
2016-08-23,10.9
