Date,Value
2016-01-01,12.5475
2016-01-04,12.44
2016-01-05,12.5275
2016-01-06,12.5075
2016-01-07,12.8425
2016-01-08,13.04
2016-01-11,13.32
2016-01-12,13.3125
2016-01-13,13.045
2016-01-14,12.9075
2016-01-15,12.9525
2016-01-18,12.715
2016-01-19,12.6125
2016-01-20,13.065
2016-01-21,12.995
2016-01-22,12.7325
2016-01-25,12.58
2016-01-26,12.695
2016-01-27,12.72
2016-01-28,12.6825
2016-01-29,12.69
2016-02-01,12.825
2016-02-02,13.0825
2016-02-03,13.4925
2016-02-04,13.345
2016-02-05,13.655
2016-02-08,13.6225
2016-02-09,13.64
2016-02-10,13.36
2016-02-11,13.4225
2016-02-12,13.9425
2016-02-15,13.6875
2016-02-16,13.705
2016-02-17,13.695
2016-02-18,13.4925
2016-02-19,13.675
2016-02-22,13.5
2016-02-23,13.2375
2016-02-24,13.17
2016-02-25,13.1725
2016-02-26,13.1725
2016-02-29,13.1725
2016-03-01,12.975
2016-03-02,13.1025
2016-03-03,13.1725
2016-03-04,13.1625
2016-03-07,13.1675
2016-03-08,13.1675
2016-03-10,13.1075
2016-03-11,13.17
2016-03-14,13.1675
2016-03-15,12.75
2016-03-16,12.8325
2016-03-18,12.56
2016-03-21,12.5225
2016-03-22,12.5325
2016-03-23,12.535
2016-03-24,12.52
2016-03-25,12.5275
2016-03-28,12.5325
2016-03-29,12.5
2016-03-30,12.505
2016-03-31,12.515
2016-04-01,12.745
2016-04-04,12.74
2016-04-05,12.665
2016-04-06,12.765
2016-04-07,12.8475
2016-04-08,12.91
2016-04-11,12.9
2016-04-12,12.745
2016-04-13,12.6
2016-04-14,12.525
2016-04-15,12.47
2016-04-18,12.355
2016-04-19,12.365
2016-04-20,12.3
2016-04-21,12.215
2016-04-22,12.215
2016-04-25,12.165
2016-04-26,12.19
2016-04-27,12.18
2016-04-28,12.165
2016-04-29,12.185
2016-05-02,12.14
2016-05-03,12.1675
2016-05-04,12.1475
2016-05-05,12.535
2016-05-06,12.56
2016-05-09,12.525
2016-05-10,12.7
2016-05-11,12.385
2016-05-12,12.74
2016-05-13,12.635
2016-05-16,12.555
2016-05-17,12.49
2016-05-18,12.49
2016-05-19,12.56
2016-05-20,12.725
2016-05-23,12.4425
2016-05-24,12.715
2016-05-25,12.755
2016-05-26,12.735
2016-05-27,12.76
2016-05-30,12.7
2016-05-31,12.69
2016-06-01,12.56
2016-06-02,12.3725
2016-06-03,12.29
2016-06-06,12.225
2016-06-07,11.885
2016-06-08,11.64
2016-06-09,11.64
2016-06-10,11.815
2016-06-13,11.74
2016-06-14,11.8875
2016-06-15,11.8675
2016-06-16,11.8825
2016-06-17,11.9825
2016-06-20,11.8825
2016-06-21,11.7775
2016-06-22,11.7625
2016-06-23,11.8325
2016-06-24,13.0525
2016-06-27,13.1825
2016-06-28,12.73
2016-06-29,12.14
2016-06-30,12.1775
2016-07-01,12.1075
2016-07-04,12.0375
2016-07-05,12.04
2016-07-06,12.0425
2016-07-07,12.055
2016-07-08,11.82
2016-07-11,11.85
2016-07-12,11.9325
2016-07-13,11.9575
2016-07-14,11.74
2016-07-15,11.68
2016-07-18,11.665
2016-07-19,11.65
2016-07-20,11.645
2016-07-21,11.85
2016-07-22,11.795
2016-07-25,11.815
2016-07-26,11.9
2016-07-27,11.86
2016-07-28,11.85
2016-07-29,11.745
2016-08-01,11.8625
2016-08-02,11.8625
2016-08-03,11.8625
2016-08-04,11.8625
2016-08-05,11.7575
2016-08-08,11.7525
2016-08-09,11.7525
2016-08-10,11.7525
2016-08-11,11.7525
2016-08-12,11.7325
2016-08-15,11.6875
2016-08-16,11.6875
2016-08-17,11.2225
2016-08-18,11.1075
2016-08-19,11.085
2016-08-22,11.345
2016-08-23,11.3425
2016-08-24,11.3375
2016-08-25,11.3625
2016-08-26,11.3325
2016-08-29,11.3625
2016-08-30,11.3275
2016-08-31,11.3525
2016-09-01,11.3825
2016-09-02,11.1975
2016-09-05,11.26
2016-09-06,11.25
2016-09-07,11.2325
2016-09-08,11.21
2016-09-09,11.215
2016-09-12,11.2725
2016-09-13,11.3
2016-09-14,11.385
2016-09-15,11.4925
2016-09-16,11.5
2016-09-19,11.475
2016-09-20,11.35
2016-09-21,11.295
2016-09-22,11.1075
2016-09-23,11.08
2016-09-26,11.01
2016-09-27,10.8475
2016-09-28,10.835
2016-09-29,10.915
2016-09-30,10.7375
2016-10-03,10.7575
2016-10-04,10.74
2016-10-05,10.8525
2016-10-06,10.865
2016-10-07,10.815
2016-10-10,10.905
2016-10-11,10.9025
2016-10-12,10.9225
2016-10-13,10.89
2016-10-14,10.8975
2016-10-17,10.89
2016-10-18,10.8
2016-10-19,10.7125
2016-10-20,10.265
2016-10-21,10.255
2016-10-24,10.075
2016-10-25,10.0525
2016-10-26,9.9775
2016-10-27,9.9775
2016-10-28,9.98
2016-10-31,9.975
2016-11-01,9.96
2016-11-02,9.975
2016-11-03,9.9775
2016-11-04,9.9675
2016-11-07,9.7875
2016-11-08,9.765
2016-11-09,9.795
2016-11-10,9.93
2016-11-11,11.3675
2016-11-14,12.89
2016-11-15,12.8075
2016-11-16,12.645
2016-11-17,12.56
2016-11-18,12.705
2016-11-21,12.7175
2016-11-22,12.7075
2016-11-23,13.0575
2016-11-24,12.2175
2016-11-25,12.53
2016-11-28,13.335
2016-11-29,13.2425
2016-11-30,13.2525
2016-12-01,13.2525
2016-12-02,13.26
2016-12-05,13.25
2016-12-06,13.2475
2016-12-07,13.25
2016-12-08,13.2275
2016-12-09,12.97
2016-12-12,12.9625
2016-12-13,13.0425
2016-12-14,13.0575
2016-12-15,13.0775
2016-12-16,13.06
2016-12-19,13.16
2016-12-20,12.8125
2016-12-21,12.9
2016-12-22,12.7875
2016-12-23,12.955
2016-12-26,13.0225
2016-12-27,12.9925
2016-12-28,12.63
2016-12-29,12.605
2016-12-30,12.745
2017-01-02,12.75
2017-01-03,12.635
2017-01-04,12.1425
2017-01-05,12.1725
2017-01-06,12.155
2017-01-09,12.1625
2017-01-10,12.165
2017-01-11,12.165
2017-01-12,12.165
2017-01-13,12.19
2017-01-16,12.2225
2017-01-17,11.545
2017-01-18,11.535
2017-01-19,11.185
2017-01-20,11.16
2017-01-23,11.1825
2017-01-24,11.185
2017-01-25,10.51
2017-01-26,10.255
2017-01-27,10.235
2017-01-30,10.2525
2017-01-31,10.2575
2017-02-01,10.265
2017-02-02,10.26
2017-02-03,10.23
2017-02-06,10.23
2017-02-07,10.245
2017-02-08,10.2475
2017-02-09,10.2625
2017-02-10,10.2
2017-02-13,10.205
2017-02-14,10.2375
2017-02-15,10.22
2017-02-16,10.225
2017-02-17,10.225
