Date,Value
2016-01-01,12.23
2016-01-04,12.43
2016-01-05,12.39
2016-01-06,12.34
2016-01-07,12.66
2016-01-08,12.985
2016-01-11,13.34
2016-01-12,13.325
2016-01-13,12.9
2016-01-14,12.84
2016-01-15,12.8
2016-01-18,12.65
2016-01-19,12.475
2016-01-20,12.645
2016-01-21,12.615
2016-01-22,12.19
2016-01-25,12.13
2016-01-26,12.09
2016-01-27,12.06
2016-01-28,12.36
2016-01-29,12.41
2016-02-01,12.72
2016-02-02,12.755
2016-02-03,12.825
2016-02-04,13.0275
2016-02-05,13.3975
2016-02-08,13.3775
2016-02-09,13.4275
2016-02-10,13.15
2016-02-11,13.495
2016-02-12,14.205
2016-02-15,13.84
2016-02-16,13.2975
2016-02-17,13.415
2016-02-18,13.39
2016-02-19,13.74
2016-02-22,13.4875
2016-02-23,13.17
2016-02-24,13.115
2016-02-25,12.97
2016-02-26,13.1325
2016-02-29,13.035
2016-03-01,13.165
2016-03-02,12.995
2016-03-03,13.0225
2016-03-04,12.9925
2016-03-07,13.0325
2016-03-08,13.0325
2016-03-10,12.9975
2016-03-11,13.06
2016-03-14,13.0525
2016-03-15,12.85
2016-03-16,12.9175
2016-03-18,12.735
2016-03-21,12.565
2016-03-22,12.6
2016-03-23,12.545
2016-03-24,12.785
2016-03-25,12.6425
2016-03-28,12.605
2016-03-29,12.74
2016-03-30,12.705
2016-03-31,12.7725
2016-04-01,13.1525
2016-04-04,13.1825
2016-04-05,13.105
2016-04-06,13.215
2016-04-07,13.26
2016-04-08,13.1325
2016-04-11,12.9825
2016-04-12,12.9325
2016-04-13,12.775
2016-04-14,12.72
2016-04-15,12.855
2016-04-18,12.7775
2016-04-19,12.8
2016-04-20,12.7
2016-04-21,12.605
2016-04-22,12.695
2016-04-25,12.595
2016-04-26,12.76
2016-04-27,12.73
2016-04-28,12.675
2016-04-29,12.455
2016-05-02,12.3625
2016-05-03,12.3575
2016-05-04,12.36
2016-05-05,13.07
2016-05-06,12.935
2016-05-09,12.725
2016-05-10,13.035
2016-05-11,12.91
2016-05-12,13.025
2016-05-13,13.17
2016-05-16,13.165
2016-05-17,13.03
2016-05-18,12.9975
2016-05-19,13.17
