Date,Value
2016-01-01,0.885
2016-01-04,1.0175
2016-01-05,1.01
2016-01-06,1.005
2016-01-07,1.03
2016-01-08,1.015
2016-01-11,0.9975
2016-01-12,1.025
2016-01-13,1.035
2016-01-14,1.055
2016-01-15,1.06
2016-01-18,1.015
2016-01-19,1.07
2016-01-20,1.05
2016-01-21,1.06
2016-01-22,1.08
2016-01-25,1.065
2016-01-26,1.0475
2016-01-27,1.08
2016-01-28,1.1
2016-01-29,1.06
2016-02-01,1.06
2016-02-02,1.1125
2016-02-03,1.145
2016-02-04,1.14
2016-02-05,1.155
2016-02-08,1.175
2016-02-09,1.215
2016-02-10,1.255
2016-02-11,1.405
2016-02-12,1.38
2016-02-15,1.28
2016-02-16,1.445
2016-02-17,1.47
2016-02-18,1.43
2016-02-19,1.305
2016-02-22,1.495
2016-02-23,1.465
2016-02-24,1.56
2016-02-25,1.54
2016-02-26,1.575
2016-02-29,1.53
2016-03-01,1.52
2016-03-02,1.55
2016-03-03,1.54
2016-03-04,1.525
2016-03-07,1.495
2016-03-08,1.44
2016-03-09,1.46
2016-03-10,1.47
2016-03-11,1.44
2016-03-14,1.47
2016-03-15,1.4
2016-03-16,1.335
2016-03-17,1.36
2016-03-18,1.425
2016-03-21,1.395
2016-03-22,1.28
2016-03-23,1.365
2016-03-24,1.2725
2016-03-25,1.3275
2016-03-28,1.375
2016-03-29,1.39
2016-03-30,1.415
2016-03-31,1.375
2016-04-01,1.385
2016-04-04,1.315
2016-04-05,1.365
2016-04-06,1.345
2016-04-07,1.39
2016-04-08,1.385
2016-04-11,1.425
2016-04-12,1.37
2016-04-13,1.45
2016-04-14,1.4675
2016-04-15,1.335
2016-04-18,1.425
2016-04-19,1.41
2016-04-20,1.4725
2016-04-21,1.4425
2016-04-22,1.42
2016-04-25,1.4175
2016-04-26,1.37
2016-04-27,1.415
2016-04-28,1.375
2016-04-29,1.345
2016-05-02,1.37
2016-05-03,1.4
2016-05-04,1.43
2016-05-05,1.39
2016-05-06,1.405
2016-05-09,1.45
2016-05-10,1.345
2016-05-11,1.375
2016-05-12,1.415
2016-05-13,1.415
2016-05-16,1.335
2016-05-17,1.425
2016-05-18,1.43
2016-05-19,1.335
