Date,Value
2016-01-01,0.85
2016-01-04,0.95
2016-01-05,0.945
2016-01-06,0.935
2016-01-07,0.965
2016-01-08,0.9575
2016-01-11,0.945
2016-01-12,0.97
2016-01-13,0.975
2016-01-14,0.9975
2016-01-15,1.025
2016-01-18,0.905
2016-01-19,1.02
2016-01-20,1.005
2016-01-21,1.015
2016-01-22,1.035
2016-01-25,1.02
2016-01-26,1.01
2016-01-27,1.04
2016-01-28,1.065
2016-01-29,1.03
2016-02-01,1.0275
2016-02-02,1.08
2016-02-03,1.135
2016-02-04,1.1225
2016-02-05,1.14
2016-02-08,1.165
2016-02-09,1.225
2016-02-10,1.255
2016-02-11,1.43
2016-02-12,1.41
2016-02-15,1.28
2016-02-16,1.445
2016-02-17,1.47
2016-02-18,1.425
2016-02-19,1.285
2016-02-22,1.4825
2016-02-23,1.485
2016-02-24,1.56
2016-02-25,1.56
2016-02-26,1.5875
2016-02-29,1.545
2016-03-01,1.495
2016-03-02,1.535
2016-03-03,1.54
2016-03-04,1.535
2016-03-07,1.4925
2016-03-08,1.44
2016-03-09,1.455
2016-03-10,1.4675
2016-03-11,1.425
2016-03-14,1.45
2016-03-15,1.385
2016-03-16,1.33
2016-03-17,1.355
2016-03-18,1.4225
2016-03-21,1.4
2016-03-22,1.255
2016-03-23,1.3625
2016-03-24,1.24
2016-03-25,1.3225
2016-03-28,1.3475
2016-03-29,1.39
2016-03-30,1.41
2016-03-31,1.3725
2016-04-01,1.3775
2016-04-04,1.285
2016-04-05,1.355
2016-04-06,1.3375
2016-04-07,1.3725
2016-04-08,1.385
2016-04-11,1.4175
2016-04-12,1.335
2016-04-13,1.445
2016-04-14,1.4575
2016-04-15,1.3075
2016-04-18,1.4325
2016-04-19,1.4175
2016-04-20,1.475
2016-04-21,1.45
2016-04-22,1.425
2016-04-25,1.41
2016-04-26,1.36
2016-04-27,1.4
2016-04-28,1.3875
2016-04-29,1.345
2016-05-02,1.37
2016-05-03,1.395
2016-05-04,1.435
2016-05-05,1.365
2016-05-06,1.385
2016-05-09,1.455
2016-05-10,1.35
2016-05-11,1.365
2016-05-12,1.4125
2016-05-13,1.41
2016-05-16,1.315
2016-05-17,1.425
2016-05-18,1.425
2016-05-19,1.315
2016-05-20,1.29
2016-05-23,1.3
2016-05-24,1.3475
2016-05-25,1.295
2016-05-26,1.285
2016-05-27,1.255
2016-05-30,1.2
2016-05-31,1.255
2016-06-01,1.1825
2016-06-02,1.25
2016-06-03,1.265
2016-06-06,1.22
2016-06-07,1.16
