Date,Value
2016-01-01,2.79
2016-01-04,3.235
2016-01-05,3.1075
2016-01-06,2.95
2016-01-07,2.835
2016-01-08,2.795
2016-01-11,2.78
2016-01-12,2.76
2016-01-13,2.69
2016-01-14,2.595
2016-01-15,2.27
2016-01-18,2.2
2016-01-19,2.285
2016-01-20,1.93
2016-01-21,1.98
2016-01-22,2.075
2016-01-25,2.08
2016-01-26,2.035
2016-01-27,1.98
2016-01-28,1.855
2016-01-29,1.985
2016-02-01,2.005
2016-02-02,1.865
2016-02-03,1.59
2016-02-04,1.51
2016-02-05,1.74
2016-02-08,1.83
2016-02-09,2.0625
2016-02-10,3.0925
2016-02-11,3.255
2016-02-12,3.24
2016-02-15,3.2
2016-02-16,3.3175
2016-02-17,3.1375
2016-02-18,3.0475
2016-02-19,2.93
2016-02-22,3.325
2016-02-23,3.5725
2016-02-24,3.88
2016-02-25,3.905
2016-02-26,3.995
2016-02-29,3.965
2016-03-01,3.845
2016-03-02,3.7075
2016-03-03,3.565
2016-03-04,3.565
2016-03-07,3.46
2016-03-08,3.0175
2016-03-09,3.005
2016-03-10,2.81
2016-03-11,2.825
2016-03-14,2.86
2016-03-15,2.89
2016-03-16,2.815
2016-03-17,2.585
2016-03-18,2.625
2016-03-21,2.485
2016-03-22,2.395
2016-03-23,2.6525
2016-03-24,2.7175
2016-03-25,2.6525
2016-03-28,2.78
2016-03-29,2.61
2016-03-30,2.67
2016-03-31,2.57
2016-04-01,2.695
2016-04-04,2.6225
2016-04-05,2.885
2016-04-06,3.01
2016-04-07,3.21
2016-04-08,3.125
2016-04-11,3.205
2016-04-12,3.1625
2016-04-13,3.245
2016-04-14,3.35
2016-04-15,3.2
2016-04-18,3.2425
2016-04-19,3.195
2016-04-20,3.205
2016-04-21,3.23
2016-04-22,3.155
2016-04-25,3.245
2016-04-26,3.085
2016-04-27,3.07
2016-04-28,3.025
2016-04-29,2.97
2016-05-02,2.98
2016-05-03,2.82
2016-05-04,2.8
2016-05-05,2.85
2016-05-06,2.86
2016-05-09,2.82
2016-05-10,2.85
2016-05-11,2.86
2016-05-12,2.85
2016-05-13,3.06
2016-05-16,2.99
