Date,Value
2016-01-01,0.8175
2016-01-04,0.8275
2016-01-05,0.84
2016-01-06,0.7775
2016-01-07,0.565
2016-01-08,0.4975
2016-01-11,0.43
2016-01-12,0.54
2016-01-13,0.52
2016-01-14,0.4475
2016-01-15,0.2375
2016-01-18,0.3975
2016-01-19,0.3725
2016-01-20,0.235
2016-01-21,0.415
2016-01-22,0.5
2016-01-25,0.5025
2016-01-26,0.435
2016-01-27,0.5025
2016-01-28,0.42
2016-01-29,0.55
2016-02-01,0.585
2016-02-02,0.4525
2016-02-03,0.28
2016-02-04,0.2625
2016-02-05,0.4625
2016-02-08,0.6225
2016-02-09,0.6275
2016-02-10,0.9075
2016-02-11,0.8025
2016-02-12,0.805
2016-02-15,0.74
2016-02-16,0.7725
2016-02-17,0.735
2016-02-18,0.645
2016-02-19,0.7175
2016-02-22,0.7325
2016-02-23,0.71
2016-02-24,0.63
2016-02-25,0.6325
2016-02-26,0.765
2016-02-29,0.785
2016-03-01,0.745
2016-03-02,0.7125
2016-03-03,0.6775
2016-03-04,0.66
2016-03-07,0.6975
2016-03-08,0.69
2016-03-09,0.68
2016-03-10,0.56
2016-03-11,0.6525
2016-03-14,0.6375
2016-03-15,0.6425
2016-03-16,0.635
2016-03-17,0.405
2016-03-18,0.3725
2016-03-21,0.39
2016-03-22,0.4225
2016-03-23,0.55
2016-03-24,0.6275
2016-03-25,0.6225
2016-03-28,0.6475
2016-03-29,0.6175
2016-03-30,0.515
2016-03-31,0.4375
2016-04-01,0.3975
2016-04-04,0.3475
2016-04-05,0.4775
2016-04-06,0.5125
2016-04-07,0.55
2016-04-08,0.5575
2016-04-11,0.5175
2016-04-12,0.43
2016-04-13,0.395
2016-04-14,0.485
2016-04-15,0.3975
2016-04-18,0.465
2016-04-19,0.4625
2016-04-20,0.5
2016-04-21,0.58
2016-04-22,0.6075
2016-04-25,0.6075
2016-04-26,1.45
2016-04-27,1.4575
2016-04-28,1.45
2016-04-29,1.38
2016-05-02,1.0775
2016-05-03,1.0725
2016-05-04,1.2475
2016-05-05,1.17
2016-05-06,1.23
2016-05-09,1.3575
2016-05-10,1.2775
2016-05-11,1.2375
2016-05-12,1.33
2016-05-13,1.51
2016-05-16,1.2175
2016-05-17,1.44
2016-05-18,1.415
2016-05-19,1.355
2016-05-20,1.3575
2016-05-23,1.21
2016-05-24,1.125
2016-05-25,1.0275
2016-05-26,0.91
2016-05-27,0.935
2016-05-30,0.9725
2016-05-31,1.03
2016-06-01,1.13
2016-06-02,1.045
2016-06-03,0.9475
2016-06-06,0.9625
2016-06-07,1.0225
2016-06-08,1.0925
2016-06-09,1.3625
2016-06-10,1.7075
2016-06-13,2.1
2016-06-14,2.6
2016-06-15,2.26
2016-06-16,2.18
2016-06-17,2.1725
2016-06-20,1.77
2016-06-21,1.925
2016-06-22,2.1175
2016-06-23,1.67
2016-06-24,1.9375
2016-06-27,1.9275
2016-06-28,1.505
2016-06-29,1.3125
2016-06-30,1.1825
2016-07-01,1.2625
2016-07-04,1.0125
2016-07-05,0.9925
2016-07-06,1.0875
2016-07-07,1.045
2016-07-08,1.115
2016-07-11,0.995
2016-07-12,0.9775
2016-07-13,0.79
2016-07-14,0.9125
2016-07-15,0.8725
2016-07-18,0.8575
2016-07-19,1.04
2016-07-20,1.07
2016-07-21,0.9925
2016-07-22,1.05
2016-07-25,1.1175
2016-07-26,0.9325
2016-07-27,1.0075
2016-07-28,0.9975
2016-07-29,1.0
2016-08-01,0.935
2016-08-02,0.9125
2016-08-03,0.9375
2016-08-04,0.9575
2016-08-05,1.0175
2016-08-08,0.98
2016-08-09,0.9775
2016-08-10,0.9375
2016-08-11,0.8925
2016-08-12,0.9875
2016-08-15,0.85
2016-08-16,0.8525
2016-08-17,0.84
2016-08-18,0.8325
2016-08-19,0.83
2016-08-22,0.895
2016-08-23,0.7925
2016-08-24,0.7225
2016-08-25,1.015
2016-08-26,0.945
2016-08-29,0.9725
2016-08-30,0.79
2016-08-31,0.8475
2016-09-01,0.8875
2016-09-02,0.8975
2016-09-05,0.895
2016-09-06,0.9075
2016-09-07,0.9125
2016-09-08,0.7725
2016-09-09,0.8375
2016-09-12,0.865
2016-09-13,0.87
2016-09-14,0.8575
2016-09-15,0.86
2016-09-16,0.8875
2016-09-19,0.8925
2016-09-20,0.9025
2016-09-21,0.86
2016-09-22,0.7575
2016-09-23,0.7525
2016-09-26,0.7575
2016-09-27,0.7325
2016-09-28,0.765
2016-09-29,0.875
2016-09-30,0.9775
2016-10-03,0.965
2016-10-04,0.97
2016-10-05,0.8575
2016-10-06,0.955
2016-10-07,0.9825
2016-10-10,0.9325
2016-10-11,1.0675
2016-10-12,1.1
2016-10-13,1.0425
2016-10-14,1.0425
2016-10-17,1.0
2016-10-18,0.9575
2016-10-19,0.8675
2016-10-20,0.85
2016-10-21,0.8675
2016-10-24,0.8375
2016-10-25,0.7925
2016-10-26,0.7525
2016-10-27,0.685
2016-10-28,0.575
2016-10-31,0.55
2016-11-01,0.2825
2016-11-02,0.11
2016-11-03,0.0325
2016-11-04,-0.205
2016-11-07,-0.0775
2016-11-08,-0.12
2016-11-09,0.6025
2016-11-10,0.65
2016-11-11,0.82
2016-11-14,1.0675
2016-11-15,1.0925
2016-11-16,1.21
2016-11-17,1.52
2016-11-18,1.5375
2016-11-21,1.3625
2016-11-22,1.245
2016-11-23,1.4225
2016-11-24,1.545
2016-11-25,1.5075
2016-11-28,1.3775
2016-11-29,1.5175
