Date,Value
2016-01-01,11.6125
2016-01-04,12.345
2016-01-05,12.2925
2016-01-06,12.205
2016-01-07,12.8375
2016-01-08,12.39
2016-01-11,12.805
2016-01-12,12.475
2016-01-13,12.005
2016-01-14,11.915
2016-01-15,12.175
2016-01-18,12.2925
2016-01-19,12.035
2016-01-20,12.24
2016-01-21,11.77
2016-01-22,11.41
2016-01-25,11.5925
2016-01-26,11.4275
2016-01-27,11.375
2016-01-28,11.34
2016-01-29,11.3
2016-02-01,11.0125
2016-02-02,10.99
2016-02-03,11.9325
2016-02-04,12.21
2016-02-05,11.345
2016-02-08,12.73
2016-02-09,12.8875
2016-02-10,13.4975
2016-02-11,13.7475
2016-02-12,13.175
2016-02-15,13.0
2016-02-16,13.1775
2016-02-17,13.705
2016-02-18,13.6
2016-02-19,13.245
2016-02-22,13.635
2016-02-23,13.3925
2016-02-24,13.6925
2016-02-25,12.785
2016-02-26,12.82
2016-02-29,13.275
2016-03-01,12.87
2016-03-02,12.4
2016-03-03,12.37
2016-03-04,12.1775
2016-03-07,12.455
2016-03-08,12.49
2016-03-09,12.565
2016-03-10,11.5675
2016-03-11,11.0025
2016-03-14,10.4975
2016-03-15,10.965
2016-03-16,10.7075
2016-03-17,10.04
2016-03-18,9.55
2016-03-21,10.165
2016-03-22,10.165
2016-03-23,10.2625
2016-03-24,10.265
2016-03-25,10.2775
2016-03-28,10.6175
2016-03-29,10.295
2016-03-30,10.3875
2016-03-31,10.4975
2016-04-01,10.31
2016-04-04,10.35
2016-04-05,10.585
2016-04-06,10.7475
2016-04-07,11.0625
2016-04-08,10.5575
2016-04-11,10.715
2016-04-12,10.8475
2016-04-13,10.8175
2016-04-14,10.5
2016-04-15,11.0525
2016-04-18,10.8075
2016-04-19,10.5025
2016-04-20,10.185
2016-04-21,9.8975
2016-04-22,9.755
2016-04-25,10.055
2016-04-26,10.0925
2016-04-27,9.9825
2016-04-28,9.53
2016-04-29,9.81
2016-05-02,10.9925
2016-05-03,11.11
2016-05-04,10.9075
2016-05-05,10.9525
2016-05-06,10.3925
2016-05-09,10.4425
2016-05-10,10.22
2016-05-11,10.05
2016-05-12,10.165
2016-05-13,10.415
2016-05-16,10.975
2016-05-17,10.64
2016-05-18,11.0875
2016-05-19,11.05
2016-05-20,10.805
2016-05-23,11.2525
2016-05-24,11.2575
2016-05-25,11.1
2016-05-26,11.385
2016-05-27,11.415
2016-05-30,11.7475
2016-05-31,11.985
2016-06-01,12.39
2016-06-02,11.79
2016-06-03,11.23
2016-06-06,11.8075
2016-06-07,11.675
2016-06-08,11.9975
2016-06-09,12.815
2016-06-10,13.9275
2016-06-13,14.47
2016-06-14,15.43
2016-06-15,14.0425
2016-06-16,13.99
2016-06-17,13.955
2016-06-20,13.1475
2016-06-21,13.3725
2016-06-22,14.0975
2016-06-23,12.425
2016-06-24,13.9325
2016-06-27,14.215
2016-06-28,12.3925
2016-06-29,11.87
2016-06-30,11.7025
2016-07-01,11.3775
2016-07-04,11.2575
2016-07-05,11.735
2016-07-06,11.8325
2016-07-07,11.25
2016-07-08,11.155
2016-07-11,11.2575
2016-07-12,10.9625
2016-07-13,10.8025
2016-07-14,10.3725
2016-07-15,10.465
2016-07-18,10.575
2016-07-19,10.91
2016-07-20,10.8975
2016-07-21,10.4125
2016-07-22,10.3125
2016-07-25,10.6375
2016-07-26,10.3225
2016-07-27,9.87
2016-07-28,9.5775
2016-07-29,9.6725
2016-08-01,9.92
2016-08-02,9.97
2016-08-03,9.995
2016-08-04,9.82
2016-08-05,9.49
2016-08-08,9.835
2016-08-09,9.56
2016-08-10,9.5275
2016-08-11,9.3925
2016-08-12,9.125
2016-08-15,9.3875
2016-08-16,9.83
2016-08-17,9.7875
2016-08-18,9.59
2016-08-19,9.67
2016-08-22,10.4075
2016-08-23,10.42
2016-08-24,10.7325
2016-08-25,10.43
2016-08-26,10.1725
2016-08-29,10.665
2016-08-30,10.8
2016-08-31,10.8775
2016-09-01,10.605
2016-09-02,10.0875
2016-09-05,10.27
2016-09-06,10.2075
2016-09-07,9.98
2016-09-08,9.665
2016-09-09,9.82
2016-09-12,10.09
2016-09-13,9.8375
2016-09-14,9.97
2016-09-15,9.5825
2016-09-16,9.575
2016-09-19,9.7275
2016-09-20,9.7725
2016-09-21,9.4625
2016-09-22,8.92
2016-09-23,8.7875
2016-09-26,9.0275
2016-09-27,9.345
2016-09-28,9.375
2016-09-29,9.5775
2016-09-30,9.8225
2016-10-03,9.9275
2016-10-04,10.265
2016-10-05,10.1925
2016-10-06,10.97
2016-10-07,11.055
2016-10-10,10.825
2016-10-11,11.4925
2016-10-12,11.6325
2016-10-13,10.7475
2016-10-14,10.675
2016-10-17,10.8
2016-10-18,10.52
2016-10-19,10.4525
2016-10-20,10.125
2016-10-21,10.2725
2016-10-24,10.145
2016-10-25,10.1525
2016-10-26,9.985
2016-10-27,9.68
2016-10-28,9.7925
2016-10-31,9.965
2016-11-01,10.7075
2016-11-02,10.895
2016-11-03,11.2575
2016-11-04,12.0325
2016-11-07,11.025
2016-11-08,11.405
2016-11-09,11.325
2016-11-10,10.7775
2016-11-11,11.185
2016-11-14,11.8325
2016-11-15,12.265
2016-11-16,12.505
2016-11-17,12.85
2016-11-18,12.75
2016-11-21,12.36
2016-11-22,11.96
2016-11-23,12.4
2016-11-24,12.005
2016-11-25,11.355
2016-11-28,11.855
2016-11-29,12.08
2016-11-30,12.795
2016-12-01,12.185
2016-12-02,11.835
2016-12-05,11.195
2016-12-06,11.04
2016-12-07,10.81
2016-12-08,10.4525
2016-12-09,10.7875
2016-12-12,10.945
2016-12-13,10.6425
2016-12-14,10.72
2016-12-15,11.15
2016-12-16,11.225
2016-12-19,11.74
2016-12-20,11.5575
2016-12-21,11.0075
2016-12-22,10.9125
2016-12-23,11.1475
2016-12-26,11.4925
2016-12-27,11.5175
2016-12-28,11.6925
2016-12-29,11.14
2016-12-30,11.29
2017-01-02,11.9625
2017-01-03,11.93
2017-01-04,11.4575
2017-01-05,11.36
2017-01-06,10.555
2017-01-09,10.9525
2017-01-10,10.765
2017-01-11,11.04
2017-01-12,10.48
2017-01-13,10.185
2017-01-16,10.5825
2017-01-17,10.14
2017-01-18,9.81
2017-01-19,9.82
2017-01-20,9.64
2017-01-23,9.585
2017-01-24,9.24
2017-01-25,8.92
2017-01-26,9.15
2017-01-27,8.985
2017-01-30,9.39
2017-01-31,9.17
2017-02-01,8.925
2017-02-02,8.81
2017-02-03,8.63
2017-02-06,8.755
2017-02-07,8.865
2017-02-08,8.87
2017-02-09,8.685
2017-02-10,8.875
2017-02-13,8.795
2017-02-14,8.53
2017-02-15,8.575
2017-02-16,9.0
2017-02-17,8.9375
2017-02-20,8.7225
2017-02-21,9.15
2017-02-22,9.14
2017-02-23,9.11
2017-02-24,8.615
2017-02-27,8.715
2017-02-28,8.515
2017-03-01,8.5925
2017-03-02,8.395
2017-03-03,7.955
2017-03-06,8.0225
2017-03-07,7.91
2017-03-08,8.06
2017-03-09,8.03
2017-03-10,8.385
2017-03-13,8.54
2017-03-14,8.3575
2017-03-15,8.14
2017-03-16,7.5225
2017-03-17,7.735
2017-03-20,8.3025
2017-03-21,8.19
2017-03-22,8.3775
2017-03-23,8.6025
2017-03-24,8.4825
2017-03-27,8.71
2017-03-28,8.62
2017-03-29,8.64
2017-03-30,8.6325
2017-03-31,8.475
2017-04-03,8.485
2017-04-04,8.9525
2017-04-05,9.165
2017-04-06,10.31
2017-04-07,10.5925
2017-04-10,10.735
2017-04-11,11.025
2017-04-12,11.265
2017-04-13,11.26
2017-04-14,11.13
2017-04-17,11.54
2017-04-18,11.325
2017-04-19,11.1075
2017-04-20,11.05
2017-04-21,11.4025
2017-04-24,8.6825
2017-04-25,8.895
2017-04-26,8.68
2017-04-27,8.335
2017-04-28,8.37
2017-05-01,8.34
2017-05-02,8.29
2017-05-03,8.045
2017-05-04,8.1825
2017-05-05,8.6075
2017-05-08,8.48
2017-05-09,8.24
2017-05-10,8.185
2017-05-11,8.0125
2017-05-12,8.0675
2017-05-15,8.9225
2017-05-16,9.445
2017-05-17,9.705
2017-05-18,9.33
2017-05-19,9.275
2017-05-22,9.4075
2017-05-23,9.425
2017-05-24,8.9275
2017-05-25,8.495
2017-05-26,8.6625
2017-05-29,8.9725
2017-05-30,8.95
2017-05-31,8.74
2017-06-01,8.315
2017-06-02,8.2325
2017-06-05,8.385
2017-06-06,8.445
2017-06-07,8.55
2017-06-08,8.2675
2017-06-09,7.815
2017-06-12,7.67
2017-06-13,7.7
2017-06-14,7.58
2017-06-15,7.4875
2017-06-16,7.295
2017-06-19,7.395
2017-06-20,7.525
2017-06-21,7.6275
2017-06-22,7.22
2017-06-23,7.11
2017-06-26,7.19
2017-06-27,8.05
2017-06-28,8.71
2017-06-29,8.415
2017-06-30,8.0925
2017-07-03,8.1525
2017-07-04,8.1775
2017-07-05,8.165
2017-07-06,8.185
2017-07-07,7.9825
2017-07-10,7.95
2017-07-11,8.085
2017-07-12,7.88
2017-07-13,7.63
2017-07-14,7.545
2017-07-17,7.82
2017-07-18,8.505
2017-07-19,8.235
2017-07-20,8.285
2017-07-21,8.175
2017-07-24,8.385
2017-07-25,8.61
2017-07-26,8.625
2017-07-27,8.67
2017-07-28,8.63
2017-07-31,8.98
2017-08-01,9.0
2017-08-02,9.155
2017-08-03,9.03
2017-08-04,8.62
2017-08-07,8.835
2017-08-08,8.855
2017-08-09,8.97
2017-08-10,8.8725
2017-08-11,8.6825
2017-08-14,8.84
2017-08-15,8.7775
2017-08-16,8.6
2017-08-17,8.5975
2017-08-18,8.4925
2017-08-21,9.2775
2017-08-22,9.2825
2017-08-23,9.24
2017-08-24,8.82
2017-08-25,8.66
2017-08-28,9.0175
2017-08-29,9.31
2017-08-30,9.2475
2017-08-31,9.01
2017-09-01,8.7325
2017-09-04,9.2075
2017-09-05,9.5475
2017-09-06,9.5025
2017-09-07,9.3275
2017-09-08,9.285
2017-09-11,9.085
2017-09-12,9.04
2017-09-13,9.31
2017-09-14,8.915
2017-09-15,9.06
2017-09-18,9.0575
2017-09-19,9.2
2017-09-20,8.87
2017-09-21,8.5675
2017-09-22,8.655
2017-09-25,8.905
2017-09-26,9.045
2017-09-27,9.01
2017-09-28,8.915
2017-09-29,8.6625
2017-10-02,8.93
2017-10-03,8.6725
2017-10-04,8.7075
2017-10-05,8.4025
2017-10-06,8.1375
2017-10-09,8.2175
2017-10-10,8.475
2017-10-11,8.51
2017-10-12,8.2775
2017-10-13,8.1575
2017-10-16,8.1625
2017-10-17,8.0775
2017-10-18,7.965
2017-10-19,8.035
2017-10-20,7.975
2017-10-23,8.085
2017-10-24,7.86
2017-10-25,7.965
2017-10-26,7.855
2017-10-27,7.8875
2017-10-30,7.8675
2017-10-31,7.595
2017-11-01,7.585
2017-11-02,7.56
2017-11-03,7.1875
2017-11-06,7.125
2017-11-07,7.2825
2017-11-08,7.185
2017-11-09,7.41
2017-11-10,7.32
2017-11-13,7.5
2017-11-14,8.7775
2017-11-15,9.075
2017-11-16,8.265
2017-11-17,8.37
2017-11-20,8.6875
2017-11-21,8.6825
2017-11-22,8.525
2017-11-23,8.4825
2017-11-24,8.6
2017-11-27,8.5625
2017-11-28,8.4375
2017-11-29,8.64
2017-11-30,8.61
2017-12-01,8.845
2017-12-04,8.67
2017-12-05,8.5325
2017-12-06,8.56
2017-12-07,8.3275
2017-12-08,8.15
2017-12-11,8.265
2017-12-12,8.335
2017-12-13,8.105
2017-12-14,7.495
2017-12-15,7.5575
2017-12-18,7.645
2017-12-19,7.8675
2017-12-20,7.9975
2017-12-21,8.1075
2017-12-22,8.01
2017-12-25,8.215
2017-12-26,8.1925
2017-12-27,8.04
2017-12-28,8.22
2017-12-29,8.57
2018-01-01,8.6575
2018-01-02,8.865
2018-01-03,8.555
2018-01-04,8.3725
2018-01-05,8.1325
2018-01-08,7.99
2018-01-09,7.98
2018-01-10,8.035
2018-01-11,8.2925
2018-01-12,8.605
2018-01-15,9.1125
2018-01-16,8.475
2018-01-17,8.7
2018-01-18,8.735
2018-01-19,8.875
2018-01-22,8.655
2018-01-23,8.55
2018-01-24,9.1975
2018-01-25,8.87
2018-01-26,8.8175
2018-01-29,8.885
2018-01-30,8.98
2018-01-31,8.6275
2018-02-01,8.89
2018-02-02,8.815
2018-02-05,9.35
2018-02-06,9.7475
2018-02-07,9.67
2018-02-08,10.7425
2018-02-09,10.955
2018-02-12,10.49
2018-02-13,9.925
2018-02-14,9.99
2018-02-15,10.2275
2018-02-16,10.285
2018-02-19,10.005
2018-02-20,10.28
2018-02-21,10.03
2018-02-22,10.095
2018-02-23,10.08
2018-02-26,9.54
2018-02-27,9.665
2018-02-28,9.6625
2018-03-01,9.375
2018-03-02,9.32
2018-03-05,9.2875
2018-03-06,9.24
2018-03-07,9.2925
2018-03-08,9.1875
2018-03-09,8.81
2018-03-12,8.805
2018-03-13,8.8125
2018-03-14,8.655
2018-03-15,8.1075
2018-03-16,8.315
2018-03-19,8.61
2018-03-20,8.46
2018-03-21,8.1625
2018-03-22,8.0125
2018-03-23,8.015
2018-03-26,8.325
2018-03-27,8.295
2018-03-28,8.37
2018-03-29,8.3975
2018-03-30,8.325
