Date,Value
2016-01-01,8.3425
2016-01-04,12.29
2016-01-05,12.24
2016-01-06,12.105
2016-01-07,13.0475
2016-01-08,11.565
2016-01-11,11.465
2016-01-12,10.945
2016-01-13,10.3125
2016-01-14,12.745
2016-01-15,13.2
2016-01-18,12.1775
2016-01-19,12.13
2016-01-20,12.555
2016-01-21,12.425
2016-01-22,12.095
2016-01-25,11.85
2016-01-26,11.3375
2016-01-27,10.855
2016-01-28,10.51
2016-01-29,11.8475
2016-02-01,10.965
2016-02-02,10.7925
2016-02-03,12.725
2016-02-04,12.91
2016-02-05,11.2025
2016-02-08,13.0625
2016-02-09,13.48
2016-02-10,12.6
2016-02-11,13.4275
2016-02-12,12.185
2016-02-15,10.9725
2016-02-16,11.2825
2016-02-17,10.985
2016-02-18,10.7
2016-02-19,10.1875
2016-02-22,10.57
2016-02-23,9.85
2016-02-24,10.725
2016-02-25,10.02
2016-02-26,11.55
2016-02-29,11.5575
2016-03-01,10.805
2016-03-02,10.815
2016-03-03,14.5025
2016-03-04,14.88
2016-03-07,14.06
2016-03-08,13.905
2016-03-09,14.045
2016-03-10,14.27
2016-03-11,13.56
2016-03-14,12.57
2016-03-15,13.235
2016-03-16,12.8975
2016-03-17,10.6175
2016-03-18,9.24
2016-03-21,8.0
2016-03-22,8.065
2016-03-23,8.265
2016-03-24,8.7125
2016-03-25,9.9025
2016-03-28,10.2325
2016-03-29,10.065
2016-03-30,10.235
2016-03-31,11.18
2016-04-01,9.36
2016-04-04,8.97
2016-04-05,9.225
2016-04-06,9.45
2016-04-07,10.375
2016-04-08,9.335
2016-04-11,9.66
2016-04-12,9.705
2016-04-13,9.885
2016-04-14,11.17
2016-04-15,11.3725
2016-04-18,10.5275
2016-04-19,10.18
2016-04-20,9.58
2016-04-21,10.135
2016-04-22,9.745
2016-04-25,9.83
2016-04-26,10.09
2016-04-27,9.5225
2016-04-28,8.8225
2016-04-29,9.875
2016-05-02,10.97
2016-05-03,11.31
2016-05-04,11.015
2016-05-05,11.7
2016-05-06,10.04
2016-05-09,9.12
2016-05-10,9.355
2016-05-11,9.0825
2016-05-12,8.61
2016-05-13,9.245
2016-05-16,9.065
2016-05-17,8.705
2016-05-18,9.29
2016-05-19,9.4975
2016-05-20,8.98
2016-05-23,8.6175
2016-05-24,8.6875
2016-05-25,8.71
2016-05-26,9.61
2016-05-27,10.335
2016-05-30,10.675
2016-05-31,11.35
2016-06-01,11.435
2016-06-02,10.375
2016-06-03,9.33
2016-06-06,9.14
2016-06-07,8.315
2016-06-08,8.79
2016-06-09,11.655
2016-06-10,13.1075
