Date,Value
2016-01-01,12.2
2016-01-04,12.2775
2016-01-05,12.37
2016-01-06,12.425
2016-01-07,12.52
2016-01-08,12.565
2016-01-11,12.605
2016-01-12,12.55
2016-01-13,12.485
2016-01-14,12.54
2016-01-15,12.68
2016-01-18,12.665
2016-01-19,12.605
2016-01-20,12.7125
2016-01-21,12.775
2016-01-22,12.7
2016-01-25,12.78
2016-01-26,12.795
2016-01-27,12.7825
2016-01-28,12.78
2016-01-29,12.855
2016-02-01,12.72
2016-02-02,12.72
2016-02-03,13.025
2016-02-04,12.81
2016-02-05,12.69
2016-02-08,13.155
2016-02-09,13.015
2016-02-10,12.915
2016-02-11,13.035
2016-02-12,12.815
2016-02-15,12.7125
2016-02-16,12.8275
2016-02-17,12.85
2016-02-18,12.79
2016-02-19,12.92
2016-02-22,13.1
2016-02-23,13.12
2016-02-24,13.5425
2016-02-25,13.3525
2016-02-26,13.285
2016-02-29,13.3425
2016-03-01,13.245
2016-03-02,13.01
2016-03-03,13.0475
2016-03-04,13.0025
2016-03-07,12.9275
2016-03-08,12.505
2016-03-09,12.445
2016-03-10,12.335
2016-03-11,12.005
2016-03-14,11.555
2016-03-15,11.9275
2016-03-16,11.84
2016-03-17,11.635
2016-03-18,11.615
2016-03-21,11.55
2016-03-22,11.67
2016-03-23,11.93
2016-03-24,12.1475
2016-03-25,12.1575
2016-03-28,12.195
2016-03-29,11.955
2016-03-30,11.725
2016-03-31,11.87
2016-04-01,11.96
2016-04-04,11.93
2016-04-05,12.29
2016-04-06,12.54
2016-04-07,12.6575
2016-04-08,12.51
2016-04-11,12.4225
2016-04-12,12.41
2016-04-13,12.3775
2016-04-14,12.3775
2016-04-15,12.3425
2016-04-18,12.1525
2016-04-19,11.8775
2016-04-20,11.9125
2016-04-21,11.9025
2016-04-22,11.925
2016-04-25,11.855
2016-04-26,11.61
2016-04-27,11.77
2016-04-28,11.565
2016-04-29,11.66
2016-05-02,11.75
2016-05-03,11.9975
2016-05-04,12.23
2016-05-05,12.345
2016-05-06,12.325
2016-05-09,12.27
2016-05-10,12.23
2016-05-11,12.185
2016-05-12,12.2225
2016-05-13,12.415
2016-05-16,12.46
2016-05-17,12.475
2016-05-18,12.52
2016-05-19,12.5725
2016-05-20,12.535
2016-05-23,12.4175
2016-05-24,12.36
2016-05-25,12.35
2016-05-26,12.045
2016-05-27,12.0
2016-05-30,12.075
2016-05-31,12.065
2016-06-01,12.15
2016-06-02,11.935
2016-06-03,11.605
2016-06-06,11.77
2016-06-07,11.68
2016-06-08,11.74
2016-06-09,12.07
2016-06-10,12.6875
2016-06-13,12.88
2016-06-14,13.24
2016-06-15,12.715
2016-06-16,12.72
2016-06-17,12.6325
2016-06-20,12.05
2016-06-21,12.265
2016-06-22,12.3975
2016-06-23,11.9925
2016-06-24,13.4
2016-06-27,13.2375
2016-06-28,12.575
2016-06-29,12.09
2016-06-30,12.195
2016-07-01,12.21
2016-07-04,12.135
2016-07-05,12.285
2016-07-06,12.33
2016-07-07,12.155
2016-07-08,12.175
2016-07-11,12.1425
2016-07-12,11.995
2016-07-13,11.955
2016-07-14,11.895
2016-07-15,11.9925
2016-07-18,12.04
2016-07-19,12.1675
2016-07-20,12.22
2016-07-21,12.235
2016-07-22,12.2075
2016-07-25,12.215
2016-07-26,12.055
2016-07-27,11.915
2016-07-28,11.56
2016-07-29,11.52
2016-08-01,11.5125
2016-08-02,11.465
2016-08-03,11.5825
2016-08-04,11.5
2016-08-05,11.46
2016-08-08,11.43
2016-08-09,11.36
2016-08-10,11.3
2016-08-11,11.285
2016-08-12,11.255
2016-08-15,11.2675
2016-08-16,11.32
