Date,Value
2016-01-01,3.545
2016-01-04,3.545
2016-01-05,3.54
2016-01-06,3.54
2016-01-07,3.54
2016-01-08,3.5375
2016-01-11,3.54
2016-01-12,3.545
2016-01-13,3.6
2016-01-14,3.605
2016-01-15,3.8075
2016-01-18,3.79
2016-01-19,3.8075
2016-01-20,3.79
2016-01-21,3.785
2016-01-22,3.81
2016-01-25,3.825
2016-01-26,3.82
2016-01-27,3.805
2016-01-28,3.84
2016-01-29,3.78
2016-02-01,3.785
2016-02-02,3.77
2016-02-03,3.885
2016-02-04,3.875
2016-02-05,3.8925
2016-02-08,3.89
2016-02-09,3.885
2016-02-10,3.885
2016-02-11,3.905
2016-02-12,3.8875
2016-02-15,3.885
2016-02-16,3.8875
2016-02-17,3.89
2016-02-18,3.8975
2016-02-19,3.8975
2016-02-22,3.8925
2016-02-23,3.9175
2016-02-24,3.89
2016-02-25,3.89
2016-02-26,3.775
2016-02-29,3.8925
2016-03-01,3.775
2016-03-02,3.8225
2016-03-03,3.8225
2016-03-04,3.82
2016-03-07,3.8225
2016-03-08,3.8375
2016-03-09,3.825
2016-03-10,3.8225
2016-03-11,3.825
2016-03-14,3.8225
2016-03-15,3.8225
2016-03-16,3.8125
2016-03-17,3.8275
2016-03-18,3.8225
2016-03-21,3.8225
2016-03-22,3.7425
2016-03-23,3.7425
2016-03-24,3.7425
2016-03-25,3.7425
2016-03-28,3.635
2016-03-29,3.635
2016-03-30,3.6375
2016-03-31,3.525
2016-04-01,3.5275
2016-04-04,3.5325
2016-04-05,3.525
2016-04-06,3.5275
2016-04-07,3.5275
2016-04-08,3.5275
2016-04-11,3.5275
2016-04-12,3.5275
2016-04-13,3.5325
2016-04-14,3.5275
2016-04-15,3.53
2016-04-18,3.5325
2016-04-19,3.5275
2016-04-20,3.53
2016-04-21,3.525
2016-04-22,3.5475
2016-04-25,3.5275
2016-04-26,3.6425
2016-04-27,3.65
2016-04-28,3.6425
2016-04-29,3.6725
2016-05-02,3.645
2016-05-03,3.6575
2016-05-04,3.6725
2016-05-05,3.6625
2016-05-06,3.6475
2016-05-09,3.7175
2016-05-10,3.6025
2016-05-11,3.5775
2016-05-12,3.5725
2016-05-13,3.5925
2016-05-16,3.565
2016-05-17,3.5575
2016-05-18,3.555
2016-05-19,3.555
2016-05-20,3.5625
2016-05-23,3.4825
2016-05-24,3.4775
2016-05-25,3.5225
2016-05-26,3.47
2016-05-27,3.4125
2016-05-30,3.4375
2016-05-31,3.4175
2016-06-01,3.4325
2016-06-02,3.4375
2016-06-03,3.445
2016-06-06,3.4325
2016-06-07,3.42
2016-06-08,3.5975
2016-06-09,3.495
2016-06-10,3.5225
2016-06-13,3.5175
2016-06-14,3.6725
2016-06-15,3.53
2016-06-16,3.54
2016-06-17,3.505
2016-06-20,3.68
2016-06-21,3.515
2016-06-22,3.56
2016-06-23,3.535
2016-06-24,3.615
2016-06-27,3.825
2016-06-28,3.41
2016-06-29,3.49
2016-06-30,3.5775
2016-07-01,3.6775
2016-07-04,3.4775
2016-07-05,3.4725
2016-07-06,3.5975
2016-07-07,3.5925
2016-07-08,3.565
2016-07-11,3.5175
2016-07-12,3.605
2016-07-13,3.5825
2016-07-14,3.5775
2016-07-15,3.4125
2016-07-18,3.4275
2016-07-19,3.5775
2016-07-20,3.5475
2016-07-21,3.41
2016-07-22,3.6125
2016-07-25,3.4175
2016-07-26,3.4225
2016-07-27,3.4225
2016-07-28,3.4575
2016-07-29,3.4175
2016-08-01,3.5175
2016-08-02,3.5175
2016-08-03,3.53
2016-08-04,3.5125
2016-08-05,3.4825
2016-08-08,3.4975
2016-08-09,3.5
2016-08-10,3.485
2016-08-11,3.51
2016-08-12,3.43
2016-08-15,3.36
2016-08-16,3.44
2016-08-17,3.4975
2016-08-18,3.5125
2016-08-19,3.36
2016-08-22,3.3675
2016-08-23,3.4775
2016-08-24,3.455
2016-08-25,3.42
2016-08-26,3.435
2016-08-29,3.5025
2016-08-30,3.4325
2016-08-31,3.44
2016-09-01,3.495
2016-09-02,3.5
