Date,Value
2016-01-01,3.0975
2016-01-04,3.1
2016-01-05,3.1
2016-01-06,3.095
2016-01-07,3.1075
2016-01-08,3.1875
2016-01-11,3.07
2016-01-12,3.075
2016-01-13,3.09
2016-01-14,3.0925
2016-01-15,3.3625
2016-01-18,3.35
2016-01-19,3.36
2016-01-20,3.35
2016-01-21,3.345
2016-01-22,3.365
2016-01-25,3.37
2016-01-26,3.37
2016-01-27,3.3575
2016-01-28,3.38
2016-01-29,3.325
2016-02-01,3.3225
2016-02-02,3.325
2016-02-03,3.44
2016-02-04,3.435
2016-02-05,3.4375
2016-02-08,3.44
2016-02-09,3.435
2016-02-10,3.435
2016-02-11,3.44
2016-02-12,3.4375
2016-02-15,3.4375
2016-02-16,3.4375
2016-02-17,3.4325
2016-02-18,3.4375
2016-02-19,3.4325
2016-02-22,3.4375
2016-02-23,3.4425
2016-02-24,3.4375
2016-02-25,3.4375
2016-02-26,3.415
2016-02-29,3.4375
2016-03-01,3.4175
2016-03-02,3.355
2016-03-03,3.3575
2016-03-04,3.3625
2016-03-07,3.3575
2016-03-08,3.3475
2016-03-09,3.3575
2016-03-10,3.3575
2016-03-11,3.36
2016-03-14,3.3625
2016-03-15,3.3625
2016-03-16,3.3675
2016-03-17,3.355
2016-03-18,3.36
2016-03-21,3.36
2016-03-22,3.2875
2016-03-23,3.285
2016-03-24,3.285
2016-03-25,3.2875
2016-03-28,3.1275
2016-03-29,3.1275
2016-03-30,3.125
2016-03-31,3.08
2016-04-01,3.075
2016-04-04,3.075
2016-04-05,3.0725
2016-04-06,3.075
2016-04-07,3.0675
2016-04-08,3.0725
2016-04-11,3.075
2016-04-12,3.0725
2016-04-13,3.075
2016-04-14,3.085
2016-04-15,3.085
2016-04-18,3.1025
2016-04-19,3.1025
2016-04-20,3.1025
2016-04-21,3.1
2016-04-22,3.0975
2016-04-25,3.1025
2016-04-26,3.2125
2016-04-27,3.2125
2016-04-28,3.215
2016-04-29,3.2275
2016-05-02,3.2175
2016-05-03,3.2175
2016-05-04,3.2225
2016-05-05,3.2175
2016-05-06,3.215
2016-05-09,3.19
2016-05-10,3.19
2016-05-11,3.1625
2016-05-12,3.1575
2016-05-13,3.165
2016-05-16,3.2225
2016-05-17,3.2125
2016-05-18,3.2025
2016-05-19,3.2075
2016-05-20,3.2175
2016-05-23,3.1225
2016-05-24,3.13
2016-05-25,3.165
2016-05-26,3.11
2016-05-27,3.0975
2016-05-30,3.1175
2016-05-31,3.065
2016-06-01,3.1125
2016-06-02,3.1125
2016-06-03,3.065
2016-06-06,3.095
2016-06-07,3.105
2016-06-08,3.2225
2016-06-09,3.1675
2016-06-10,3.195
2016-06-13,3.1725
2016-06-14,3.2975
2016-06-15,3.1575
2016-06-16,3.1625
2016-06-17,3.1125
2016-06-20,3.2275
2016-06-21,3.13
2016-06-22,3.1475
2016-06-23,3.13
2016-06-24,3.2025
2016-06-27,3.48
2016-06-28,3.1775
2016-06-29,3.35
2016-06-30,3.4375
2016-07-01,3.455
2016-07-04,3.3175
2016-07-05,3.3075
2016-07-06,3.355
2016-07-07,3.3475
2016-07-08,3.2875
2016-07-11,3.2475
2016-07-12,3.305
2016-07-13,3.265
2016-07-14,3.26
2016-07-15,3.1425
2016-07-18,3.1575
2016-07-19,3.2675
2016-07-20,3.2425
2016-07-21,3.1425
2016-07-22,3.2975
2016-07-25,3.145
2016-07-26,3.16
2016-07-27,3.155
2016-07-28,3.1775
2016-07-29,3.1525
2016-08-01,3.3475
2016-08-02,3.3475
2016-08-03,3.375
2016-08-04,3.2525
2016-08-05,3.145
2016-08-08,3.175
2016-08-09,3.135
