Date,Value
2016-01-04,6.6025
2016-01-05,6.505
2016-01-07,6.5375
2016-01-08,6.5675
2016-01-11,6.6425
2016-01-12,6.685
2016-01-13,6.6675
2016-01-14,6.8375
2016-01-15,7.03
2016-01-18,7.215
2016-01-19,7.07
2016-01-20,7.17
2016-01-22,7.0275
2016-01-25,6.97
2016-01-26,6.965
2016-01-27,6.975
2016-01-28,6.96
2016-01-29,7.11
2016-02-01,7.0575
2016-02-02,6.79
2016-02-03,6.86
2016-02-04,6.8575
2016-02-05,6.8625
2016-02-08,6.86
2016-02-09,6.915
2016-02-10,6.89
2016-02-11,6.875
2016-02-12,7.04
2016-02-15,7.115
2016-02-16,7.0375
2016-02-17,7.02
2016-02-18,6.9475
2016-02-22,6.93
2016-02-23,6.905
2016-02-24,6.9075
2016-02-25,6.535
2016-02-26,6.5275
2016-02-29,6.4925
2016-03-01,6.415
2016-03-02,6.27
2016-03-03,6.21
2016-03-04,6.235
2016-03-07,6.2325
2016-03-08,6.22
2016-03-10,6.1025
2016-03-11,6.105
2016-03-14,6.14
2016-03-15,6.1075
2016-03-16,6.1025
2016-03-18,6.145
2016-03-21,6.195
2016-03-22,6.225
2016-03-23,6.125
2016-03-24,6.1375
2016-03-25,6.13
2016-03-28,6.1325
2016-03-30,6.0975
2016-03-31,5.905
2016-04-01,6.145
2016-04-05,6.175
2016-04-06,6.19
2016-04-07,6.235
2016-04-08,6.24
2016-04-11,6.2425
2016-04-12,6.245
2016-04-13,6.235
2016-04-14,6.225
2016-04-15,6.265
2016-04-18,6.2475
2016-04-19,6.245
2016-04-20,6.235
2016-04-21,6.32
2016-04-25,6.395
2016-04-26,6.4725
2016-04-27,6.4675
2016-04-28,6.4275
2016-05-02,6.4325
2016-05-03,6.3725
2016-05-04,6.4625
2016-05-05,6.47
2016-05-06,6.4775
2016-05-09,6.49
2016-05-10,6.4675
2016-05-11,6.4625
2016-05-12,6.46
2016-05-13,6.4675
2016-05-16,6.4725
2016-05-17,6.4475
2016-05-18,6.4475
2016-05-19,6.445
2016-05-20,6.475
2016-05-23,6.4775
2016-05-24,6.5575
2016-05-25,6.5
2016-05-26,6.495
2016-05-27,6.2275
2016-05-30,6.2375
2016-05-31,6.2275
2016-06-01,6.2225
2016-06-02,6.1325
2016-06-03,6.1775
2016-06-06,6.15
2016-06-08,5.9725
2016-06-09,5.9375
2016-06-10,5.9775
2016-06-13,5.9875
2016-06-14,6.0825
2016-06-15,5.93
2016-06-16,5.9325
2016-06-17,5.94
2016-06-20,5.8825
2016-06-21,5.6375
2016-06-22,5.735
2016-06-23,5.75
2016-06-24,6.535
2016-06-27,6.515
2016-06-28,6.025
2016-06-29,6.065
2016-06-30,6.005
2016-07-01,5.9325
2016-07-04,5.8675
2016-07-05,5.865
2016-07-06,5.8625
2016-07-07,5.9075
2016-07-08,5.8475
2016-07-11,5.8375
2016-07-12,5.875
2016-07-13,5.875
2016-07-14,5.9375
2016-07-15,5.86
2016-07-18,5.9075
2016-07-19,5.85
2016-07-20,5.845
2016-07-21,5.79
2016-07-22,5.79
2016-08-11,5.8125
2016-08-15,5.835
2016-08-25,5.875
2016-09-14,6.36
2016-10-06,6.645
2016-10-14,6.6825
2016-10-27,6.2725
2016-12-12,7.1725
2021-02-18,3.13
2021-02-19,3.115
2021-02-22,3.1275
2021-02-23,3.1575
2021-02-24,3.0775
2021-02-25,3.0875
2021-02-26,3.3675
2021-03-01,3.3875
2021-03-02,3.325
2021-03-03,3.2525
2021-03-04,3.205
2021-03-05,3.205
2021-03-08,3.2575
2021-03-09,3.22
2021-03-10,3.2175
2021-03-11,3.2275
2021-03-12,3.3025
2021-03-15,3.3225
2021-03-16,3.375
2021-03-17,3.4475
2021-03-18,3.415
2021-03-19,3.4225
2021-03-22,3.4475
2021-03-23,3.4725
2021-03-24,3.4775
2021-03-25,3.4225
2021-03-26,3.3975
2021-03-29,3.3875
2021-03-30,3.3075
2021-03-31,3.3125
2021-04-01,3.305
2021-04-02,3.3125
2021-04-05,3.3125
2021-04-06,3.2875
2021-04-07,3.215
2021-04-08,3.2675
2021-04-09,3.26
2021-04-12,3.2275
2021-04-13,3.2075
2021-04-14,3.1825
2021-04-15,3.1625
2021-04-16,3.1975
2021-04-19,3.1975
2021-04-20,3.2
2021-04-21,3.1975
2021-04-22,3.205
2021-04-23,3.1975
2021-04-26,3.2075
2021-04-27,3.2075
2021-04-28,3.2075
2021-04-29,3.155
2021-04-30,3.165
2021-05-03,3.205
2021-05-04,3.15
2021-05-05,3.2275
2021-05-06,3.18
2021-05-07,3.105
2021-05-10,3.1075
2021-05-11,3.0375
2021-05-12,3.085
2021-05-14,3.115
2021-05-17,3.145
2021-05-18,3.12
2021-05-19,3.1075
2021-05-20,3.1125
2021-05-21,3.105
2021-05-24,3.1325
2021-05-25,3.1625
2021-05-26,3.1325
2021-05-27,3.12
2021-05-28,3.105
2021-05-31,3.095
2021-06-01,3.09
2021-06-02,3.1025
2021-06-03,3.1
2021-06-04,3.0875
2021-06-07,3.0725
2021-06-08,3.0075
2021-06-09,2.9775
2021-06-10,2.9925
2021-06-11,2.9775
2021-06-14,2.9875
2021-06-15,2.9375
2021-06-16,2.9725
2021-06-17,3.0375
2021-06-18,3.0225
2021-06-21,3.18
2021-06-22,3.125
2021-06-23,3.1625
2021-06-24,3.12
2021-06-25,3.1175
2021-06-28,3.1425
2021-06-29,3.1125
2021-06-30,3.14
2021-07-01,3.2875
2021-07-02,3.3675
2021-07-05,3.2425
2021-07-06,3.255
2021-07-07,3.425
2021-07-08,3.5275
2021-07-09,3.6425
2021-07-12,3.6525
2021-07-13,3.625
2021-07-14,3.61
2021-07-15,3.635
2021-07-16,3.6025
2021-07-19,3.5525
2021-07-21,3.6075
2021-07-22,3.6575
2021-07-23,3.585
2021-07-26,3.6275
2021-07-27,3.5625
2021-07-28,3.6
2021-07-29,3.56
2021-07-30,3.5425
2021-08-02,3.5725
2021-08-03,3.595
2021-08-04,3.5675
2021-08-05,3.665
2021-08-06,3.62
2021-08-09,3.68
2021-08-10,3.7125
2021-08-11,3.6325
2021-08-12,3.7
2021-08-13,3.64
2021-08-16,3.625
2021-08-17,3.685
2021-08-18,3.695
2021-08-19,3.64
2021-08-20,3.61
2021-08-23,3.6
2021-08-24,3.6025
2021-08-25,3.5925
2021-08-26,3.6425
2021-08-27,3.56
2021-08-30,3.535
2021-08-31,3.56
2021-09-01,3.495
2021-09-02,3.49
2021-09-03,3.5025
2021-09-06,3.5
2021-09-07,3.505
2021-09-08,3.535
2021-09-09,3.5375
2021-09-10,3.5325
2021-09-13,3.5575
2021-09-14,3.5625
2021-09-15,3.53
2021-09-16,3.57
2021-09-17,3.585
2021-09-20,3.58
2021-09-21,3.59
2021-09-22,3.5675
2021-09-23,3.5575
2021-09-24,3.5475
2021-09-27,3.5975
2021-09-28,3.6
2021-09-29,3.6225
2021-09-30,3.615
2021-10-01,3.555
2021-10-04,3.625
2021-10-05,3.6325
2021-10-06,3.66
2021-10-07,3.6775
2021-10-08,3.67
2021-10-11,3.6575
2021-10-12,3.665
2021-10-13,3.6525
2021-10-14,3.67
2021-10-15,3.6525
2021-10-18,3.6575
2021-10-19,3.6825
2021-10-20,3.6375
2021-10-21,3.6375
2021-10-22,3.63
2021-10-25,3.6125
2021-10-26,3.59
2021-10-27,3.57
2021-10-28,3.585
2021-10-29,3.5075
2021-11-01,3.55
2021-11-02,3.5175
2021-11-03,3.51
2021-11-04,3.54
2021-11-05,3.5075
2021-11-08,3.5
2021-11-09,3.535
2021-11-10,3.4625
2021-11-11,3.5
2021-11-12,3.5
2021-11-15,3.5275
2021-11-16,3.4825
2021-11-17,3.5175
2021-11-18,3.5275
2021-11-19,3.5225
2021-11-22,3.5725
2021-11-23,3.595
2021-11-24,3.6425
2021-11-25,3.6525
2021-11-26,3.705
2021-11-29,3.7425
2021-11-30,3.675
2021-12-01,3.5975
2021-12-02,3.6025
2021-12-03,3.6175
2021-12-06,3.7
2021-12-07,3.685
2021-12-08,3.685
2021-12-09,3.6775
2021-12-10,3.6425
2021-12-13,3.65
2021-12-14,3.65
2021-12-15,3.65
2021-12-16,3.5775
2021-12-17,3.4825
2021-12-20,3.4775
2021-12-21,3.4975
2021-12-22,3.5025
2021-12-23,3.4725
2021-12-24,3.4775
2021-12-27,3.52
2021-12-28,3.56
2021-12-29,3.835
2021-12-30,3.6675
2021-12-31,3.765
2022-01-03,3.835
2022-01-04,3.9475
2022-01-05,3.8925
2022-01-06,3.9375
2022-01-07,3.9025
2022-01-10,3.92
2022-01-11,3.95
2022-01-12,3.945
2022-01-13,3.925
2022-01-14,3.865
2022-01-17,3.9375
2022-01-18,3.9875
2022-01-19,3.9875
2022-01-20,4.025
2022-01-21,4.02
2022-01-24,4.015
2022-01-25,3.995
2022-01-26,4.0025
2022-01-27,3.945
2022-01-28,3.9375
2022-01-31,3.925
2022-02-02,3.9925
2022-02-03,3.9175
2022-02-04,3.9075
2022-02-07,3.9225
2022-02-08,3.8975
2022-02-09,3.845
2022-02-10,3.8325
2022-02-11,3.8875
2022-02-14,3.9025
2022-02-15,3.9
2022-02-16,3.85
2022-02-17,3.7475
2022-02-18,3.74
2022-02-21,3.7225
2022-02-22,3.7475
2022-02-23,3.7275
2022-02-24,3.7475
2022-02-25,3.6575
2022-02-28,3.7125
2022-03-01,3.7025
2022-03-02,3.7775
2022-03-03,3.74
2022-03-04,3.845
2022-03-07,4.47
2022-03-08,4.7575
2022-03-09,4.71
2022-03-10,4.56
2022-03-11,4.3925
2022-03-14,4.5875
2022-03-15,4.6675
2022-03-16,4.62
2022-03-17,4.5275
2022-03-18,4.4825
2022-03-21,4.4375
2022-03-22,4.4275
2022-03-23,4.4275
2022-03-24,4.4
2022-03-25,4.3175
2022-03-28,4.3625
2022-03-29,4.33
2022-03-30,4.2875
2022-03-31,4.1775
2022-04-01,4.1475
2022-04-04,4.1025
2022-04-05,4.1075
2022-04-06,4.1875
2022-04-07,4.1975
2022-04-08,4.195
2022-04-11,4.3225
2022-04-12,4.4375
2022-04-13,4.4875
2022-04-14,4.3625
2022-04-15,4.365
2022-04-18,4.4175
2022-04-19,4.535
2022-04-20,4.3775
2022-04-21,4.34
2022-04-22,4.365
2022-04-25,4.3925
2022-04-26,4.355
2022-04-27,4.4175
2022-04-28,4.6825
2022-04-29,4.6325
2022-05-02,4.8725
2022-05-04,4.9175
2022-05-05,4.7875
2022-05-06,4.8875
2022-05-09,4.9225
2022-05-10,5.0075
2022-05-11,4.84
2022-05-12,4.9175
2022-05-13,4.865
2022-05-16,5.07
2022-05-17,4.7575
2022-05-18,4.7275
2022-05-19,4.705
2022-05-20,4.7325
2022-05-23,4.68
2022-05-24,4.68
2022-05-25,4.6925
2022-05-26,4.7175
2022-05-27,4.745
2022-05-30,4.63
2022-05-31,4.55
2022-06-01,4.5825
2022-06-02,4.76
2022-06-03,4.8075
2022-06-06,4.9775
2022-06-07,4.8225
2022-06-08,4.805
2022-06-09,4.7875
2022-06-10,4.7725
2022-06-13,4.91
2022-06-14,5.0
2022-06-15,5.0
2022-06-16,4.9425
2022-06-17,4.8575
2022-06-20,4.9575
2022-06-21,4.9
2022-06-22,4.91
2022-06-23,5.0075
2022-06-24,5.0225
2022-06-27,5.03
2022-06-28,5.0275
2022-06-29,4.88
2022-06-30,4.835
2022-07-01,4.8525
2022-07-04,4.86
2022-07-05,4.74
2022-07-06,4.9
2022-07-07,5.0675
2022-07-08,5.0525
2022-07-12,5.1275
2022-07-13,5.175
2022-07-14,5.1275
2022-07-15,5.2525
2022-07-18,5.2275
2022-07-19,5.225
2022-07-20,5.205
2022-07-21,5.21
2022-07-22,5.1975
2022-07-25,5.185
2022-07-26,5.155
2022-07-27,5.035
2022-07-28,5.055
2022-07-29,5.01
2022-08-01,5.0225
2022-08-02,5.005
2022-08-03,4.9625
2022-08-04,4.9425
2022-08-05,4.95
2022-08-08,4.93
2022-08-09,4.905
2022-08-10,4.91
2022-08-11,4.8475
2022-08-12,4.8575
2022-08-15,4.86
2022-08-16,4.85
2022-08-17,4.8525
2022-08-18,4.95
2022-08-19,4.8075
2022-08-22,4.8875
2022-08-23,4.875
2022-08-24,4.895
2022-08-25,4.8325
2022-08-26,4.845
2022-08-29,4.82
2022-08-30,4.8525
2022-08-31,5.065
2022-09-01,4.8575
2022-09-02,5.0325
2022-09-05,4.975
2022-09-06,4.9625
2022-09-07,5.0
2022-09-08,4.955
2022-09-09,4.89
2022-09-12,4.8425
2022-09-13,4.805
2022-09-14,4.7725
2022-09-15,4.8275
2022-09-16,4.9325
2022-09-19,4.9275
2022-09-20,4.88
2022-09-21,5.0
2022-09-22,5.055
2022-09-23,5.0775
2022-09-26,5.0875
2022-09-27,5.27
2022-09-28,5.4325
2022-09-29,5.615
2022-09-30,5.57
2022-10-03,5.4625
2022-10-04,5.4575
2022-10-05,5.3975
2022-10-06,5.36
2022-10-07,5.3625
2022-10-10,5.575
2022-10-11,5.4325
2022-10-12,5.4725
2022-10-13,5.4725
2022-10-14,5.435
2022-10-17,5.4325
2022-10-18,5.455
2022-10-19,5.37
2022-10-20,5.42
2022-10-21,5.44
2022-10-24,5.6975
2022-10-25,5.3975
