Date,Value
2016-01-01,4.4975
2016-01-04,5.5725
2016-01-05,4.965
2016-01-06,4.8275
2016-01-07,5.295
2016-01-08,5.0025
2016-01-11,4.9075
2016-01-12,5.0925
2016-01-13,5.1275
2016-01-14,6.2425
2016-01-15,6.54
2016-01-18,6.5475
2016-01-19,6.3075
2016-01-20,6.2425
2016-01-21,6.25
2016-01-22,6.6125
2016-01-25,6.465
2016-01-26,6.52
2016-01-27,6.61
2016-01-28,6.665
2016-01-29,6.6975
2016-02-01,6.58
2016-02-02,6.05
2016-02-03,6.495
2016-02-04,6.45
2016-02-05,6.7625
2016-02-08,6.24
2016-02-09,6.3875
2016-02-10,6.3825
2016-02-11,6.4825
2016-02-12,6.595
2016-02-15,6.4325
2016-02-16,6.2325
2016-02-17,5.7075
2016-02-18,5.395
2016-02-19,5.2975
2016-02-22,5.0675
2016-02-23,5.015
2016-02-24,4.91
2016-02-25,4.935
2016-02-26,4.99
2016-02-29,4.82
2016-03-01,5.0025
2016-03-02,4.5925
2016-03-03,4.7725
2016-03-04,4.7375
2016-03-07,4.535
2016-03-08,4.37
2016-03-09,4.38
2016-03-10,4.8025
2016-03-11,4.915
2016-03-14,4.97
2016-03-15,4.98
2016-03-16,4.94
2016-03-17,4.75
2016-03-18,5.275
2016-03-21,5.075
2016-03-22,4.955
2016-03-23,5.005
2016-03-24,5.085
2016-03-25,4.935
2016-03-28,4.8725
2016-03-29,4.6975
2016-03-30,4.8025
2016-03-31,4.635
2016-04-01,5.0825
2016-04-04,4.755
2016-04-05,4.825
2016-04-06,4.795
2016-04-07,4.7975
2016-04-08,4.6375
2016-04-11,4.7625
2016-04-12,4.7425
2016-04-13,4.475
2016-04-14,4.92
2016-04-15,4.905
2016-04-18,4.7975
2016-04-19,4.8725
2016-04-20,4.8475
2016-04-21,5.185
2016-04-22,5.17
2016-04-25,5.395
2016-04-26,5.42
2016-04-27,5.3675
2016-04-28,5.0475
2016-04-29,4.9975
2016-05-02,5.1425
2016-05-03,5.85
2016-05-04,6.53
2016-05-05,6.8
2016-05-06,6.9025
2016-05-09,6.4675
2016-05-10,5.7225
2016-05-11,5.9
2016-05-12,5.695
2016-05-13,5.7425
2016-05-16,5.565
2016-05-17,5.4275
2016-05-18,5.4475
2016-05-19,5.5525
2016-05-20,5.55
2016-05-23,5.5075
2016-05-24,5.52
2016-05-25,5.2125
2016-05-26,5.125
2016-05-27,5.0
2016-05-30,5.325
2016-05-31,5.145
2016-06-01,4.7025
2016-06-02,4.7675
2016-06-03,4.83
2016-06-06,4.6475
2016-06-07,4.1875
2016-06-08,3.9975
2016-06-09,4.01
2016-06-10,4.82
2016-06-13,4.9325
2016-06-14,5.285
2016-06-15,5.21
2016-06-16,5.2975
2016-06-17,6.205
2016-06-20,6.235
2016-06-21,5.73
2016-06-22,6.2
2016-06-23,6.1075
2016-06-24,7.655
2016-06-27,6.77
2016-06-28,5.4125
2016-06-29,4.6925
2016-06-30,4.6925
2016-07-01,5.375
2016-07-04,4.9575
2016-07-05,4.8625
2016-07-06,4.9975
2016-07-07,4.8775
2016-07-08,5.05
2016-07-11,4.92
2016-07-12,5.055
2016-07-13,5.12
2016-07-14,5.1225
2016-07-15,4.995
2016-07-18,4.7125
2016-07-19,4.785
2016-07-20,4.8775
2016-07-21,5.235
2016-07-22,4.9025
2016-07-25,5.2225
2016-07-26,5.0675
2016-07-27,5.2225
2016-07-28,4.91
2016-07-29,5.38
2016-08-01,5.38
2016-08-02,5.38
2016-08-03,5.38
2016-08-04,4.755
2016-08-05,4.64
2016-08-08,4.51
2016-08-09,4.535
2016-08-10,4.5775
2016-08-11,4.6025
2016-08-12,4.805
2016-08-15,4.1075
2016-08-16,4.21
2016-08-17,4.365
2016-08-18,4.31
2016-08-19,4.15
2016-08-22,4.285
2016-08-23,5.82
2016-08-24,5.24
2016-08-25,5.78
2016-08-26,5.4
2016-08-29,5.33
2016-08-30,5.06
2016-08-31,5.085
2016-09-01,5.1225
2016-09-02,5.355
2016-09-05,5.245
2016-09-06,4.43
2016-09-08,4.8075
2016-09-09,5.0875
2016-09-12,5.4175
2016-09-13,5.8075
2016-09-14,5.83
2016-09-15,6.7875
2016-09-16,7.1625
2016-09-19,7.375
2016-09-20,7.2975
2016-09-21,7.185
2016-09-22,6.1975
2016-09-23,6.4925
2016-09-26,6.13
2016-09-27,6.24
2016-09-28,6.2625
2016-09-29,6.1
2016-09-30,6.65
2016-10-03,6.505
2016-10-04,6.185
2016-10-05,6.165
2016-10-06,6.2075
2016-10-07,6.725
2016-10-10,6.2025
2016-10-11,6.445
2016-10-12,6.34
2016-10-13,6.3225
2016-10-14,6.125
2016-10-18,6.325
2016-10-19,5.7975
2016-10-20,5.765
2016-10-21,5.8075
2016-10-24,5.975
2016-10-25,5.755
2016-10-26,5.8575
2016-10-27,5.92
2016-10-28,6.285
2016-10-31,6.445
2016-11-01,6.265
2016-11-02,7.115
2016-11-03,6.3975
2016-11-04,6.59
2016-11-07,6.09
2016-11-08,6.285
2016-11-09,5.7225
2016-11-10,5.49
2016-11-11,6.4275
2016-11-14,6.55
2016-11-15,7.055
2016-11-16,6.99
2016-11-17,7.02
2016-11-18,6.6125
2016-11-21,6.9925
2016-11-22,6.955
2016-11-23,6.43
2016-11-24,6.6
2016-11-25,7.415
2016-11-28,7.345
2016-11-29,7.13
2016-11-30,7.4625
2016-12-01,7.0225
2016-12-02,7.47
2016-12-05,6.7725
2016-12-06,6.7275
2016-12-07,6.7725
2016-12-08,7.3475
2016-12-09,7.5575
2016-12-12,7.4175
2016-12-13,7.4275
2016-12-14,7.4175
2016-12-15,7.4775
2016-12-16,6.8075
2016-12-19,6.4675
2016-12-20,6.3925
2016-12-21,6.38
2016-12-22,6.3175
2016-12-23,5.9875
2016-12-26,6.0775
2016-12-27,6.2625
2016-12-28,6.3225
2016-12-29,6.3725
2016-12-30,6.8475
2017-01-02,6.9725
2017-01-03,6.7475
2017-01-04,6.4725
2017-01-05,6.4425
2017-01-06,6.6125
2017-01-09,6.1125
2017-01-10,6.0925
2017-01-11,6.0675
2017-01-12,6.0725
2017-01-13,6.1625
2017-01-16,6.0725
2017-01-17,6.1075
2017-01-18,6.1475
2017-01-19,6.1425
2017-01-20,6.0425
2017-01-23,5.8725
2017-01-24,5.8525
2017-01-25,5.6875
2017-01-26,5.2525
2017-01-27,5.3775
2017-01-30,5.3425
2017-01-31,4.9675
2017-02-01,5.1225
2017-02-02,5.0725
2017-02-03,4.4025
2017-02-06,4.4175
2017-02-07,4.1325
2017-02-08,4.1725
2017-02-09,4.1775
2017-02-10,4.1675
2017-02-13,4.1075
2017-02-14,4.3475
2017-02-15,4.1075
2017-02-16,3.9125
2017-02-17,3.7525
2017-02-20,4.4275
2017-02-21,4.5275
2017-02-22,4.6075
2017-02-23,4.5275
2017-02-24,4.3225
2017-02-27,4.3375
2017-02-28,4.3325
2017-03-01,4.3175
2017-03-02,4.4375
2017-03-03,4.7525
2017-03-06,4.4925
2017-03-07,4.4325
2017-03-08,4.4975
2017-03-09,4.8025
2017-03-10,5.3025
2017-03-13,5.2675
2017-03-14,5.0125
2017-03-15,4.8925
2017-03-16,4.5975
2017-03-17,4.3925
2017-03-20,4.3775
2017-03-21,4.3075
2017-03-22,4.3025
2017-03-23,4.2975
2017-03-24,4.3975
2017-03-27,4.3475
2017-03-28,4.3575
2017-03-29,4.3525
2017-03-30,4.4275
2017-03-31,4.8075
2017-04-03,4.6875
2017-04-04,4.4375
2017-04-05,4.4575
2017-04-06,4.4375
2017-04-07,4.6825
2017-04-10,5.0275
2017-04-11,5.0425
2017-04-12,5.0475
2017-04-13,5.0575
2017-04-14,5.1875
2017-04-17,5.5075
2017-04-18,5.5025
2017-04-19,5.5075
2017-04-20,5.5475
2017-04-21,5.71
2017-04-24,5.485
2017-04-25,4.9525
2017-04-26,4.7725
2017-04-27,5.1075
2017-04-28,5.6275
2017-05-01,6.0225
2017-05-02,6.1225
2017-05-03,6.0975
2017-05-04,5.5925
2017-05-05,5.8275
2017-05-08,4.9725
2017-05-09,4.9775
2017-05-10,4.9825
2017-05-11,4.9775
2017-05-12,4.9725
2017-05-15,4.1825
2017-05-16,4.2275
2017-05-17,4.1725
2017-05-18,4.4625
2017-05-19,4.6175
2017-05-22,4.5775
2017-05-23,4.7025
2017-05-24,4.6175
2017-05-25,4.7375
2017-05-26,4.9925
2017-05-29,4.6075
2017-05-30,4.63
2017-05-31,4.7125
2017-06-01,4.7775
2017-06-02,4.7325
2017-06-05,4.7725
2017-06-06,4.8025
2017-06-07,4.8925
2017-06-08,4.8025
2017-06-09,4.7525
2017-06-12,4.6825
2017-06-13,4.8275
2017-06-14,4.7475
2017-06-15,4.7375
2017-06-16,5.025
2017-06-19,4.795
2017-06-20,4.71
2017-06-21,4.82
2017-06-22,4.985
2017-06-23,4.895
2017-06-26,4.77
2017-06-27,4.675
2017-06-28,4.78
2017-06-29,4.89
2017-06-30,5.965
2017-07-03,5.615
2017-07-04,5.615
2017-07-05,5.59
2017-07-06,5.555
2017-07-07,5.65
2017-07-10,5.635
2017-07-11,5.625
2017-07-12,5.755
2017-07-13,5.745
2017-07-14,5.655
2017-07-17,5.69
2017-07-18,5.685
2017-07-19,5.79
2017-07-20,5.465
2017-07-21,5.375
2017-07-24,5.405
2017-07-25,5.28
2017-07-26,5.305
2017-07-27,5.12
2017-07-28,5.405
2017-07-31,5.1
2017-08-01,5.095
2017-08-02,5.485
2017-08-03,5.065
2017-08-04,5.26
2017-08-07,5.11
2017-08-08,5.145
2017-08-09,5.11
2017-08-10,5.44
2017-08-11,5.545
2017-08-14,5.63
2017-08-15,5.62
2017-08-16,5.675
2017-08-17,5.755
2017-08-18,5.72
2017-08-21,5.715
2017-08-22,5.72
2017-08-23,5.72
2017-08-24,5.715
2017-08-25,5.95
2017-08-28,5.54
2017-08-29,5.61
2017-08-30,5.62
2017-08-31,5.565
2017-09-01,5.605
2017-09-04,5.565
2017-09-05,5.63
2017-09-06,5.635
2017-09-07,5.815
2017-09-08,5.62
2017-09-11,5.615
2017-09-12,5.65
2017-09-13,5.645
2017-09-14,5.545
2017-09-15,5.535
2017-09-18,5.555
2017-09-19,5.53
2017-09-20,5.585
2017-09-21,5.605
2017-09-22,5.58
2017-09-25,5.605
2017-09-26,5.62
2017-09-27,5.685
2017-09-28,5.655
2017-09-29,5.91
2017-10-02,5.59
2017-10-03,5.575
2017-10-04,5.51
2017-10-05,5.495
2017-10-06,5.625
2017-10-09,5.52
2017-10-10,5.525
2017-10-11,5.96
2017-10-12,5.95
2017-10-13,5.99
2017-10-16,5.685
2017-10-17,5.52
2017-10-18,5.57
2017-10-19,5.75
2017-10-20,5.53
2017-10-23,5.46
2017-10-24,5.455
2017-10-25,5.59
2017-10-26,5.55
2017-10-27,5.65
2017-10-30,5.535
2017-10-31,5.54
2017-11-01,5.505
2017-11-02,5.535
2017-11-03,5.485
2017-11-06,5.455
2017-11-07,5.11
2017-11-08,5.125
2017-11-09,5.03
2017-11-10,4.99
2017-11-13,5.015
2017-11-14,5.03
