Date,Value
2016-01-01,6.7925
2016-01-04,6.83
2016-01-05,6.615
2016-01-06,6.59
2016-01-07,6.74
2016-01-08,6.78
2016-01-11,6.95
2016-01-12,7.015
2016-01-13,6.995
2016-01-14,7.25
2016-01-15,7.53
2016-01-18,7.545
2016-01-19,7.425
2016-01-20,7.455
2016-01-21,7.445
2016-01-22,7.4675
2016-01-25,7.345
2016-01-26,7.37
2016-01-27,7.3675
2016-01-28,7.39
2016-01-29,7.39
2016-02-01,7.3375
2016-02-02,7.125
2016-02-03,7.25
2016-02-04,7.195
2016-02-05,7.1625
2016-02-08,7.15
2016-02-09,7.2
2016-02-10,7.2125
2016-02-11,7.235
2016-02-12,7.4275
2016-02-15,7.375
2016-02-16,7.3975
2016-02-17,7.3825
2016-02-18,7.2675
2016-02-19,7.2275
2016-02-22,7.2175
2016-02-23,7.1475
2016-02-24,7.0425
2016-02-25,6.7225
2016-02-26,6.79
2016-02-29,6.6275
2016-03-01,6.6175
2016-03-02,6.2225
2016-03-03,6.2425
2016-03-04,6.245
2016-03-07,6.2625
2016-03-08,6.2375
2016-03-09,6.2425
2016-03-10,6.0925
2016-03-11,6.105
2016-03-14,6.1775
2016-03-15,6.1575
2016-03-16,6.1325
2016-03-17,6.1175
2016-03-18,6.18
2016-03-21,6.2425
2016-03-22,6.2325
2016-03-23,6.265
2016-03-24,6.27
2016-03-25,6.2725
2016-03-28,6.2525
2016-03-29,6.2175
2016-03-30,6.1725
2016-03-31,5.91
2016-04-01,6.2225
2016-04-04,6.2125
2016-04-05,6.32
2016-04-06,6.3075
2016-04-07,6.3625
2016-04-08,6.3475
2016-04-11,6.3775
2016-04-12,6.3725
2016-04-13,6.2775
2016-04-14,6.4225
2016-04-15,6.4275
2016-04-18,6.4425
2016-04-19,6.4625
2016-04-20,6.4625
2016-04-21,6.4875
2016-04-22,6.5375
2016-04-25,6.6175
2016-04-26,6.725
2016-04-27,6.7175
2016-04-28,6.61
2016-04-29,6.6025
2016-05-02,6.6725
2016-05-03,6.5225
2016-05-04,6.5675
2016-05-05,6.6125
2016-05-06,6.675
2016-05-09,6.7025
2016-05-10,6.685
2016-05-11,6.6475
2016-05-12,6.62
2016-05-13,6.645
2016-05-16,6.605
2016-05-17,6.595
2016-05-18,6.5925
2016-05-19,6.705
2016-05-20,6.705
2016-05-23,6.6825
2016-05-24,6.7025
2016-05-25,6.69
2016-05-26,6.67
2016-05-27,6.3125
2016-05-30,6.24
2016-05-31,6.2225
2016-06-01,6.2225
2016-06-02,6.225
2016-06-03,6.21
2016-06-06,6.2175
2016-06-07,6.075
2016-06-08,5.905
2016-06-09,5.905
2016-06-10,6.0175
2016-06-13,6.0325
2016-06-14,6.3575
2016-06-15,6.33
2016-06-16,6.285
2016-06-17,6.28
2016-06-20,6.2125
2016-06-21,5.985
2016-06-22,5.98
2016-06-23,6.0
2016-06-24,6.915
2016-06-27,6.8475
2016-06-28,6.5075
2016-06-29,6.305
2016-06-30,6.2925
2016-07-01,6.2075
2016-07-04,6.11
2016-07-05,6.1075
2016-07-06,6.13
2016-07-07,6.12
2016-07-08,6.11
2016-07-11,6.17
2016-07-12,6.17
2016-07-13,6.14
2016-07-14,6.16
2016-07-15,6.14
2016-07-18,6.0725
2016-07-19,6.0425
2016-07-20,6.0425
2016-07-21,6.065
2016-07-22,6.0225
2016-07-25,6.0325
2016-07-26,5.9925
2016-07-27,5.9975
2016-07-28,5.9775
2016-07-29,6.02
2016-08-01,5.965
2016-08-02,5.8925
2016-08-03,5.8875
2016-08-04,5.945
2016-08-05,5.9175
2016-08-08,5.8975
2016-08-09,5.9225
2016-08-10,5.9325
2016-08-11,5.9575
2016-08-12,5.9625
2016-08-15,5.9325
2016-08-16,5.9525
2016-08-17,5.98
2016-08-18,5.955
2016-08-19,5.945
2016-08-22,5.975
2016-08-23,6.19
2016-08-24,6.1725
2016-08-25,6.16
2016-08-26,6.1375
2016-08-29,6.09
2016-08-30,6.1125
2016-08-31,6.1225
2016-09-01,6.0525
2016-09-02,6.0225
2016-09-05,5.995
2016-09-06,6.0425
2016-09-07,5.9825
2016-09-08,6.06
2016-09-09,6.1125
2016-09-12,6.1925
2016-09-13,6.375
2016-09-14,6.4775
2016-09-15,6.5825
2016-09-16,6.71
2016-09-19,6.6525
2016-09-20,6.6425
2016-09-21,6.66
2016-09-22,6.5225
2016-09-23,6.5175
2016-09-26,6.5025
2016-09-27,6.575
2016-09-28,6.875
2016-09-29,6.8325
2016-09-30,6.8125
2016-10-03,6.8325
2016-10-04,6.7175
2016-10-05,6.7125
2016-10-06,6.6275
2016-10-07,6.5425
2016-10-10,6.5525
2016-10-11,6.5525
2016-10-12,6.6775
2016-10-13,6.7375
2016-10-14,6.7325
2016-10-17,6.65
2016-10-18,6.6425
2016-10-19,6.675
2016-10-20,6.4575
2016-10-21,6.435
2016-10-24,6.43
2016-10-25,6.3625
2016-10-26,6.3775
2016-10-27,6.3625
2016-10-28,6.3675
2016-10-31,6.36
2016-11-01,6.3725
2016-11-02,6.365
2016-11-03,6.35
2016-11-04,6.3525
2016-11-07,6.3825
