Date,Value
2016-01-01,0.715
2016-01-04,0.745
2016-01-05,0.745
2016-01-06,0.7475
2016-01-07,0.755
2016-01-08,0.7625
2016-01-11,0.77
2016-01-12,0.79
2016-01-13,0.785
2016-01-14,0.8
2016-01-15,0.805
2016-01-18,0.755
2016-01-19,0.81
2016-01-20,0.84
2016-01-21,0.85
2016-01-22,0.845
2016-01-25,0.845
2016-01-26,0.8425
2016-01-27,0.845
2016-01-28,0.845
2016-01-29,0.86
2016-02-01,0.865
2016-02-02,0.8925
2016-02-03,1.0
2016-02-04,0.99
2016-02-05,0.9625
2016-02-08,0.98
2016-02-09,1.08
2016-02-10,1.09
2016-02-11,1.22
2016-02-12,1.215
2016-02-15,1.1425
2016-02-16,1.1825
2016-02-17,1.1675
2016-02-18,1.11
2016-02-19,1.065
2016-02-22,1.15
2016-02-23,1.1275
2016-02-24,1.165
2016-02-25,1.145
2016-02-26,1.165
2016-02-29,1.145
2016-03-01,1.095
2016-03-02,1.12
2016-03-03,1.105
2016-03-04,1.08
2016-03-07,1.07
2016-03-08,1.04
2016-03-09,0.99
2016-03-10,0.985
2016-03-11,0.99
2016-03-14,1.01
2016-03-15,0.97
2016-03-16,0.9575
2016-03-17,0.985
2016-03-18,0.99
2016-03-21,1.0075
2016-03-22,0.95
2016-03-23,1.145
2016-03-24,1.175
2016-03-25,1.16
2016-03-28,1.1675
2016-03-29,1.1925
2016-03-30,1.195
2016-03-31,1.17
2016-04-01,1.17
2016-04-04,1.165
2016-04-05,1.175
2016-04-06,1.145
2016-04-07,1.18
2016-04-08,1.18
2016-04-11,1.19
2016-04-12,1.205
2016-04-13,1.2225
2016-04-14,1.22
2016-04-15,1.215
2016-04-18,1.23
2016-04-19,1.245
2016-04-20,1.2475
2016-04-21,1.2
2016-04-22,1.21
2016-04-25,1.24
2016-04-26,1.1825
2016-04-27,1.165
2016-04-28,1.115
2016-04-29,1.0925
2016-05-02,1.11
2016-05-03,1.155
2016-05-04,1.16
2016-05-05,1.145
2016-05-06,1.1575
2016-05-09,1.165
2016-05-10,1.14
2016-05-11,1.115
2016-05-12,1.14
2016-05-13,1.1525
2016-05-16,1.145
2016-05-17,1.19
2016-05-18,1.195
2016-05-19,1.175
2016-05-20,1.14
2016-05-23,1.1375
2016-05-24,1.115
2016-05-25,0.99
2016-05-26,0.9175
2016-05-27,0.89
2016-05-30,0.89
2016-05-31,0.8925
2016-06-01,0.8625
2016-06-02,0.875
2016-06-03,0.89
2016-06-06,0.885
2016-06-07,0.885
2016-06-08,0.92
2016-06-09,1.025
2016-06-10,1.15
2016-06-13,1.22
2016-06-14,1.305
2016-06-15,1.315
2016-06-16,1.23
2016-06-17,1.255
2016-06-20,1.285
2016-06-21,1.21
2016-06-22,1.2425
2016-06-23,1.315
2016-06-24,1.39
2016-06-27,1.2875
2016-06-28,1.25
2016-06-29,1.205
2016-06-30,1.1
2016-07-01,1.065
2016-07-04,1.0175
2016-07-05,0.995
2016-07-06,1.015
2016-07-07,0.995
2016-07-08,0.995
2016-07-11,0.9875
2016-07-12,0.95
2016-07-13,0.8925
2016-07-14,0.8775
2016-07-15,0.89
2016-07-18,0.8675
2016-07-19,0.87
2016-07-20,0.8875
2016-07-21,0.8825
2016-07-22,0.8925
2016-07-25,0.805
2016-07-26,0.8075
2016-07-27,0.7925
2016-07-28,0.795
2016-07-29,0.77
2016-08-01,0.755
2016-08-02,0.755
2016-08-03,0.7525
2016-08-04,0.75
2016-08-05,0.775
2016-08-08,0.76
2016-08-09,0.765
2016-08-10,0.765
2016-08-11,0.765
2016-08-12,0.76
2016-08-15,0.75
2016-08-16,0.775
2016-08-17,0.785
2016-08-18,0.79
2016-08-19,0.81
2016-08-22,0.805
2016-08-23,0.8125
2016-08-24,0.82
2016-08-25,0.795
2016-08-26,0.825
2016-08-29,0.85
2016-08-30,0.8925
2016-08-31,0.8925
2016-09-01,0.8925
2016-09-02,0.88
2016-09-05,0.87
2016-09-06,0.835
2016-09-07,0.8175
2016-09-08,0.84
2016-09-09,0.83
2016-09-12,0.84
2016-09-13,0.835
2016-09-14,0.8175
2016-09-15,0.855
2016-09-16,0.8125
2016-09-19,0.805
2016-09-20,0.7975
2016-09-21,0.815
2016-09-22,0.81
2016-09-23,0.815
2016-09-26,0.8
2016-09-27,0.82
2016-09-28,0.82
2016-09-29,0.815
2016-09-30,0.82
2016-10-03,0.81
2016-10-04,0.83
2016-10-05,0.82
2016-10-06,0.815
2016-10-07,0.82
2016-10-10,0.825
2016-10-11,0.83
2016-10-12,0.825
2016-10-13,0.825
2016-10-14,0.82
2016-10-17,0.83
2016-10-18,0.82
2016-10-19,0.805
2016-10-20,0.81
2016-10-21,0.835
2016-10-24,0.825
2016-10-25,0.83
2016-10-26,0.835
2016-10-27,0.83
2016-10-28,0.83
2016-10-31,0.835
2016-11-01,0.82
2016-11-02,0.875
2016-11-03,0.875
2016-11-04,0.9475
2016-11-07,0.87
2016-11-08,0.87
2016-11-09,0.9125
2016-11-10,0.855
2016-11-11,0.85
2016-11-14,0.895
2016-11-15,0.89
2016-11-16,0.9425
2016-11-17,0.975
2016-11-18,0.985
2016-11-21,0.975
2016-11-22,0.97
2016-11-23,0.965
2016-11-24,0.96
2016-11-25,0.965
2016-11-28,0.965
2016-11-29,0.955
2016-11-30,1.03
2016-12-01,1.005
2016-12-02,1.01
2016-12-05,0.975
2016-12-06,0.97
2016-12-07,0.925
2016-12-08,0.965
2016-12-09,0.96
2016-12-12,0.975
2016-12-13,0.975
2016-12-14,0.95
2016-12-15,1.02
2016-12-16,0.975
2016-12-19,0.975
2016-12-20,0.925
2016-12-21,0.98
2016-12-22,0.92
2016-12-23,0.885
2016-12-26,0.8875
2016-12-27,0.895
2016-12-28,0.895
2016-12-29,0.8925
2016-12-30,0.84
2017-01-02,0.88
2017-01-03,0.92
2017-01-04,0.92
2017-01-05,0.905
2017-01-06,0.905
2017-01-09,0.925
2017-01-10,0.915
2017-01-11,0.865
2017-01-12,0.88
2017-01-13,0.86
2017-01-16,0.86
2017-01-17,0.88
2017-01-18,0.85
2017-01-19,0.8625
2017-01-20,0.835
2017-01-23,0.83
2017-01-24,0.85
2017-01-25,0.845
2017-01-26,0.84
2017-01-27,0.8375
2017-01-30,0.8125
2017-01-31,0.825
2017-02-01,0.8375
2017-02-02,0.84
2017-02-03,0.83
2017-02-06,0.8775
2017-02-07,0.875
2017-02-08,0.9525
2017-02-09,0.9475
2017-02-10,0.9775
2017-02-13,0.935
2017-02-14,0.87
2017-02-15,0.8825
2017-02-16,0.87
2017-02-17,0.88
2017-02-20,0.815
2017-02-21,0.8725
2017-02-22,0.87
2017-02-23,0.8675
2017-02-24,0.8875
2017-02-27,0.825
2017-02-28,0.835
2017-03-01,0.825
2017-03-02,0.8225
2017-03-03,0.7875
2017-03-06,0.775
2017-03-07,0.84
2017-03-08,0.85
2017-03-09,0.845
2017-03-10,0.82
2017-03-13,0.81
2017-03-14,0.81
2017-03-15,0.83
2017-03-16,0.81
2017-03-17,0.8125
2017-03-20,0.82
2017-03-21,0.87
2017-03-22,0.84
2017-03-23,0.86
2017-03-24,0.8575
2017-03-27,0.865
2017-03-28,0.845
2017-03-29,0.8725
2017-03-30,0.9025
2017-03-31,0.945
2017-04-03,0.95
2017-04-04,0.9525
2017-04-05,0.9475
2017-04-06,0.95
2017-04-07,0.965
2017-04-10,0.985
2017-04-11,0.995
2017-04-12,1.065
2017-04-13,1.0775
2017-04-14,1.005
2017-04-17,0.9975
2017-04-18,1.02
2017-04-19,1.04
2017-04-20,1.0325
2017-04-21,1.0125
2017-04-24,0.9275
2017-04-25,0.88
2017-04-26,0.8925
2017-04-27,0.925
2017-04-28,0.93
2017-05-01,0.925
2017-05-02,0.9275
2017-05-03,0.93
2017-05-04,0.9375
2017-05-05,0.93
2017-05-08,0.88
2017-05-09,0.8525
2017-05-10,0.7775
2017-05-11,0.795
2017-05-12,0.785
2017-05-15,0.815
2017-05-16,0.745
2017-05-17,0.755
2017-05-18,0.765
2017-05-19,0.775
2017-05-22,0.8725
2017-05-23,0.815
2017-05-24,0.81
2017-05-25,0.8225
2017-05-26,0.845
2017-05-29,0.825
2017-05-30,0.81
2017-05-31,0.7725
2017-06-01,0.775
2017-06-02,0.79
2017-06-05,0.7975
2017-06-06,0.775
2017-06-07,0.78
2017-06-08,0.7825
2017-06-09,0.8025
2017-06-12,0.7875
2017-06-13,0.7825
2017-06-14,0.77
2017-06-15,0.76
2017-06-16,0.765
2017-06-19,0.755
2017-06-20,0.7575
2017-06-21,0.75
2017-06-22,0.75
2017-06-23,0.76
2017-06-26,0.745
2017-06-27,0.78
2017-06-28,0.79
2017-06-29,0.755
2017-06-30,0.785
2017-07-03,0.76
2017-07-04,0.79
2017-07-05,0.77
2017-07-06,0.7825
2017-07-07,0.7825
2017-07-10,0.785
2017-07-11,0.7775
2017-07-12,0.79
2017-07-13,0.79
2017-07-14,0.8
2017-07-17,0.765
2017-07-18,0.765
2017-07-19,0.74
2017-07-20,0.795
2017-07-21,0.7325
2017-07-24,0.765
2017-07-25,0.735
2017-07-26,0.7625
2017-07-27,0.8
2017-07-28,0.74
2017-07-31,0.84
2017-08-01,0.85
2017-08-02,0.85
2017-08-03,0.895
2017-08-04,0.845
2017-08-07,0.82
2017-08-08,0.825
2017-08-09,0.815
2017-08-10,0.81
2017-08-11,0.8125
2017-08-14,0.8225
2017-08-15,0.82
2017-08-16,0.815
2017-08-17,0.815
2017-08-18,0.815
2017-08-21,0.805
2017-08-22,0.7725
2017-08-23,0.77
2017-08-24,0.765
2017-08-25,0.78
2017-08-28,0.7575
2017-08-29,0.77
2017-08-30,0.76
2017-08-31,0.795
2017-09-01,0.8
2017-09-04,0.795
2017-09-05,0.7975
2017-09-06,0.78
2017-09-07,0.7125
2017-09-08,0.7125
2017-09-11,0.725
2017-09-12,0.745
2017-09-13,0.695
2017-09-14,0.735
2017-09-15,0.71
2017-09-18,0.695
2017-09-19,0.7075
2017-09-20,0.7
2017-09-21,0.685
2017-09-22,0.705
2017-09-25,0.72
2017-09-26,0.685
2017-09-27,0.7
2017-09-28,0.69
2017-09-29,0.695
2017-10-02,0.695
2017-10-03,0.695
2017-10-04,0.6975
2017-10-05,0.7075
2017-10-06,0.705
2017-10-09,0.7075
2017-10-10,0.705
2017-10-11,0.685
2017-10-12,0.725
2017-10-13,0.715
2017-10-16,0.74
2017-10-17,0.72
2017-10-18,0.72
2017-10-19,0.7075
2017-10-20,0.695
2017-10-23,0.7175
2017-10-24,0.7
2017-10-25,0.715
2017-10-26,0.6975
2017-10-27,0.7075
2017-10-30,0.715
2017-10-31,0.73
2017-11-01,0.73
2017-11-02,0.73
2017-11-03,0.7525
2017-11-06,0.7375
2017-11-07,0.7325
2017-11-08,0.7275
2017-11-09,0.7475
2017-11-10,0.7525
2017-11-13,0.735
2017-11-14,0.715
2017-11-15,0.705
2017-11-16,0.7625
2017-11-17,0.7475
2017-11-20,0.7125
2017-11-21,0.7325
2017-11-22,0.7075
2017-11-23,0.735
2017-11-24,0.7075
2017-11-27,0.76
2017-11-28,0.735
2017-11-29,0.735
2017-11-30,0.735
2017-12-01,0.74
2017-12-04,0.74
2017-12-05,0.72
2017-12-06,0.755
2017-12-07,0.7325
2017-12-08,0.745
2017-12-11,0.715
2017-12-12,0.7275
2017-12-13,0.715
2017-12-14,0.73
2017-12-15,0.73
2017-12-18,0.7275
2017-12-19,0.7075
2017-12-20,0.735
2017-12-21,0.73
2017-12-22,0.755
2017-12-25,0.7775
2017-12-26,0.7725
2017-12-27,0.73
2017-12-28,0.7175
2017-12-29,0.745
2018-01-01,0.75
2018-01-02,0.715
2018-01-03,0.715
2018-01-04,0.7125
2018-01-05,0.7075
2018-01-08,0.72
2018-01-09,0.735
2018-01-10,0.725
2018-01-11,0.74
2018-01-12,0.7825
2018-01-15,0.795
2018-01-16,0.755
2018-01-17,0.755
2018-01-18,0.755
2018-01-19,0.755
2018-01-22,0.755
2018-01-23,0.7575
2018-01-24,0.765
2018-01-25,0.79
2018-01-26,0.7575
2018-01-29,0.755
2018-01-30,0.765
2018-01-31,0.745
2018-02-01,0.7525
2018-02-02,0.7525
2018-02-05,0.76
2018-02-06,0.75
2018-02-07,0.75
2018-02-08,0.7325
2018-02-09,0.7375
2018-02-12,0.725
2018-02-13,0.745
2018-02-14,0.75
2018-02-15,0.7375
2018-02-16,0.745
2018-02-19,0.7025
2018-02-20,0.7425
2018-02-21,0.74
2018-02-22,0.7225
2018-02-23,0.71
2018-02-26,0.7075
2018-02-27,0.675
2018-02-28,0.68
2018-03-01,0.685
2018-03-02,0.675
2018-03-05,0.685
2018-03-06,0.665
2018-03-07,0.7225
2018-03-08,0.7275
2018-03-09,0.715
2018-03-12,0.735
2018-03-13,0.7225
2018-03-14,0.75
2018-03-15,0.7125
2018-03-16,0.7275
2018-03-19,0.71
2018-03-20,0.74
2018-03-21,0.72
2018-03-22,0.72
2018-03-23,0.705
2018-03-26,0.7225
2018-03-27,0.715
2018-03-28,0.745
2018-03-29,0.715
2018-03-30,0.695
2018-04-02,0.71
2018-04-03,0.72
2018-04-04,0.7175
2018-04-05,0.7025
2018-04-06,0.685
2018-04-09,0.665
2018-04-10,0.6525
2018-04-11,0.6925
2018-04-12,0.635
2018-04-13,0.6425
2018-04-16,0.6575
2018-04-17,0.64
2018-04-18,0.64
2018-04-19,0.6375
2018-04-20,0.64
2018-04-23,0.64
2018-04-24,0.6675
2018-04-25,0.695
2018-04-26,0.67
2018-04-27,0.6825
2018-04-30,0.67
2018-05-01,0.7
2018-05-02,0.68
2018-05-03,0.64
2018-05-04,0.69
2018-05-07,0.6825
2018-05-08,0.6625
2018-05-09,0.6625
2018-05-10,0.68
2018-05-11,0.6675
2018-05-14,0.6725
2018-05-15,0.67
2018-05-16,0.6925
2018-05-17,0.705
2018-05-18,0.7
2018-05-21,0.7175
2018-05-22,0.69
2018-05-23,0.7625
2018-05-24,0.725
2018-05-25,0.6525
2018-05-28,0.65
2018-05-29,0.7675
2018-05-30,0.78
2018-05-31,0.8325
2018-06-01,0.815
2018-06-04,0.755
2018-06-05,0.7525
2018-06-06,0.745
2018-06-07,0.745
2018-06-08,0.765
2018-06-11,0.7975
2018-06-12,0.8425
2018-06-13,0.8525
2018-06-14,0.81
2018-06-15,0.835
2018-06-18,0.825
2018-06-19,0.84
2018-06-20,0.8475
2018-06-21,0.86
2018-06-22,0.795
2018-06-25,0.77
2018-06-26,0.72
2018-06-27,0.72
2018-06-28,0.725
2018-06-29,0.7225
2018-07-02,0.725
2018-07-03,0.7325
2018-07-04,0.7275
2018-07-05,0.7275
2018-07-06,0.7175
2018-07-09,0.6775
2018-07-10,0.685
2018-07-11,0.6875
2018-07-12,0.685
2018-07-13,0.68
2018-07-16,0.685
2018-07-17,0.6775
2018-07-18,0.6825
2018-07-19,0.6825
2018-07-20,0.6875
2018-07-23,0.685
2018-07-24,0.67
2018-07-25,0.66
2018-07-26,0.6625
2018-07-27,0.6525
2018-07-30,0.6575
2018-07-31,0.655
2018-08-01,0.6575
2018-08-02,0.7025
2018-08-03,0.7125
2018-08-06,0.69
2018-08-07,0.7025
2018-08-08,0.705
2018-08-09,0.705
2018-08-10,0.7325
2018-08-13,0.7625
2018-08-14,0.755
2018-08-15,0.7675
2018-08-16,0.73
2018-08-17,0.72
2018-08-20,0.71
2018-08-21,0.7125
2018-08-22,0.715
2018-08-23,0.7075
2018-08-24,0.715
2018-08-27,0.7125
2018-08-28,0.715
2018-08-29,0.7125
2018-08-30,0.7175
2018-08-31,0.7175
2018-09-03,0.7125
2018-09-04,0.7125
2018-09-05,0.695
2018-09-06,0.6975
2018-09-07,0.705
2018-09-10,0.705
2018-09-11,0.7
2018-09-12,0.69
2018-09-13,0.67
2018-09-14,0.6725
2018-09-17,0.6675
2018-09-18,0.685
2018-09-19,0.665
2018-09-20,0.66
2018-09-21,0.66
2018-09-24,0.66
2018-09-25,0.6675
2018-09-26,0.6575
2018-09-27,0.6725
2018-09-28,0.6625
2018-10-01,0.665
2018-10-02,0.6725
2018-10-03,0.675
2018-10-04,0.6725
2018-10-05,0.66
2018-10-08,0.665
2018-10-09,0.67
2018-10-10,0.655
2018-10-11,0.6525
2018-10-12,0.6625
2018-10-15,0.6525
2018-10-16,0.645
2018-10-17,0.65
2018-10-18,0.655
2018-10-19,0.655
2018-10-22,0.6475
2018-10-23,0.64
2018-10-24,0.645
2018-10-25,0.64
2018-10-26,0.645
2018-10-29,0.645
2018-10-30,0.64
2018-10-31,0.645
2018-11-01,0.66
2018-11-02,0.6325
2018-11-05,0.635
2018-11-06,0.635
2018-11-07,0.6425
2018-11-08,0.64
2018-11-09,0.635
2018-11-12,0.66
2018-11-13,0.6625
2018-11-14,0.6725
2018-11-15,0.66
2018-11-16,0.6375
2018-11-19,0.625
2018-11-20,0.62
2018-11-21,0.63
2018-11-22,0.6375
2018-11-23,0.625
2018-11-26,0.6225
2018-11-27,0.6375
2018-11-28,0.6075
2018-11-29,0.625
2018-11-30,0.6075
2018-12-03,0.59
2018-12-04,0.5975
2018-12-05,0.5925
2018-12-06,0.6025
2018-12-07,0.5675
2018-12-10,0.58
2018-12-11,0.575
2018-12-12,0.585
2018-12-13,0.5575
2018-12-14,0.565
2018-12-17,0.565
2018-12-18,0.565
2018-12-19,0.575
2018-12-20,0.5675
2018-12-21,0.565
2018-12-24,0.6425
2018-12-25,0.61
2018-12-26,0.5925
2018-12-27,0.59
2018-12-28,0.565
2018-12-31,0.5925
2019-01-01,0.6425
2019-01-02,0.575
2019-01-03,0.5625
2019-01-04,0.565
2019-01-07,0.5725
2019-01-08,0.58
2019-01-09,0.575
2019-01-10,0.5775
2019-01-11,0.5775
2019-01-14,0.5825
2019-01-15,0.57
2019-01-16,0.57
2019-01-17,0.59
2019-01-18,0.5675
2019-01-21,0.555
2019-01-22,0.555
2019-01-23,0.5225
2019-01-24,0.505
2019-01-25,0.51
2019-01-28,0.5225
2019-01-29,0.505
2019-01-30,0.51
2019-01-31,0.51
2019-02-01,0.5125
2019-02-04,0.5125
2019-02-05,0.5175
2019-02-06,0.5425
2019-02-07,0.575
2019-02-08,0.57
2019-02-11,0.5675
2019-02-12,0.5825
2019-02-13,0.575
2019-02-14,0.5575
2019-02-15,0.56
2019-02-18,0.5625
2019-02-19,0.56
2019-02-20,0.565
2019-02-21,0.5675
2019-02-22,0.565
2019-02-25,0.5675
2019-02-26,0.555
2019-02-27,0.555
2019-02-28,0.56
2019-03-01,0.56
2019-03-04,0.55
2019-03-05,0.5575
2019-03-06,0.5525
2019-03-07,0.55
2019-03-08,0.5525
2019-03-11,0.55
2019-03-12,0.5575
2019-03-13,0.55
2019-03-14,0.555
2019-03-15,0.545
2019-03-18,0.57
2019-03-19,0.54
2019-03-20,0.5575
2019-03-21,0.5575
2019-03-22,0.59
2019-03-25,0.5975
2019-03-26,0.6
2019-03-27,0.615
2019-03-28,0.625
2019-03-29,0.63
2019-04-01,0.59
2019-04-02,0.5975
2019-04-03,0.595
2019-04-04,0.605
2019-04-05,0.5925
2019-04-08,0.5975
2019-04-09,0.6
2019-04-10,0.6
2019-04-11,0.595
2019-04-12,0.6
2019-04-15,0.6
2019-04-16,0.585
2019-04-17,0.5875
2019-04-18,0.565
2019-04-19,0.565
2019-04-22,0.56
2019-04-23,0.525
2019-04-24,0.5525
2019-04-25,0.615
2019-04-26,0.595
2019-04-29,0.615
2019-04-30,0.615
2019-05-01,0.64
2019-05-02,0.67
2019-05-03,0.685
2019-05-06,0.635
2019-05-07,0.685
2019-05-08,0.69
2019-05-09,0.705
2019-05-10,0.69
2019-05-13,0.675
2019-05-14,0.67
2019-05-15,0.785
2019-05-16,0.76
2019-05-17,0.7425
2019-05-20,0.7425
2019-05-21,0.71
2019-05-22,0.715
2019-05-23,0.755
2019-05-24,0.78
2019-05-27,0.765
2019-05-28,0.72
2019-05-29,0.75
2019-05-30,0.755
2019-05-31,0.775
2019-06-03,0.755
2019-06-04,0.7725
2019-06-05,0.7625
2019-06-06,0.77
2019-06-07,0.7925
2019-06-10,0.77
2019-06-11,0.7525
2019-06-12,0.7425
2019-06-13,0.71
2019-06-14,0.7025
2019-06-17,0.72
2019-06-18,0.705
2019-06-19,0.6975
2019-06-20,0.7
2019-06-21,0.72
2019-06-24,0.72
2019-06-25,0.72
2019-06-26,0.705
2019-06-27,0.705
2019-06-28,0.7225
2019-07-01,0.7075
2019-07-02,0.705
2019-07-03,0.6775
2019-07-04,0.685
2019-07-05,0.65
2019-07-08,0.65
2019-07-09,0.675
2019-07-10,0.645
2019-07-11,0.7
2019-07-12,0.6975
2019-07-15,0.68
2019-07-16,0.68
2019-07-17,0.68
2019-07-18,0.7025
2019-07-19,0.68
2019-07-22,0.6775
2019-07-23,0.705
2019-07-24,0.715
2019-07-25,0.805
2019-07-26,0.77
2019-07-29,0.775
2019-07-30,0.76
2019-07-31,0.7875
2019-08-01,0.785
2019-08-02,0.775
2019-08-05,0.84
2019-08-06,0.825
2019-08-07,0.81
2019-08-08,0.825
2019-08-09,0.825
2019-08-12,0.825
2019-08-13,0.83
2019-08-14,0.815
2019-08-15,0.8125
2019-08-16,0.795
2019-08-19,0.7625
2019-08-20,0.765
2019-08-21,0.765
2019-08-22,0.7575
2019-08-23,0.825
2019-08-26,0.82
2019-08-27,0.84
2019-08-28,0.825
2019-08-29,0.82
2019-08-30,0.8275
2019-09-02,0.83
2019-09-03,0.855
2019-09-04,0.845
2019-09-05,0.79
2019-09-06,0.81
2019-09-09,0.795
2019-09-10,0.755
2019-09-11,0.705
2019-09-12,0.7375
2019-09-13,0.7175
2019-09-16,0.7275
2019-09-17,0.71
2019-09-18,0.735
2019-09-19,0.715
2019-09-20,0.7225
2019-09-23,0.715
2019-09-24,0.705
2019-09-25,0.725
2019-09-26,0.7175
2019-09-27,0.6975
2019-09-30,0.7125
2019-10-01,0.705
2019-10-02,0.7
2019-10-03,0.7
2019-10-04,0.695
2019-10-07,0.69
2019-10-08,0.7025
2019-10-09,0.705
2019-10-10,0.67
2019-10-11,0.67
2019-10-14,0.665
