Date,Value
2016-01-01,-0.0375
2016-01-04,-0.005
2016-01-05,-0.17
2016-01-06,-0.325
2016-01-07,-0.82
2016-01-08,-0.66
2016-01-11,-0.6175
2016-01-12,-0.4025
2016-01-13,-0.47
2016-01-14,-0.5725
2016-01-15,-0.75
2016-01-18,-0.625
2016-01-19,-0.54
2016-01-20,-0.705
2016-01-21,-0.325
2016-01-22,-0.095
2016-01-25,-0.125
2016-01-26,-0.2225
2016-01-27,-0.3425
2016-01-28,-0.415
2016-01-29,-0.025
2016-02-01,-0.135
2016-02-02,-0.995
2016-02-03,-0.945
2016-02-04,-0.95
2016-02-05,-0.175
2016-02-08,0.24
2016-02-09,-0.08
2016-02-10,0.51
2016-02-11,-0.015
2016-02-12,0.235
2016-02-15,0.425
2016-02-16,0.47
2016-02-17,0.26
2016-02-18,0.275
2016-02-19,-0.015
2016-02-22,-0.025
2016-02-23,-0.205
2016-02-24,-0.78
2016-02-25,-0.9
2016-02-26,-0.83
2016-02-29,-0.475
2016-03-01,-0.31
2016-03-02,-0.585
2016-03-03,-0.535
2016-03-04,-0.655
2016-03-07,-0.46
2016-03-08,-0.44
2016-03-09,0.405
2016-03-10,-0.0275
2016-03-11,0.7025
2016-03-14,0.735
2016-03-15,0.56
2016-03-16,0.31
2016-03-17,-0.4075
2016-03-18,-0.31
2016-03-21,-0.17
2016-03-22,0.135
2016-03-23,0.245
2016-03-24,0.7
2016-03-25,0.72
2016-03-28,0.6525
2016-03-29,0.2225
2016-03-30,-0.255
2016-03-31,-0.725
2016-04-01,-0.77
2016-04-04,-0.665
2016-04-05,-0.475
2016-04-06,-0.255
2016-04-07,-0.46
2016-04-08,-0.425
2016-04-11,-0.535
2016-04-12,-0.67
2016-04-13,-0.51
2016-04-14,-0.185
2016-04-15,-0.245
2016-04-18,-0.235
2016-04-19,-0.495
2016-04-20,-0.465
2016-04-21,-0.41
2016-04-22,-0.265
2016-04-25,-0.305
2016-04-26,-0.14
2016-04-27,-0.23
2016-04-28,-0.135
2016-04-29,-0.465
2016-05-02,-0.575
2016-05-03,-0.725
2016-05-04,-0.315
2016-05-05,0.11
2016-05-06,0.12
2016-05-09,0.105
2016-05-10,0.08
2016-05-11,0.07
2016-05-12,0.16
2016-05-13,0.7075
2016-05-16,0.6
2016-05-17,0.66
2016-05-18,0.795
2016-05-19,0.925
2016-05-20,0.76
2016-05-23,0.765
2016-05-24,0.755
2016-05-25,0.605
2016-05-26,0.36
2016-05-27,0.1425
2016-05-30,0.19
2016-05-31,0.315
2016-06-01,0.34
2016-06-02,0.61
2016-06-03,0.0175
2016-06-06,0.15
2016-06-07,0.165
2016-06-08,0.28
2016-06-09,1.01
2016-06-10,1.3075
2016-06-13,1.485
2016-06-14,1.465
2016-06-15,1.5225
2016-06-16,1.6825
2016-06-17,6.5375
2016-06-20,5.9
2016-06-21,5.8525
2016-06-22,6.5725
2016-06-23,5.2425
2016-06-24,3.3825
2016-06-27,2.62
2016-06-28,0.465
2016-06-29,0.675
2016-06-30,0.7825
2016-07-01,0.865
2016-07-04,0.6825
2016-07-05,0.6775
2016-07-06,0.6875
2016-07-07,0.7475
2016-07-08,0.11
2016-07-11,-0.2
2016-07-12,-0.3175
2016-07-13,-0.25
2016-07-14,0.2175
2016-07-15,0.3325
2016-07-18,0.435
2016-07-19,0.6
2016-07-20,0.6875
2016-07-21,0.6225
2016-07-22,0.58
2016-07-25,0.6775
2016-07-26,0.6425
2016-07-27,0.59
2016-07-28,0.645
2016-07-29,0.63
2016-08-01,0.665
2016-08-02,0.615
2016-08-03,0.5475
2016-08-04,0.47
2016-08-05,0.3
2016-08-08,0.275
2016-08-09,0.23
2016-08-10,0.01
2016-08-11,-0.005
2016-08-12,0.015
2016-08-15,0.03
2016-08-16,-0.425
2016-08-17,-0.4575
2016-08-18,-0.26
2016-08-19,-0.08
2016-08-22,0.14
2016-08-23,0.13
2016-08-24,0.155
2016-08-25,0.34
2016-08-26,0.415
2016-08-29,0.63
2016-08-30,0.7
2016-08-31,0.75
2016-09-01,0.71
2016-09-02,0.7275
2016-09-05,0.665
2016-09-06,0.65
2016-09-07,0.6125
2016-09-08,0.655
2016-09-09,0.94
2016-09-12,0.86
2016-09-13,0.76
2016-09-14,0.69
2016-09-15,0.6575
2016-09-16,0.795
2016-09-19,0.7325
2016-09-20,0.7
2016-09-21,0.575
2016-09-22,0.285
2016-09-23,0.2725
2016-09-26,0.1975
2016-09-27,0.3675
2016-09-28,0.5575
2016-09-29,0.655
2016-09-30,0.8775
2016-10-03,0.5975
2016-10-04,0.6875
2016-10-05,0.5
2016-10-06,0.5325
2016-10-07,0.85
2016-10-10,0.6775
2016-10-11,0.8825
2016-10-12,1.425
2016-10-13,1.4925
2016-10-14,1.2525
2016-10-17,0.93
2016-10-18,0.5625
2016-10-19,0.5125
2016-10-20,0.435
2016-10-21,0.51
2016-10-24,0.52
2016-10-25,0.5025
2016-10-26,0.2625
2016-10-27,0.1675
2016-10-28,0.0525
2016-10-31,-0.125
2016-11-01,-0.27
2016-11-02,-1.85
2016-11-03,-1.895
2016-11-04,-3.615
2016-11-07,-3.375
2016-11-08,-3.8225
2016-11-09,0.625
2016-11-10,0.1725
2016-11-11,0.465
2016-11-14,0.7475
2016-11-15,0.5725
2016-11-16,0.6875
2016-11-17,0.81
2016-11-18,1.245
2016-11-21,0.98
2016-11-22,0.9425
2016-11-23,1.205
2016-11-24,1.4875
2016-11-25,1.1825
2016-11-28,1.755
2016-11-29,1.6225
2016-11-30,1.22
2016-12-01,1.195
2016-12-02,0.795
