Date,Value
2016-01-01,0.3725
2016-01-04,0.3475
2016-01-05,0.3275
2016-01-06,0.295
2016-01-07,0.175
2016-01-08,0.1725
2016-01-11,0.0875
2016-01-12,0.1175
2016-01-13,0.0775
2016-01-14,-0.0275
2016-01-15,-0.1575
2016-01-18,-0.0725
2016-01-19,-0.065
2016-01-20,-0.15
2016-01-21,-0.075
2016-01-22,0.02
2016-01-25,0.005
2016-01-26,-0.0325
2016-01-27,0.0275
2016-01-28,-0.005
2016-01-29,0.1575
2016-02-01,0.1
2016-02-02,-0.045
2016-02-03,-0.2475
2016-02-04,-0.3575
2016-02-05,-0.045
2016-02-08,0.185
2016-02-09,0.1075
2016-02-10,0.36
2016-02-11,0.27
2016-02-12,0.2675
2016-02-15,0.27
2016-02-16,0.2625
2016-02-17,0.25
2016-02-18,0.155
2016-02-19,0.32
2016-02-22,0.2225
2016-02-23,0.23
2016-02-24,0.1025
2016-02-25,0.155
2016-02-26,0.2025
2016-02-29,0.2425
2016-03-01,0.3
2016-03-02,0.24
2016-03-03,0.2175
2016-03-04,0.1975
2016-03-07,0.23
2016-03-08,0.1875
2016-03-09,0.24
2016-03-10,0.125
2016-03-11,0.2475
2016-03-14,0.2425
2016-03-15,0.275
2016-03-16,0.225
2016-03-17,0.0475
2016-03-18,0.0075
2016-03-21,0.0075
2016-03-22,0.155
2016-03-23,0.1925
2016-03-24,0.3075
2016-03-25,0.3425
2016-03-28,0.3575
2016-03-29,0.2075
2016-03-30,0.0975
2016-03-31,-0.0425
2016-04-01,-0.0825
2016-04-04,-0.1075
2016-04-05,-0.0125
2016-04-06,0.0175
2016-04-07,-0.0075
2016-04-08,0.0175
2016-04-11,-0.045
2016-04-12,-0.0625
2016-04-13,-0.1125
2016-04-14,0.0125
2016-04-15,-0.0475
2016-04-18,0.0125
2016-04-19,-0.0375
2016-04-20,-0.025
2016-04-21,-0.02
2016-04-22,0.0525
2016-04-25,0.0125
2016-04-26,0.0375
2016-04-27,0.0025
2016-04-28,0.0425
2016-04-29,0.015
2016-05-02,-0.0125
2016-05-03,-0.0775
2016-05-04,-0.1675
2016-05-05,-0.0625
2016-05-06,0.025
2016-05-09,-0.03
2016-05-10,0.0125
2016-05-11,0.04
2016-05-12,0.2675
2016-05-13,0.2425
2016-05-16,0.175
2016-05-17,0.2875
2016-05-18,0.4325
2016-05-19,0.4275
2016-05-20,0.4375
2016-05-23,0.4275
2016-05-24,0.4575
2016-05-25,0.5
2016-05-26,0.7825
2016-05-27,0.7425
2016-05-30,0.775
2016-05-31,0.7975
2016-06-01,0.8375
2016-06-02,0.8475
2016-06-03,0.7325
2016-06-06,0.6875
2016-06-07,0.73
2016-06-08,0.865
2016-06-09,1.3375
2016-06-10,1.79
2016-06-13,2.39
2016-06-14,2.8425
2016-06-15,2.4025
2016-06-16,2.3725
2016-06-17,2.5
2016-06-20,2.0775
2016-06-21,2.1675
2016-06-22,2.3675
2016-06-23,1.8375
2016-06-24,1.8525
2016-06-27,1.745
2016-06-28,1.05
2016-06-29,1.1
2016-06-30,0.9425
2016-07-01,0.9875
2016-07-04,0.6925
2016-07-05,0.7125
2016-07-06,0.815
2016-07-07,0.8075
2016-07-08,0.745
2016-07-11,0.525
2016-07-12,0.5275
2016-07-13,0.33
2016-07-14,0.5725
2016-07-15,0.6025
2016-07-18,0.595
2016-07-19,0.775
2016-07-20,0.8175
2016-07-21,0.6175
2016-07-22,0.6675
2016-07-25,0.8375
2016-07-26,0.625
2016-07-27,0.745
2016-07-28,0.72
2016-07-29,0.7175
2016-08-01,0.72
2016-08-02,0.695
2016-08-03,0.6675
2016-08-04,0.7125
2016-08-05,0.685
2016-08-08,0.6825
2016-08-09,0.68
2016-08-10,0.5775
2016-08-11,0.555
2016-08-12,0.53
2016-08-15,0.36
2016-08-16,0.4625
2016-08-17,0.475
2016-08-18,0.47
2016-08-19,0.4875
2016-08-22,0.4775
2016-08-23,0.4825
2016-08-24,0.3625
2016-08-25,0.6425
2016-08-26,0.6325
2016-08-29,0.6675
2016-08-30,0.5275
2016-08-31,0.5925
2016-09-01,0.555
2016-09-02,0.5725
2016-09-05,0.53
2016-09-06,0.6125
2016-09-07,0.6825
2016-09-08,0.4675
2016-09-09,0.53
2016-09-12,0.6425
2016-09-13,0.5525
2016-09-14,0.55
2016-09-15,0.5525
2016-09-16,0.5375
2016-09-19,0.5225
2016-09-20,0.5425
2016-09-21,0.5275
2016-09-22,0.4675
2016-09-23,0.465
2016-09-26,0.4525
2016-09-27,0.465
2016-09-28,0.4975
2016-09-29,0.615
2016-09-30,0.5875
2016-10-03,0.56
2016-10-04,0.5725
2016-10-05,0.455
2016-10-06,0.5025
2016-10-07,0.5725
2016-10-10,0.49
2016-10-11,0.5575
2016-10-12,0.6425
2016-10-13,0.675
2016-10-14,0.605
2016-10-17,0.5175
2016-10-18,0.4525
2016-10-19,0.4075
2016-10-20,0.445
2016-10-21,0.505
2016-10-24,0.515
2016-10-25,0.4525
2016-10-26,0.4325
2016-10-27,0.3025
2016-10-28,0.3425
2016-10-31,0.26
2016-11-01,0.1525
2016-11-02,-0.135
2016-11-03,-0.135
2016-11-04,-0.4425
2016-11-07,-0.295
2016-11-08,-0.4075
2016-11-09,0.63
2016-11-10,0.4175
2016-11-11,0.53
2016-11-14,0.72
2016-11-15,0.76
2016-11-16,0.82
2016-11-17,1.0875
2016-11-18,1.18
2016-11-21,1.0725
2016-11-22,0.98
2016-11-23,1.1175
2016-11-24,1.2825
2016-11-25,1.26
2016-11-28,1.1025
2016-11-29,1.1225
2016-11-30,1.0075
2016-12-01,1.0125
2016-12-02,0.9775
2016-12-05,0.815
2016-12-06,0.885
2016-12-07,0.8525
2016-12-08,0.9325
2016-12-09,0.9825
2016-12-12,0.92
2016-12-13,0.8825
2016-12-14,0.9875
2016-12-15,1.0075
2016-12-16,0.9875
2016-12-19,0.9475
2016-12-20,0.8425
2016-12-21,0.68
2016-12-22,0.6375
2016-12-23,0.6775
2016-12-26,0.6675
2016-12-27,0.6925
2016-12-28,0.705
2016-12-29,0.6725
2016-12-30,0.5775
2017-01-02,0.455
2017-01-03,0.545
2017-01-04,0.465
2017-01-05,0.405
2017-01-06,0.445
2017-01-09,0.4725
2017-01-10,0.475
2017-01-11,0.5825
2017-01-12,0.5025
2017-01-13,0.5725
2017-01-16,0.6275
2017-01-17,0.5625
2017-01-18,0.565
2017-01-19,0.6
2017-01-20,0.5875
2017-01-23,0.58
2017-01-24,0.5025
2017-01-25,0.4875
2017-01-26,0.5975
2017-01-27,0.6575
2017-01-30,0.7125
2017-01-31,0.5375
2017-02-01,0.565
2017-02-02,0.52
2017-02-03,0.5125
2017-02-06,0.5825
2017-02-07,0.63
2017-02-08,0.6375
2017-02-09,0.6475
2017-02-10,0.655
2017-02-13,0.6625
2017-02-14,0.6225
2017-02-15,0.66
2017-02-16,0.6275
2017-02-17,0.6025
