Date,Value
2016-01-01,10.5875
2016-01-04,10.6675
2016-01-05,10.93
2016-01-06,10.915
2016-01-07,11.125
2016-01-08,11.035
2016-01-11,10.75
2016-01-12,10.61
2016-01-13,10.29
2016-01-14,10.525
2016-01-15,10.795
2016-01-18,10.69
2016-01-19,10.485
2016-01-20,10.665
2016-01-21,10.84
2016-01-22,10.66
2016-01-25,10.6475
2016-01-26,10.6275
2016-01-27,10.6275
2016-01-28,10.6975
2016-01-29,10.84
2016-02-01,10.685
2016-02-02,10.57
2016-02-03,10.98
2016-02-04,11.015
2016-02-05,10.835
2016-02-08,11.71
2016-02-09,11.63
2016-02-10,11.7775
2016-02-11,12.2075
2016-02-12,11.8
2016-02-15,11.6
2016-02-16,11.485
2016-02-17,11.4575
2016-02-18,11.38
2016-02-19,11.53
2016-02-22,11.7
2016-02-23,11.415
2016-02-24,11.68
2016-02-25,11.445
2016-02-26,11.43
2016-02-29,11.5425
2016-03-01,11.34
2016-03-02,11.355
2016-03-03,11.3975
2016-03-04,11.275
2016-03-07,11.255
2016-03-08,11.01
2016-03-09,11.0975
2016-03-10,10.73
2016-03-11,10.2875
2016-03-14,9.79
2016-03-15,10.04
2016-03-16,9.9675
2016-03-17,9.7775
2016-03-18,9.68
2016-03-21,9.655
2016-03-22,9.715
2016-03-23,10.335
2016-03-24,10.47
2016-03-25,10.3925
2016-03-28,10.57
2016-03-29,10.095
2016-03-30,9.895
2016-03-31,10.17
2016-04-01,10.23
2016-04-04,10.0675
2016-04-05,10.41
2016-04-06,10.675
2016-04-07,10.91
2016-04-08,10.6325
2016-04-11,10.5675
2016-04-12,10.6175
2016-04-13,10.585
2016-04-14,10.4275
2016-04-15,10.4
2016-04-18,10.145
2016-04-19,9.935
2016-04-20,9.98
2016-04-21,9.945
2016-04-22,9.885
2016-04-25,9.785
2016-04-26,9.45
2016-04-27,9.8575
2016-04-28,9.73
2016-04-29,9.85
2016-05-02,10.205
2016-05-03,10.3075
2016-05-04,10.38
2016-05-05,10.6
2016-05-06,10.295
2016-05-09,10.18
2016-05-10,10.0075
2016-05-11,9.8425
2016-05-12,9.7675
2016-05-13,9.955
2016-05-16,10.2325
2016-05-17,10.075
2016-05-18,9.995
2016-05-19,10.0725
2016-05-20,9.8075
2016-05-23,9.6525
2016-05-24,9.5225
2016-05-25,9.2525
2016-05-26,9.105
2016-05-27,9.06
2016-05-30,9.22
2016-05-31,9.355
2016-06-01,9.64
2016-06-02,9.36
2016-06-03,8.9125
2016-06-06,9.25
2016-06-07,9.2075
2016-06-08,9.36
2016-06-09,10.005
2016-06-10,10.82
2016-06-13,11.195
2016-06-14,11.935
2016-06-15,10.74
2016-06-16,11.175
2016-06-17,10.7475
2016-06-20,10.1325
2016-06-21,10.04
2016-06-22,10.425
2016-06-23,10.0475
2016-06-24,11.8625
2016-06-27,11.9875
2016-06-28,10.76
2016-06-29,10.0975
2016-06-30,10.1
2016-07-01,9.8125
2016-07-04,9.7775
2016-07-05,10.025
2016-07-06,10.085
2016-07-07,9.94
2016-07-08,9.615
2016-07-11,9.4625
2016-07-12,9.02
2016-07-13,8.975
2016-07-14,8.815
2016-07-15,8.8325
2016-07-18,9.055
2016-07-19,9.2425
2016-07-20,9.4025
2016-07-21,9.375
2016-07-22,9.1925
2016-07-25,9.335
2016-07-26,9.0925
2016-07-27,8.8725
2016-07-28,8.735
2016-07-29,8.7625
2016-08-01,8.6125
2016-08-02,8.595
2016-08-03,8.7875
2016-08-04,8.9025
2016-08-05,8.725
2016-08-08,8.8025
2016-08-09,9.145
2016-08-10,9.0975
2016-08-11,9.0525
2016-08-12,8.8975
2016-08-15,8.8725
2016-08-16,9.0075
2016-08-17,9.02
2016-08-18,8.9825
