Date,Value
2016-01-01,1.105
2016-01-04,1.13
2016-01-05,1.105
2016-01-06,1.09
2016-01-07,1.135
2016-01-08,1.11
2016-01-11,1.09
2016-01-12,1.095
2016-01-13,1.075
2016-01-14,1.095
2016-01-15,1.095
2016-01-18,1.08
2016-01-19,1.095
2016-01-20,1.09
2016-01-21,1.055
2016-01-22,1.1
2016-01-25,1.08
2016-01-26,1.085
2016-01-27,1.1
2016-01-28,1.095
2016-01-29,1.075
2016-02-01,1.1
2016-02-02,1.095
2016-02-03,1.11
2016-02-04,1.0975
2016-02-05,1.1125
2016-02-08,1.105
2016-02-09,1.0975
2016-02-10,1.1175
2016-02-11,1.105
2016-02-12,1.18
2016-02-15,1.175
2016-02-16,1.155
2016-02-17,1.155
2016-02-18,1.155
2016-02-19,1.2
2016-02-22,1.155
2016-02-23,1.165
2016-02-24,1.165
2016-02-25,1.17
2016-02-26,1.1575
2016-02-29,1.1575
2016-03-01,1.13
2016-03-02,1.1225
2016-03-03,1.14
2016-03-04,1.135
2016-03-07,1.145
2016-03-08,1.145
2016-03-09,1.14
2016-03-10,1.1425
2016-03-11,1.135
2016-03-14,1.14
2016-03-15,1.16
2016-03-16,1.175
2016-03-17,1.195
2016-03-18,1.1275
2016-03-21,1.1275
2016-03-22,1.125
2016-03-23,1.145
2016-03-24,1.145
2016-03-25,1.145
2016-03-28,1.17
2016-03-29,1.17
2016-03-30,1.15
2016-03-31,1.125
2016-04-01,1.1275
2016-04-04,1.13
2016-04-05,1.15
2016-04-06,1.125
2016-04-07,1.1475
2016-04-08,1.1675
2016-04-11,1.145
2016-04-12,1.155
2016-04-13,1.13
2016-04-14,1.1425
2016-04-15,1.1325
2016-04-18,1.1525
2016-04-19,1.13
2016-04-20,1.125
2016-04-21,1.14
2016-04-22,1.1425
2016-04-25,1.155
2016-04-26,1.145
2016-04-27,1.155
2016-04-28,1.1475
2016-04-29,1.1225
2016-05-02,1.105
2016-05-03,1.105
2016-05-04,1.1
2016-05-05,1.085
2016-05-06,1.0825
2016-05-09,1.05
2016-05-10,1.055
2016-05-11,1.075
2016-05-12,1.065
2016-05-13,1.0
2016-05-16,1.0375
2016-05-17,0.91
2016-05-18,0.965
2016-05-19,1.0225
2016-05-20,1.015
2016-05-23,0.915
2016-05-24,1.09
2016-05-25,1.085
2016-05-26,1.085
2016-05-27,1.0875
2016-05-30,1.1025
2016-05-31,1.08
2016-06-01,1.095
2016-06-02,1.0975
2016-06-03,1.0775
2016-06-06,1.0625
2016-06-07,1.0375
2016-06-08,0.9775
2016-06-09,0.955
2016-06-10,0.96
2016-06-13,0.985
2016-06-14,0.965
2016-06-15,0.955
2016-06-16,0.95
2016-06-17,0.955
2016-06-20,0.95
2016-06-21,0.97
2016-06-22,0.9675
2016-06-23,0.9225
2016-06-24,0.935
2016-06-27,0.94
2016-06-28,0.945
2016-06-29,0.985
2016-06-30,0.9675
2016-07-01,0.96
2016-07-04,0.9725
2016-07-05,0.98
2016-07-06,0.975
2016-07-07,0.9875
2016-07-08,0.955
2016-07-11,0.975
2016-07-12,0.9675
2016-07-13,0.97
2016-07-14,0.98
2016-07-15,0.9575
2016-07-18,0.9675
2016-07-19,0.9775
2016-07-20,0.955
2016-07-21,0.9675
2016-07-22,0.9475
2016-07-25,0.9625
2016-07-26,0.935
2016-07-27,0.97
2016-07-28,0.955
2016-07-29,1.02
2016-08-01,0.97
2016-08-02,0.9825
2016-08-03,0.98
2016-08-04,0.975
2016-08-05,0.975
2016-08-08,0.9675
2016-08-09,0.9825
2016-08-10,0.98
2016-08-11,0.98
2016-08-12,0.95
2016-08-15,0.9625
2016-08-16,0.975
2016-08-17,0.97
2016-08-18,0.9775
2016-08-19,0.945
2016-08-22,0.9425
2016-08-23,0.9575
2016-08-24,0.9525
2016-08-25,0.9575
2016-08-26,0.905
2016-08-29,0.8825
2016-08-30,0.9375
2016-08-31,0.9675
2016-09-01,0.92
2016-09-02,0.8975
2016-09-05,0.8775
2016-09-06,0.8475
2016-09-07,0.9025
2016-09-08,0.89
2016-09-09,0.855
2016-09-12,0.9125
2016-09-13,0.9125
2016-09-14,0.8775
2016-09-15,0.88
2016-09-16,0.87
2016-09-19,0.8825
2016-09-20,0.8625
2016-09-21,0.85
2016-09-22,0.8725
2016-09-23,0.8475
2016-09-26,0.8925
2016-09-27,0.88
2016-09-28,0.8675
2016-09-29,0.8725
2016-09-30,0.8575
2016-10-03,0.8925
2016-10-04,0.8625
2016-10-05,0.8675
2016-10-06,0.8825
2016-10-07,0.895
2016-10-10,0.89
2016-10-11,0.865
2016-10-12,0.855
2016-10-13,0.8325
2016-10-14,0.8675
2016-10-17,0.86
2016-10-18,0.8675
2016-10-19,0.8475
2016-10-20,0.8525
2016-10-21,0.7625
2016-10-24,0.8725
2016-10-25,0.8675
2016-10-26,0.8575
2016-10-27,0.865
2016-10-28,0.86
2016-10-31,0.8675
2016-11-01,0.7875
2016-11-02,0.8075
2016-11-03,0.8375
2016-11-04,0.8025
2016-11-07,0.8575
2016-11-08,0.8625
2016-11-09,0.7925
2016-11-10,0.8475
2016-11-11,0.8575
2016-11-14,0.855
2016-11-15,0.8475
2016-11-16,0.87
2016-11-17,0.8575
2016-11-18,0.835
2016-11-21,0.85
2016-11-22,0.8675
2016-11-23,0.85
2016-11-24,0.8625
2016-11-25,0.8325
2016-11-28,0.88
2016-11-29,0.8775
2016-11-30,0.8975
2016-12-01,0.895
2016-12-02,0.865
2016-12-05,0.87
2016-12-06,0.87
2016-12-07,0.825
2016-12-08,0.865
2016-12-09,0.855
2016-12-12,0.8425
2016-12-13,0.88
2016-12-14,0.795
2016-12-15,0.84
2016-12-16,0.85
2016-12-19,0.9325
2016-12-20,0.895
2016-12-21,0.93
2016-12-22,0.93
2016-12-23,0.85
2016-12-26,0.9
2016-12-27,0.855
2016-12-28,0.93
2016-12-29,0.905
2016-12-30,0.8625
2017-01-02,0.7775
2017-01-03,0.8725
2017-01-04,0.86
2017-01-05,0.8325
2017-01-06,0.86
2017-01-09,0.8675
2017-01-10,0.8975
2017-01-11,0.9025
2017-01-12,0.85
2017-01-13,0.805
2017-01-16,0.8975
2017-01-17,0.8225
2017-01-18,0.8875
2017-01-19,0.8725
2017-01-20,0.8875
2017-01-23,0.835
2017-01-24,0.8325
2017-01-25,0.8275
2017-01-26,0.8125
2017-01-27,0.795
2017-01-30,0.8925
2017-01-31,0.8275
2017-02-01,0.775
2017-02-02,0.775
2017-02-03,0.835
2017-02-06,0.8475
2017-02-07,0.79
2017-02-08,0.8725
2017-02-09,0.875
2017-02-10,0.825
2017-02-13,0.855
2017-02-14,0.86
2017-02-15,0.87
2017-02-16,0.8625
2017-02-17,0.7975
2017-02-20,0.8425
2017-02-21,0.8725
2017-02-22,0.8675
2017-02-23,0.8925
2017-02-24,0.87
2017-02-27,0.85
2017-02-28,0.85
2017-03-01,0.8925
2017-03-02,0.865
2017-03-03,0.765
2017-03-06,0.83
2017-03-07,0.83
2017-03-08,0.7925
2017-03-09,0.845
2017-03-10,0.78
2017-03-13,0.795
2017-03-14,0.8025
2017-03-15,0.8025
