Date,Value
2016-01-01,6.9775
2016-01-04,7.06
2016-01-05,7.0
2016-01-06,7.19
2016-01-07,7.31
2016-01-08,7.52
2016-01-11,7.5375
2016-01-12,7.5325
2016-01-13,7.475
2016-01-14,7.545
2016-01-15,7.635
2016-01-18,7.57
2016-01-19,7.5925
2016-01-20,7.595
2016-01-21,7.6675
2016-01-22,7.585
2016-01-25,7.5675
2016-01-26,7.545
2016-01-27,7.5425
2016-01-28,7.6125
2016-01-29,7.6025
2016-02-01,7.715
2016-02-02,7.6825
2016-02-03,7.9775
2016-02-04,8.07
2016-02-05,8.5225
2016-02-08,8.51
2016-02-09,8.7025
2016-02-10,8.6075
2016-02-11,8.6825
2016-02-12,8.995
2016-02-15,8.675
2016-02-16,8.5625
2016-02-17,8.4625
2016-02-18,8.1125
2016-02-19,8.115
2016-02-22,7.945
2016-02-23,8.17
2016-02-24,8.3725
2016-02-25,8.3225
2016-02-26,8.2175
2016-02-29,8.1875
2016-03-01,7.935
2016-03-02,7.9075
2016-03-03,7.8625
2016-03-04,7.8875
2016-03-07,7.7875
2016-03-08,7.8175
2016-03-09,7.775
2016-03-10,7.815
2016-03-11,7.755
2016-03-14,7.7075
2016-03-15,7.505
2016-03-16,7.485
2016-03-17,7.43
2016-03-18,7.3625
2016-03-21,7.34
2016-03-22,7.34
2016-03-23,7.37
2016-03-24,7.41
2016-03-25,7.4
2016-03-28,7.385
2016-03-29,7.33
2016-03-30,7.31
2016-03-31,7.31
2016-04-01,7.2325
2016-04-04,7.1725
2016-04-05,7.2
2016-04-06,7.17
2016-04-07,7.15
2016-04-08,7.0825
2016-04-11,7.095
2016-04-12,7.0575
2016-04-13,7.0325
2016-04-14,7.125
2016-04-15,7.1275
2016-04-18,7.0925
2016-04-19,7.085
2016-04-20,6.9775
2016-04-21,7.0075
2016-04-22,6.995
2016-04-25,7.1
2016-04-26,7.17
2016-04-27,7.1325
2016-04-28,7.0875
2016-04-29,7.1075
2016-05-02,7.105
2016-05-03,6.975
2016-05-04,7.145
2016-05-05,7.3375
2016-05-06,7.3425
2016-05-09,7.42
2016-05-10,7.42
2016-05-11,7.315
2016-05-12,7.315
2016-05-13,7.32
2016-05-16,7.32
