Date,Value
2016-01-01,6.795
2016-01-04,6.96
2016-01-05,6.78
2016-01-06,7.11
2016-01-07,7.2425
2016-01-08,7.4025
2016-01-11,7.2
2016-01-12,7.225
2016-01-13,7.14
2016-01-14,7.545
2016-01-15,7.59
2016-01-18,7.47
2016-01-19,7.395
2016-01-20,7.38
2016-01-21,7.42
2016-01-22,7.3
2016-01-25,7.2
2016-01-26,7.17
2016-01-27,7.2625
2016-01-28,7.5
2016-01-29,7.5225
2016-02-01,7.55
2016-02-02,7.605
2016-02-03,7.98
2016-02-04,7.9225
2016-02-05,8.3675
2016-02-08,8.365
2016-02-09,8.595
2016-02-10,8.58
2016-02-11,8.8875
2016-02-12,9.3625
2016-02-15,9.005
2016-02-16,8.7675
2016-02-17,8.6425
2016-02-18,8.135
2016-02-19,8.145
2016-02-22,7.9525
2016-02-23,8.18
2016-02-24,8.3075
2016-02-25,8.335
2016-02-26,8.085
2016-02-29,8.015
2016-03-01,7.6525
2016-03-02,7.5825
2016-03-03,7.69
2016-03-04,7.8475
2016-03-07,7.8475
2016-03-08,7.845
2016-03-09,7.885
2016-03-10,7.96
2016-03-11,7.8775
2016-03-14,7.795
2016-03-15,7.525
2016-03-16,7.575
2016-03-17,7.515
2016-03-18,7.455
2016-03-21,7.44
2016-03-22,7.405
2016-03-23,7.5075
2016-03-24,7.595
2016-03-25,7.545
2016-03-28,7.5
2016-03-29,7.43
2016-03-30,7.4475
2016-03-31,7.4425
2016-04-01,7.4
2016-04-04,7.34
2016-04-05,7.3
2016-04-06,7.285
2016-04-07,7.16
2016-04-08,7.105
2016-04-11,7.075
2016-04-12,7.045
2016-04-13,7.0125
2016-04-14,7.1275
2016-04-15,6.95
2016-04-18,6.85
2016-04-19,6.8325
2016-04-20,6.8725
2016-04-21,6.92
2016-04-22,6.9425
2016-04-25,7.03
2016-04-26,7.12
2016-04-27,7.0075
2016-04-28,6.9475
2016-04-29,6.9375
2016-05-02,6.9925
2016-05-03,6.7625
2016-05-04,7.1025
2016-05-05,7.5625
2016-05-06,7.52
2016-05-09,7.4375
2016-05-10,7.4925
2016-05-11,7.32
2016-05-12,7.2725
2016-05-13,7.245
2016-05-16,7.34
2016-05-17,7.3175
2016-05-18,7.4775
2016-05-19,7.5025
2016-05-20,7.2925
2016-05-23,7.13
2016-05-24,7.0325
2016-05-25,6.905
2016-05-26,6.89
2016-05-27,6.86
2016-05-30,6.93
2016-05-31,6.875
2016-06-01,6.725
2016-06-02,6.68
2016-06-03,6.65
2016-06-06,6.585
2016-06-07,6.505
2016-06-08,6.3625
2016-06-09,6.495
2016-06-10,6.8
2016-06-13,6.9875
2016-06-14,7.385
2016-06-15,7.35
2016-06-16,7.275
2016-06-17,7.255
2016-06-20,6.9775
2016-06-21,6.6625
2016-06-22,6.79
2016-06-23,6.7175
2016-06-24,7.1925
2016-06-27,7.4875
2016-06-28,6.995
2016-06-29,6.8375
2016-06-30,6.775
2016-07-01,6.6375
2016-07-04,6.5825
2016-07-05,6.4375
2016-07-06,6.59
2016-07-07,6.57
2016-07-08,6.6725
2016-07-11,6.645
2016-07-12,6.645
2016-07-13,6.7225
2016-07-14,6.8
2016-07-15,6.64
2016-07-18,6.51
2016-07-19,6.505
2016-07-20,6.66
2016-07-21,6.79
2016-07-22,6.7475
2016-07-25,6.7925
2016-07-26,6.7525
2016-07-27,6.64
2016-07-28,6.5175
2016-07-29,6.3375
2016-08-01,6.265
2016-08-02,6.06
2016-08-03,6.1825
2016-08-04,6.21
2016-08-05,6.1525
2016-08-08,6.1925
2016-08-09,6.165
2016-08-10,6.15
2016-08-11,6.125
2016-08-12,6.055
2016-08-15,5.98
2016-08-16,6.0625
2016-08-17,6.125
2016-08-18,6.19
2016-08-19,6.2275
2016-08-22,6.4425
2016-08-23,6.44
2016-08-24,6.4875
2016-08-25,6.52
2016-08-26,6.4875
2016-08-29,6.5275
2016-08-30,6.56
2016-08-31,6.49
2016-09-01,6.4225
2016-09-02,6.385
2016-09-05,6.2075
2016-09-06,6.035
2016-09-07,6.0125
2016-09-08,5.9975
2016-09-09,6.1425
2016-09-12,6.365
2016-09-13,6.395
2016-09-14,6.59
2016-09-15,6.6125
2016-09-16,6.5725
2016-09-19,6.5525
2016-09-20,6.38
2016-09-21,6.38
2016-09-22,6.2025
2016-09-23,6.1775
2016-09-26,6.2075
2016-09-27,6.2125
2016-09-28,6.0625
2016-09-29,6.1275
2016-09-30,6.08
2016-10-03,6.085
2016-10-04,6.06
2016-10-05,6.11
2016-10-06,6.1
2016-10-07,6.085
2016-10-10,5.9575
2016-10-11,6.12
2016-10-12,6.185
2016-10-13,6.275
2016-10-14,6.06
2016-10-17,6.0725
2016-10-18,5.95
2016-10-19,5.675
2016-10-20,5.64
2016-10-21,5.6925
2016-10-24,5.775
2016-10-25,5.61
2016-10-26,5.53
2016-10-27,5.4775
2016-10-28,5.5575
2016-10-31,5.5525
2016-11-01,5.4575
2016-11-02,5.59
2016-11-03,5.655
2016-11-04,5.6425
2016-11-07,5.475
2016-11-08,5.31
2016-11-09,5.4
2016-11-10,5.45
2016-11-11,6.2875
2016-11-14,6.63
2016-11-15,6.385
2016-11-16,6.3325
2016-11-17,6.43
2016-11-18,7.09
2016-11-21,7.09
2016-11-22,6.8375
2016-11-23,6.72
2016-11-24,7.1675
2016-11-25,7.055
2016-11-28,6.83
2016-11-29,6.82
2016-11-30,6.76
2016-12-01,6.72
2016-12-02,6.57
2016-12-05,6.62
2016-12-06,6.44
2016-12-07,6.45
2016-12-08,6.43
2016-12-09,6.61
2016-12-12,6.8325
2016-12-13,6.77
2016-12-14,6.765
2016-12-15,7.14
2016-12-16,7.275
2016-12-19,7.3225
2016-12-20,7.455
2016-12-21,7.305
2016-12-22,7.3325
2016-12-23,7.3625
2016-12-26,7.4375
2016-12-27,7.425
2016-12-28,7.5575
2016-12-29,7.6325
2016-12-30,7.67
2017-01-02,7.6375
2017-01-03,7.3525
2017-01-04,7.11
2017-01-05,6.9925
2017-01-06,7.125
2017-01-09,7.1325
2017-01-10,7.0525
2017-01-11,6.9575
2017-01-12,6.9175
2017-01-13,6.825
2017-01-16,6.965
2017-01-17,6.725
2017-01-18,6.5975
2017-01-19,6.735
2017-01-20,6.755
2017-01-23,6.5125
2017-01-24,6.4625
2017-01-25,6.44
2017-01-26,6.405
2017-01-27,6.56
2017-01-30,6.6575
2017-01-31,6.6625
2017-02-01,6.5825
2017-02-02,6.5975
2017-02-03,6.6
2017-02-06,6.4625
2017-02-07,6.39
2017-02-08,6.595
2017-02-09,6.465
2017-02-10,6.68
2017-02-13,6.71
2017-02-14,6.58
2017-02-15,6.395
2017-02-16,6.3875
2017-02-17,6.3475
2017-02-20,6.3375
2017-02-21,6.3675
2017-02-22,6.2875
2017-02-23,6.27
2017-02-24,6.2525
2017-02-27,6.1375
2017-02-28,6.12
2017-03-01,6.275
2017-03-02,6.31
2017-03-03,6.275
2017-03-06,6.225
2017-03-07,6.0225
2017-03-08,6.0125
2017-03-09,6.2525
2017-03-10,6.0775
2017-03-13,5.965
2017-03-14,5.925
2017-03-15,6.01
2017-03-16,5.7675
2017-03-17,5.5075
2017-03-20,5.5075
2017-03-21,5.475
2017-03-22,5.51
2017-03-23,5.4775
2017-03-24,5.435
2017-03-27,5.3575
2017-03-28,5.22
2017-03-29,5.1975
2017-03-30,5.25
