Date,Value
2016-01-01,1.205
2016-01-04,1.33
2016-01-05,1.335
2016-01-06,1.305
2016-01-07,1.305
2016-01-08,1.295
2016-01-11,1.26
2016-01-12,1.155
2016-01-13,1.25
2016-01-14,1.25
2016-01-15,1.26
2016-01-18,1.295
2016-01-19,1.305
2016-01-20,1.265
2016-01-21,1.26
2016-01-22,1.265
2016-01-25,1.2875
2016-01-26,1.305
2016-01-27,1.36
2016-01-28,1.225
2016-01-29,1.315
2016-02-01,1.33
2016-02-02,1.335
2016-02-03,1.335
2016-02-04,1.205
2016-02-05,1.325
2016-02-08,1.325
2016-02-09,1.31
2016-02-10,1.3
2016-02-11,1.225
2016-02-12,1.215
2016-02-15,1.0675
2016-02-16,1.1775
2016-02-17,1.1675
2016-02-18,1.14
2016-02-19,1.1175
2016-02-22,1.17
2016-02-23,1.1225
2016-02-24,1.205
2016-02-25,1.175
2016-02-26,1.1725
2016-02-29,1.255
2016-03-01,1.255
2016-03-02,1.255
2016-03-03,1.245
2016-03-04,1.21
2016-03-07,1.2375
2016-03-08,1.165
2016-03-09,1.25
2016-03-10,1.24
2016-03-11,1.21
2016-03-14,1.1375
2016-03-15,1.1375
2016-03-16,1.115
2016-03-17,1.11
2016-03-18,1.1475
2016-03-21,1.185
2016-03-22,1.19
2016-03-23,1.185
2016-03-24,1.155
2016-03-25,1.15
2016-03-28,1.1825
2016-03-29,1.15
2016-03-30,1.2
2016-03-31,1.17
2016-04-01,1.17
2016-04-04,1.16
2016-04-05,1.1625
2016-04-06,1.1625
2016-04-07,1.175
2016-04-08,1.1425
2016-04-11,1.15
2016-04-12,1.1475
2016-04-13,1.1575
2016-04-14,1.16
2016-04-15,1.17
2016-04-18,1.1825
2016-04-19,1.19
2016-04-20,1.17
2016-04-21,1.17
2016-04-22,1.1475
2016-04-25,1.185
2016-04-26,1.185
2016-04-27,1.1875
2016-04-28,1.1725
2016-04-29,1.145
2016-05-02,1.13
2016-05-03,1.12
2016-05-04,1.075
2016-05-05,1.145
2016-05-06,1.14
2016-05-09,1.07
2016-05-10,1.07
2016-05-11,1.055
2016-05-12,1.0625
2016-05-13,0.96
2016-05-16,0.9675
2016-05-17,1.055
2016-05-18,1.01
2016-05-19,1.025
2016-05-20,1.0275
2016-05-23,1.0175
2016-05-24,1.0075
2016-05-25,1.0475
2016-05-26,0.99
2016-05-27,1.0275
2016-05-30,1.02
2016-05-31,1.0275
2016-06-01,1.0425
2016-06-02,1.0025
2016-06-03,1.0125
2016-06-06,0.935
2016-06-07,0.8275
2016-06-08,0.985
2016-06-09,0.91
2016-06-10,0.9575
2016-06-13,0.9625
2016-06-14,0.9425
2016-06-15,0.9925
2016-06-16,0.9725
2016-06-17,0.93
2016-06-20,0.9725
2016-06-21,0.98
2016-06-22,0.9725
2016-06-23,0.9475
2016-06-24,1.0125
2016-06-27,1.0575
2016-06-28,1.055
2016-06-29,0.985
2016-06-30,0.9925
2016-07-01,0.9875
2016-07-04,0.975
2016-07-05,1.025
2016-07-06,0.9975
2016-07-07,1.02
2016-07-08,1.0
2016-07-11,0.925
2016-07-12,0.93
2016-07-13,0.9325
2016-07-14,0.9375
2016-07-15,0.9025
2016-07-18,0.925
2016-07-19,0.8975
2016-07-20,0.945
2016-07-21,0.9275
2016-07-22,0.9075
2016-07-25,0.6525
2016-07-26,0.6325
