Date,Value
2016-01-01,2.29
2016-01-04,2.31
2016-01-05,2.2975
2016-01-06,2.3125
2016-01-07,2.3125
2016-01-08,2.31
2016-01-11,2.31
2016-01-12,2.295
2016-01-13,2.3175
2016-01-14,2.315
2016-01-15,2.31
2016-01-18,2.305
2016-01-19,2.2675
2016-01-20,2.275
2016-01-21,2.2625
2016-01-22,2.28
2016-01-25,2.28
2016-01-26,2.2725
2016-01-27,2.2475
2016-01-28,2.2
2016-01-29,2.2425
2016-02-01,2.24
2016-02-02,2.2275
2016-02-03,2.2525
2016-02-04,2.2125
2016-02-05,2.2325
2016-02-08,2.225
2016-02-09,2.23
2016-02-10,2.225
2016-02-11,2.3225
2016-02-12,2.32
2016-02-15,2.3125
2016-02-16,2.3125
2016-02-17,2.3125
2016-02-18,2.31
2016-02-19,2.295
2016-02-22,2.31
2016-02-23,2.3125
2016-02-24,2.3225
2016-02-25,2.3225
2016-02-26,2.32
2016-02-29,2.3175
2016-03-01,2.2775
2016-03-02,2.2775
2016-03-03,2.2025
2016-03-04,2.1825
2016-03-07,2.185
2016-03-08,2.13
2016-03-09,2.19
2016-03-10,2.195
2016-03-11,2.1375
2016-03-14,2.1225
2016-03-15,2.14
2016-03-16,2.12
2016-03-17,2.0975
2016-03-18,2.15
2016-03-21,2.1675
2016-03-22,2.165
2016-03-23,2.1625
2016-03-24,2.1625
2016-03-25,2.1625
2016-03-28,2.1575
2016-03-29,2.12
2016-03-30,2.1025
2016-03-31,2.1175
2016-04-01,2.11
2016-04-04,2.1075
2016-04-05,2.115
2016-04-06,2.1225
2016-04-07,2.11
2016-04-08,2.075
2016-04-11,2.1075
2016-04-12,2.105
2016-04-13,2.105
2016-04-14,2.105
2016-04-15,2.1225
2016-04-18,2.1125
2016-04-19,2.1175
2016-04-20,2.1225
2016-04-21,2.1325
2016-04-22,2.1075
2016-04-25,2.13
2016-04-26,2.13
2016-04-27,2.11
2016-04-28,2.0775
2016-04-29,2.05
2016-05-02,1.97
2016-05-03,2.02
2016-05-04,1.9675
2016-05-05,2.0775
2016-05-06,2.14
2016-05-09,2.155
2016-05-10,2.1725
2016-05-11,2.0975
2016-05-12,2.0375
2016-05-13,1.97
2016-05-16,2.045
2016-05-17,2.1225
2016-05-18,2.155
2016-05-19,2.235
2016-05-20,2.2025
2016-05-23,2.205
2016-05-24,2.25
2016-05-25,2.2425
2016-05-26,2.2625
2016-05-27,2.2475
2016-05-30,2.2375
2016-05-31,2.205
2016-06-01,2.2075
2016-06-02,2.19
2016-06-03,2.185
2016-06-06,2.1
2016-06-07,1.9325
2016-06-08,2.075
2016-06-09,2.035
2016-06-10,2.12
2016-06-13,2.155
2016-06-14,2.195
2016-06-15,2.1875
2016-06-16,2.195
2016-06-17,2.18
2016-06-20,2.185
2016-06-21,2.22
2016-06-22,2.1775
2016-06-23,2.19
2016-06-24,2.225
2016-06-27,2.235
2016-06-28,2.24
2016-06-29,2.185
2016-06-30,2.1825
2016-07-01,2.1475
2016-07-04,2.0925
2016-07-05,2.1425
2016-07-06,2.125
2016-07-07,2.1475
2016-07-08,2.1275
2016-07-11,2.0425
2016-07-12,2.0625
2016-07-13,2.0575
2016-07-14,2.0925
2016-07-15,2.05
2016-07-18,2.04
2016-07-19,2.035
2016-07-20,2.07
2016-07-21,2.065
2016-07-22,2.045
2016-07-25,1.84
2016-07-26,1.8275
2016-07-27,1.8125
2016-07-28,1.8125
2016-07-29,1.805
2016-08-01,1.77
2016-08-02,1.7675
2016-08-03,1.76
2016-08-04,1.7625
2016-08-05,1.755
2016-08-08,1.7525
2016-08-09,1.7475
2016-08-10,1.7
2016-08-11,1.7025
2016-08-12,1.7
2016-08-15,1.6925
2016-08-16,1.7025
2016-08-17,1.7
2016-08-18,1.69
2016-08-19,1.71
2016-08-22,1.6
2016-08-23,1.69
2016-08-24,1.695
2016-08-25,1.7475
2016-08-26,1.6975
2016-08-29,1.7
2016-08-30,1.7
2016-08-31,1.695
2016-09-01,1.69
2016-09-02,1.6925
2016-09-05,1.6975
2016-09-06,1.6975
2016-09-07,1.7
2016-09-08,1.75
2016-09-09,1.6975
2016-09-12,1.505
2016-09-13,1.7025
2016-09-14,1.4625
2016-09-15,1.4675
2016-09-16,1.475
2016-09-19,1.69
2016-09-20,1.41
2016-09-21,1.39
2016-09-22,1.3925
2016-09-23,1.39
2016-09-26,1.605
2016-09-27,1.5975
2016-09-28,1.6025
2016-09-29,1.6075
2016-09-30,1.5975
2016-10-03,1.6025
2016-10-04,1.605
2016-10-05,1.61
2016-10-06,1.6075
2016-10-07,1.645
2016-10-10,1.6825
2016-10-11,1.6725
2016-10-12,1.7825
2016-10-13,1.785
2016-10-14,1.7825
2016-10-17,1.785
2016-10-18,1.7825
2016-10-19,1.785
2016-10-20,1.7875
2016-10-21,1.8325
2016-10-24,1.7825
2016-10-25,1.785
