Date,Value
2016-01-01,2.44
2016-01-04,2.4375
2016-01-05,2.4325
2016-01-06,2.4325
2016-01-07,2.435
2016-01-08,2.445
2016-01-11,2.425
2016-01-12,2.4125
2016-01-13,2.4325
2016-01-14,2.445
2016-01-15,2.445
2016-01-18,2.4275
2016-01-19,2.4175
2016-01-20,2.4125
2016-01-21,2.4125
2016-01-22,2.425
2016-01-25,2.4175
2016-01-26,2.4125
2016-01-27,2.3875
2016-01-28,2.365
2016-01-29,2.3875
2016-02-01,2.3975
2016-02-02,2.3975
2016-02-03,2.3875
2016-02-04,2.38
2016-02-05,2.385
2016-02-08,2.3975
2016-02-09,2.4
2016-02-10,2.3825
2016-02-11,2.405
2016-02-12,2.39
2016-02-15,2.3825
2016-02-16,2.3975
2016-02-17,2.395
2016-02-18,2.3925
2016-02-19,2.3875
2016-02-22,2.39
2016-02-23,2.3725
2016-02-24,2.3925
2016-02-25,2.3925
2016-02-26,2.405
2016-02-29,2.3925
2016-03-01,2.405
2016-03-02,2.39
2016-03-03,2.3625
2016-03-04,2.3475
2016-03-07,2.3375
2016-03-08,2.2975
2016-03-09,2.34
2016-03-10,2.34
2016-03-11,2.3225
2016-03-14,2.3125
2016-03-15,2.32
2016-03-16,2.3075
2016-03-17,2.285
2016-03-18,2.3225
2016-03-21,2.3375
2016-03-22,2.3225
2016-03-23,2.3275
2016-03-24,2.32
2016-03-25,2.345
2016-03-28,2.3325
2016-03-29,2.31
2016-03-30,2.2875
2016-03-31,2.3075
2016-04-01,2.3175
2016-04-04,2.31
2016-04-05,2.3025
2016-04-06,2.3175
2016-04-07,2.3175
2016-04-08,2.3025
2016-04-11,2.3025
2016-04-12,2.31
2016-04-13,2.3
2016-04-14,2.3025
2016-04-15,2.3175
2016-04-18,2.3125
2016-04-19,2.3075
2016-04-20,2.31
2016-04-21,2.3125
2016-04-22,2.3
2016-04-25,2.2975
2016-04-26,2.2975
2016-04-27,2.295
2016-04-28,2.2875
2016-04-29,2.2725
2016-05-02,2.235
2016-05-03,2.2475
2016-05-04,2.2075
2016-05-05,2.2425
2016-05-06,2.2525
2016-05-09,2.275
2016-05-10,2.2775
2016-05-11,2.275
2016-05-12,2.285
2016-05-13,2.2625
2016-05-16,2.2275
2016-05-17,2.2875
2016-05-18,2.3375
2016-05-19,2.3475
2016-05-20,2.3325
2016-05-23,2.3375
2016-05-24,2.3275
2016-05-25,2.335
2016-05-26,2.3325
2016-05-27,2.3375
2016-05-30,2.3275
2016-05-31,2.3075
2016-06-01,2.3075
2016-06-02,2.2975
2016-06-03,2.2875
2016-06-06,2.2175
2016-06-07,2.1925
2016-06-08,2.275
2016-06-09,2.265
2016-06-10,2.2925
2016-06-13,2.2975
2016-06-14,2.3125
2016-06-15,2.3125
2016-06-16,2.3075
2016-06-17,2.3075
2016-06-20,2.3125
2016-06-21,2.3125
2016-06-22,2.3025
2016-06-23,2.3125
2016-06-24,2.3175
2016-06-27,2.295
2016-06-28,2.295
2016-06-29,2.28
2016-06-30,2.275
2016-07-01,2.27
2016-07-04,2.245
2016-07-05,2.265
2016-07-06,2.2475
2016-07-07,2.275
2016-07-08,2.2725
2016-07-11,2.24
2016-07-12,2.255
2016-07-13,2.2475
2016-07-14,2.275
2016-07-15,2.2425
2016-07-18,2.235
2016-07-19,2.2725
2016-07-20,2.255
2016-07-21,2.2525
2016-07-22,2.2375
2016-07-25,2.0825
2016-07-26,2.0775
2016-07-27,2.0675
2016-07-28,2.0625
2016-07-29,2.06
2016-08-01,2.0375
2016-08-02,2.0325
2016-08-03,2.03
2016-08-04,2.03
2016-08-05,2.025
2016-08-08,2.02
2016-08-09,2.02
2016-08-10,1.9925
2016-08-11,1.9925
2016-08-12,1.99
2016-08-15,1.995
2016-08-16,1.9975
2016-08-17,1.9925
2016-08-18,1.99
2016-08-19,2.0
2016-08-22,1.92
2016-08-23,1.99
2016-08-24,1.99
2016-08-25,1.995
2016-08-26,1.9925
2016-08-29,1.9925
2016-08-30,1.99
2016-08-31,1.99
2016-09-01,1.985
2016-09-02,1.99
2016-09-05,1.99
2016-09-06,1.995
2016-09-07,1.99
