Date,Value
2016-01-01,5.9325
2016-01-04,5.9175
2016-01-05,5.925
2016-01-06,6.135
2016-01-07,6.225
2016-01-08,6.27
2016-01-11,6.29
2016-01-12,6.23
2016-01-13,6.22
2016-01-14,6.185
2016-01-15,5.8675
2016-01-18,5.7525
2016-01-19,5.735
2016-01-20,5.55
2016-01-21,5.57
2016-01-22,5.54
2016-01-25,5.5
2016-01-26,5.39
2016-01-27,5.25
2016-01-28,5.1975
2016-01-29,5.125
2016-02-01,4.98
2016-02-02,5.01
2016-02-03,5.015
2016-02-04,4.975
2016-02-05,4.955
2016-02-08,4.98
2016-02-09,4.98
2016-02-10,5.0225
2016-02-11,4.9575
2016-02-12,4.9125
2016-02-15,4.9075
2016-02-16,4.7975
2016-02-17,4.77
2016-02-18,4.69
2016-02-19,4.665
2016-02-22,4.6225
2016-02-23,4.52
2016-02-24,4.475
2016-02-25,4.475
2016-02-26,4.4825
2016-02-29,4.48
2016-03-01,4.36
2016-03-02,4.36
2016-03-03,4.345
2016-03-04,4.34
2016-03-07,4.3175
2016-03-08,4.325
2016-03-09,4.3125
2016-03-10,4.31
2016-03-11,4.325
2016-03-14,4.33
2016-03-15,4.3325
2016-03-16,4.3425
2016-03-17,4.3875
2016-03-18,4.3975
2016-03-21,4.3875
2016-03-22,4.395
2016-03-23,4.395
2016-03-24,4.3875
2016-03-25,4.4225
2016-03-28,4.435
2016-03-29,4.4575
2016-03-30,4.44
2016-03-31,4.45
2016-04-01,4.4575
2016-04-04,4.435
2016-04-05,4.46
2016-04-06,4.46
2016-04-07,4.475
2016-04-08,4.49
2016-04-11,4.4625
2016-04-12,4.4525
2016-04-13,4.4575
2016-04-14,4.455
2016-04-15,4.4475
2016-04-18,4.42
2016-04-19,4.425
2016-04-20,4.405
2016-04-21,4.435
2016-04-22,4.46
2016-04-25,4.38
2016-04-26,4.375
2016-04-27,4.3725
2016-04-28,4.3675
2016-04-29,4.4175
2016-05-02,4.41
2016-05-03,4.405
2016-05-04,4.38
2016-05-05,4.375
2016-05-06,4.3675
2016-05-09,4.3625
2016-05-10,4.36
2016-05-11,4.3575
2016-05-12,4.36
2016-05-13,4.38
2016-05-16,4.435
2016-05-17,4.4225
2016-05-18,4.4775
2016-05-19,4.4975
