Date,Value
2016-01-01,6.36
2016-01-04,6.12
2016-01-05,6.12
2016-01-06,6.27
2016-01-07,6.3
2016-01-08,6.355
2016-01-11,6.345
2016-01-12,6.31
2016-01-13,6.29
2016-01-14,6.255
2016-01-15,6.02
2016-01-18,5.9125
2016-01-19,5.865
2016-01-20,5.6975
2016-01-21,5.675
2016-01-22,5.615
2016-01-25,5.555
2016-01-26,5.47
2016-01-27,5.3725
2016-01-28,5.37
2016-01-29,5.29
2016-02-01,5.165
2016-02-02,5.1275
2016-02-03,5.1625
2016-02-04,5.12
2016-02-05,5.12
2016-02-08,5.125
2016-02-09,5.0475
2016-02-10,5.0725
2016-02-11,5.0525
2016-02-12,5.0425
2016-02-15,4.96
2016-02-16,4.925
2016-02-17,4.865
2016-02-18,4.745
2016-02-19,4.7525
2016-02-22,4.695
2016-02-23,4.61
2016-02-24,4.595
2016-02-25,4.5675
2016-02-26,4.615
2016-02-29,4.555
2016-03-01,4.4
2016-03-02,4.37
2016-03-03,4.345
2016-03-04,4.485
2016-03-07,4.31
2016-03-08,4.34
2016-03-09,4.325
2016-03-10,4.195
2016-03-11,4.36
2016-03-14,4.34
2016-03-15,4.3225
2016-03-16,4.415
2016-03-17,4.41
2016-03-18,4.49
2016-03-21,4.375
2016-03-22,4.45
2016-03-23,4.43
2016-03-24,4.39
2016-03-25,4.4875
2016-03-28,4.35
2016-03-29,4.3275
2016-03-30,4.3925
2016-03-31,4.4
2016-04-01,4.4075
2016-04-04,4.4125
2016-04-05,4.4425
2016-04-06,4.4325
2016-04-07,4.4275
2016-04-08,4.3825
2016-04-11,4.4075
2016-04-12,4.395
2016-04-13,4.42
2016-04-14,4.445
2016-04-15,4.51
2016-04-18,4.41
2016-04-19,4.4
2016-04-20,4.3725
2016-04-21,4.385
2016-04-22,4.3725
2016-04-25,4.39
2016-04-26,4.375
2016-04-27,4.37
2016-04-28,4.4
2016-04-29,4.3725
2016-05-02,4.5225
2016-05-03,4.44
2016-05-04,4.4
2016-05-05,4.385
2016-05-06,4.4725
2016-05-09,4.345
2016-05-10,4.36
2016-05-11,4.355
2016-05-12,4.3525
2016-05-13,4.37
2016-05-16,4.3325
2016-05-17,4.33
2016-05-18,4.4225
2016-05-19,4.445
2016-05-20,4.49
2016-05-23,4.4575
2016-05-24,4.455
2016-05-25,4.485
2016-05-26,4.5075
2016-05-27,4.52
2016-05-30,4.5325
2016-05-31,4.4725
2016-06-01,4.495
2016-06-02,4.4625
2016-06-03,4.49
2016-06-06,4.57
2016-06-07,4.5575
2016-06-08,4.5
2016-06-09,4.53
2016-06-10,4.555
2016-06-13,4.56
2016-06-14,4.58
2016-06-15,4.635
2016-06-16,4.605
2016-06-17,4.6
2016-06-20,4.61
2016-06-21,4.67
2016-06-22,4.6375
2016-06-23,4.625
2016-06-24,4.6525
2016-06-27,4.585
2016-06-28,4.615
2016-06-29,4.61
2016-06-30,4.5725
2016-07-01,4.7375
2016-07-04,4.5625
2016-07-05,4.555
2016-07-06,4.52
2016-07-07,4.4975
2016-07-08,4.52
2016-07-11,4.4375
2016-07-12,4.4525
2016-07-13,4.4525
2016-07-14,4.4525
2016-07-15,4.4825
2016-07-18,4.445
2016-07-19,4.4375
2016-07-20,4.46
2016-07-21,4.4325
2016-07-22,4.445
2016-07-25,4.485
2016-07-26,4.475
2016-07-27,4.5
2016-07-28,4.4975
2016-07-29,4.525
2016-08-01,4.515
2016-08-02,4.5475
2016-08-03,4.505
2016-08-04,4.495
2016-08-05,4.49
2016-08-08,4.485
2016-08-09,4.485
2016-08-10,4.5025
2016-08-11,4.4575
2016-08-15,4.44
2016-08-16,4.3375
2016-08-17,4.195
2016-08-18,4.1825
2016-08-19,4.1725
2016-08-22,4.1925
2016-08-23,4.235
2016-08-24,4.245
2016-08-25,4.18
2016-08-26,4.145
2016-08-29,4.16
2016-08-30,4.155
2016-08-31,4.16
2016-09-01,4.1625
2016-09-02,4.1325
2016-09-05,4.1725
2016-09-06,4.22
2016-09-07,4.21
2016-09-08,4.21
2016-09-09,4.265
2016-09-12,4.3675
2016-09-13,4.3725
2016-09-14,4.41
2016-09-15,4.4275
2016-09-16,4.4425
2016-09-19,4.39
2016-09-20,4.41
2016-09-21,4.355
2016-09-22,4.365
2016-09-23,4.4025
2016-09-26,4.315
2016-09-27,4.315
2016-09-28,4.32
2016-09-29,4.3125
2016-09-30,4.2925
2016-10-03,4.2525
