Date,Value
2016-01-01,7.095
2016-01-04,7.1625
2016-01-05,7.1225
2016-01-06,7.155
2016-01-07,7.18
2016-01-08,7.19
2016-01-11,7.2025
2016-01-12,7.15
2016-01-13,7.1525
2016-01-14,7.1625
2016-01-15,7.16
2016-01-18,7.17
2016-01-19,7.1725
2016-01-20,7.16
2016-01-21,7.12
2016-01-22,7.1075
2016-01-25,7.14
2016-01-26,6.91
2016-01-27,6.645
2016-01-28,6.53
2016-01-29,6.5775
2016-02-01,6.6125
2016-02-02,6.625
2016-02-03,6.635
2016-02-04,6.6325
2016-02-05,6.5875
2016-02-08,6.6575
2016-02-09,6.74
2016-02-10,6.69
2016-02-11,7.4925
2016-02-12,8.015
2016-02-15,7.83
2016-02-16,7.4225
2016-02-17,7.3675
2016-02-18,7.2875
2016-02-19,7.0925
2016-02-22,6.8575
2016-02-23,6.44
2016-02-24,6.4975
2016-02-25,6.485
2016-02-26,6.4775
2016-02-29,6.4175
2016-03-01,6.4175
2016-03-02,6.4175
2016-03-03,6.3175
2016-03-04,6.3075
2016-03-07,6.31
2016-03-08,6.26
2016-03-09,6.295
2016-03-10,6.3175
2016-03-11,6.3025
2016-03-14,6.3
2016-03-15,6.285
2016-03-16,6.245
2016-03-17,6.2175
2016-03-18,6.2975
2016-03-21,6.3125
2016-03-22,6.3275
2016-03-23,6.34
2016-03-24,6.31
2016-03-25,6.2875
2016-03-28,6.3
2016-03-29,6.325
2016-03-30,6.295
2016-03-31,6.3075
2016-04-01,6.3075
2016-04-04,6.2825
2016-04-05,6.2925
2016-04-06,6.3075
2016-04-07,6.3075
2016-04-08,6.3275
2016-04-11,6.3025
2016-04-12,6.31
2016-04-13,6.3125
2016-04-14,6.3125
2016-04-15,6.32
2016-04-18,6.285
2016-04-19,6.31
2016-04-20,6.315
2016-04-21,6.3125
2016-04-22,6.2525
2016-04-25,6.315
2016-04-26,6.31
2016-04-27,6.3
2016-04-28,6.305
2016-04-29,6.15
2016-05-02,6.0625
2016-05-03,5.955
2016-05-04,6.0225
2016-05-05,6.045
2016-05-06,6.15
2016-05-09,6.1125
2016-05-10,6.1175
2016-05-11,6.1025
2016-05-12,6.055
2016-05-13,6.18
2016-05-16,6.0875
2016-05-17,6.04
2016-05-18,6.115
2016-05-19,6.27
2016-05-20,6.295
2016-05-23,6.31
2016-05-24,6.3025
2016-05-25,6.4325
2016-05-26,6.4575
2016-05-27,6.395
2016-05-30,6.4225
2016-05-31,6.365
2016-06-01,6.2825
2016-06-02,6.2875
2016-06-03,6.3475
2016-06-06,6.3475
2016-06-07,6.355
2016-06-08,6.34
2016-06-09,6.3375
2016-06-10,6.4375
2016-06-13,6.4325
2016-06-14,6.435
2016-06-15,6.395
2016-06-16,6.4825
2016-06-17,6.43
2016-06-20,6.24
2016-06-21,6.23
2016-06-22,6.145
2016-06-23,6.2025
2016-06-24,6.2875
2016-06-27,6.4525
2016-06-28,6.165
2016-06-29,6.095
2016-06-30,6.0975
2016-07-01,6.075
2016-07-04,6.0425
2016-07-05,6.0525
2016-07-06,6.0425
2016-07-07,6.0325
2016-07-08,6.1175
2016-07-11,5.9775
2016-07-12,5.9975
2016-07-13,6.08
2016-07-14,6.02
2016-07-15,6.075
2016-07-18,5.995
2016-07-19,6.0625
2016-07-20,6.0075
2016-07-21,6.0425
2016-07-22,6.0775
2016-07-25,6.055
2016-07-26,6.0525
2016-07-27,6.105
2016-07-28,6.1075
2016-07-29,6.225
2016-08-01,6.1375
2016-08-02,6.1275
2016-08-03,6.135
2016-08-04,6.06
2016-08-05,6.135
2016-08-08,6.15
2016-08-09,6.055
2016-08-10,6.09
2016-08-11,6.1825
2016-08-12,6.0925
2016-08-15,6.1625
2016-08-16,6.0225
2016-08-17,6.15
2016-08-18,6.02
2016-08-19,6.045
2016-08-22,6.17
2016-08-23,6.04
2016-08-24,6.0325
2016-08-25,6.125
2016-08-26,6.115
2016-08-29,6.13
2016-08-30,6.1
2016-08-31,5.94
2016-09-01,5.96
2016-09-02,6.0525
2016-09-05,5.9175
2016-09-06,5.935
2016-09-07,5.975
2016-09-08,6.0475
2016-09-09,5.975
2016-09-12,6.1225
2016-09-13,6.145
2016-09-14,5.715
2016-09-15,5.845
2016-09-16,5.775
2016-09-19,6.0
2016-09-20,5.9025
2016-09-21,5.87
2016-09-22,5.8175
2016-09-23,5.905
2016-09-26,6.15
2016-09-27,6.03
2016-09-28,6.0225
2016-09-29,6.1675
2016-09-30,6.115
2016-10-03,6.0225
2016-10-04,6.13
2016-10-05,6.0225
2016-10-06,6.1325
2016-10-07,6.1525
2016-10-10,6.2375
2016-10-11,6.63
2016-10-12,6.7
2016-10-13,6.86
2016-10-14,6.775
2016-10-17,6.6575
2016-10-18,6.5275
2016-10-19,6.5275
2016-10-20,6.545
2016-10-21,6.595
2016-10-24,6.535
2016-10-25,6.475
2016-10-26,6.4525
2016-10-27,6.445
2016-10-28,6.44
2016-10-31,6.615
2016-11-01,6.3925
2016-11-02,6.355
2016-11-03,6.27
2016-11-04,6.34
2016-11-07,6.2725
2016-11-08,6.28
2016-11-09,6.365
2016-11-10,6.36
2016-11-11,6.4425
2016-11-14,6.4425
2016-11-15,6.4375
2016-11-16,6.4375
2016-11-17,6.52
2016-11-18,6.7125
2016-11-21,6.6975
2016-11-22,6.7125
