Date,Value
2016-01-01,1.05
2016-01-04,1.02
2016-01-05,1.045
2016-01-06,1.02
2016-01-07,1.025
2016-01-08,1.05
2016-01-11,1.0
2016-01-12,1.015
2016-01-13,1.01
2016-01-14,1.0
2016-01-15,1.0175
2016-01-18,1.005
2016-01-19,0.985
2016-01-20,0.985
2016-01-21,0.96
2016-01-22,0.99
2016-01-25,1.01
2016-01-26,1.015
2016-01-27,1.0
2016-01-28,1.015
2016-01-29,1.01
2016-02-01,1.0
2016-02-02,1.01
2016-02-03,1.18
2016-02-04,1.295
2016-02-05,1.295
2016-02-08,1.305
2016-02-09,1.31
2016-02-10,1.3
2016-02-11,1.385
2016-02-12,1.335
2016-02-15,1.355
2016-02-16,1.33
2016-02-17,1.315
2016-02-18,1.3225
2016-02-19,1.28
2016-02-22,1.325
2016-02-23,1.33
2016-02-24,1.35
2016-02-25,1.345
2016-02-26,1.3125
2016-02-29,1.3125
2016-03-01,1.2775
2016-03-02,1.2775
2016-03-03,1.3075
2016-03-04,1.26
2016-03-07,1.3125
2016-03-08,1.29
2016-03-09,1.2725
2016-03-10,1.2775
2016-03-11,1.2625
2016-03-14,1.2725
2016-03-15,1.23
2016-03-16,1.225
2016-03-17,1.185
2016-03-18,1.2275
2016-03-21,1.225
2016-03-22,1.2125
2016-03-23,1.195
2016-03-24,1.21
2016-03-25,1.1775
2016-03-28,1.195
2016-03-29,1.185
2016-03-30,1.1975
2016-03-31,1.2075
2016-04-01,1.2025
2016-04-04,1.165
2016-04-05,1.205
2016-04-06,1.21
2016-04-07,1.19
2016-04-08,1.1775
2016-04-11,1.1925
2016-04-12,1.205
2016-04-13,1.18
2016-04-14,1.1875
2016-04-15,1.1775
2016-04-18,1.1925
2016-04-19,1.1925
2016-04-20,1.2125
2016-04-21,1.2125
2016-04-22,1.16
2016-04-25,1.1825
2016-04-26,1.1775
2016-04-27,1.17
2016-04-28,1.1775
2016-04-29,1.13
2016-05-02,1.13
2016-05-03,1.15
2016-05-04,1.1675
2016-05-05,1.1875
2016-05-06,1.165
2016-05-09,1.1625
2016-05-10,1.1825
2016-05-11,1.03
2016-05-12,1.2325
2016-05-13,1.21
2016-05-16,1.2125
2016-05-17,1.2175
2016-05-18,1.295
2016-05-19,1.295
2016-05-20,1.29
2016-05-23,1.28
2016-05-24,1.295
2016-05-25,1.305
2016-05-26,1.29
2016-05-27,1.2975
2016-05-30,1.3
2016-05-31,1.295
2016-06-01,1.29
2016-06-02,1.3
2016-06-03,1.3
2016-06-06,1.26
2016-06-07,1.305
2016-06-08,1.2925
2016-06-09,1.29
2016-06-10,1.29
2016-06-13,1.29
2016-06-14,1.29
2016-06-15,1.2875
2016-06-16,1.285
2016-06-17,1.2875
2016-06-20,1.28
2016-06-21,1.285
2016-06-22,1.28
2016-06-23,1.285
2016-06-24,1.325
2016-06-27,1.29
2016-06-28,1.28
2016-06-29,1.34
2016-06-30,1.275
2016-07-01,1.28
2016-07-04,1.2625
2016-07-05,1.255
2016-07-06,1.26
2016-07-07,1.095
2016-07-08,1.08
2016-07-11,1.075
2016-07-12,1.115
2016-07-13,1.13
2016-07-14,1.11
2016-07-15,1.08
2016-07-18,1.0725
2016-07-19,1.135
2016-07-20,1.145
2016-07-21,1.11
2016-07-22,1.11
2016-07-25,1.1
2016-07-26,1.1425
2016-07-27,1.125
2016-07-28,1.115
2016-07-29,1.06
2016-08-01,1.05
2016-08-02,1.035
2016-08-03,0.975
2016-08-04,1.0675
2016-08-05,1.0825
2016-08-08,0.9825
2016-08-09,0.98
2016-08-10,0.9825
2016-08-11,0.9825
2016-08-12,1.01
2016-08-15,0.8225
2016-08-16,0.8225
2016-08-17,0.8225
2016-08-18,0.8225
2016-08-19,0.8225
2016-08-22,1.1175
2016-08-23,1.08
2016-08-24,1.005
2016-08-25,0.99
2016-08-26,1.04
2016-08-29,1.055
2016-08-30,1.07
2016-08-31,1.01
2016-09-01,1.0175
2016-09-02,0.9525
2016-09-05,0.985
2016-09-06,0.985
2016-09-07,1.06
2016-09-08,0.815
2016-09-09,0.9775
2016-09-12,0.82
2016-09-13,0.84
2016-09-14,1.0025
2016-09-15,1.0275
2016-09-16,1.0075
2016-09-19,1.025
2016-09-20,0.945
2016-09-21,0.945
2016-09-22,0.945
2016-09-23,0.98
2016-09-26,0.95
2016-09-27,0.82
2016-09-28,0.815
2016-09-29,0.815
2016-09-30,0.815
2016-10-03,0.82
2016-10-04,1.0
2016-10-05,0.9925
2016-10-06,1.07
2016-10-07,1.0525
2016-10-10,1.06
2016-10-11,1.0325
2016-10-12,1.05
2016-10-13,1.015
2016-10-14,1.04
2016-10-17,1.07
2016-10-18,0.9925
2016-10-19,0.97
2016-10-20,0.9775
2016-10-21,0.9925
2016-10-24,1.035
2016-10-25,0.96
2016-10-26,0.95
2016-10-27,0.945
2016-10-28,0.935
2016-10-31,0.945
2016-11-01,0.91
2016-11-02,1.085
2016-11-03,1.0125
2016-11-04,1.09
2016-11-07,1.03
2016-11-08,1.015
2016-11-09,1.2575
2016-11-10,1.0475
2016-11-11,1.245
2016-11-14,1.185
2016-11-15,0.9725
2016-11-16,1.035
2016-11-17,1.02
2016-11-18,1.035
2016-11-21,0.965
2016-11-22,0.96
2016-11-23,0.8175
2016-11-24,0.815
2016-11-25,0.815
2016-11-28,0.8175
2016-11-29,0.8975
2016-11-30,0.8925
2016-12-01,0.89
2016-12-02,0.89
2016-12-05,1.105
2016-12-06,0.84
2016-12-07,0.9275
2016-12-08,0.9325
2016-12-09,0.935
