Date,Value
2016-01-01,3.19
2016-01-04,3.28
2016-01-05,3.265
2016-01-06,3.375
2016-01-07,3.355
2016-01-08,3.7325
2016-01-11,3.795
2016-01-12,3.77
2016-01-13,3.78
2016-01-14,3.9075
2016-01-15,4.01
2016-01-18,4.05
2016-01-19,4.095
2016-01-20,4.27
2016-01-21,4.3
2016-01-22,4.5425
2016-01-25,4.41
2016-01-26,4.385
2016-01-27,4.49
2016-01-28,4.605
2016-01-29,4.765
2016-02-01,4.8
2016-02-02,4.8
2016-02-03,5.855
2016-02-04,6.06
2016-02-05,5.835
2016-02-08,5.81
2016-02-09,5.825
2016-02-10,5.82
2016-02-11,5.675
2016-02-12,5.71
2016-02-15,5.57
2016-02-16,5.53
2016-02-17,5.5375
2016-02-18,5.4375
2016-02-19,5.46
2016-02-22,5.405
2016-02-23,5.35
2016-02-24,5.1575
2016-02-25,5.165
2016-02-26,5.0225
2016-02-29,5.1175
2016-03-01,5.145
2016-03-02,5.0075
2016-03-03,4.9725
2016-03-04,4.8725
2016-03-07,4.8175
2016-03-08,4.8125
2016-03-09,4.8725
2016-03-10,4.645
2016-03-11,4.6575
2016-03-14,4.7125
2016-03-15,4.55
2016-03-16,4.445
2016-03-17,4.255
2016-03-18,3.985
2016-03-21,3.9775
2016-03-22,4.1075
2016-03-23,4.38
2016-03-24,4.665
2016-03-25,4.5675
2016-03-28,4.59
2016-03-29,4.5175
2016-03-30,4.5075
2016-03-31,4.49
2016-04-01,4.44
2016-04-04,4.45
2016-04-05,4.495
2016-04-06,4.515
2016-04-07,4.6075
2016-04-08,4.525
2016-04-11,4.5325
2016-04-12,4.56
2016-04-13,4.545
2016-04-14,4.5375
2016-04-15,4.525
2016-04-18,4.545
2016-04-19,4.475
2016-04-20,4.455
2016-04-21,4.445
2016-04-22,4.415
2016-04-25,4.3525
2016-04-26,4.35
2016-04-27,4.345
2016-04-28,4.3075
2016-04-29,4.185
2016-05-02,4.13
2016-05-03,4.15
2016-05-04,4.1475
2016-05-05,4.32
2016-05-06,4.315
2016-05-09,4.3175
2016-05-10,4.35
2016-05-11,4.4975
2016-05-12,4.3275
2016-05-13,4.405
2016-05-16,4.375
2016-05-17,4.345
2016-05-18,4.3
2016-05-19,4.3025
2016-05-20,4.2925
2016-05-23,4.2825
2016-05-24,4.295
2016-05-25,4.26
2016-05-26,4.235
2016-05-27,4.145
2016-05-30,4.165
2016-05-31,4.125
2016-06-01,4.115
2016-06-02,3.935
2016-06-03,3.945
2016-06-06,3.8775
2016-06-07,4.1075
