Date,Value
2016-01-01,1.2675
2016-01-04,1.28
2016-01-05,1.2775
2016-01-06,1.3375
2016-01-07,1.3325
2016-01-08,1.665
2016-01-11,1.66
2016-01-12,1.6525
2016-01-13,1.63
2016-01-14,1.705
2016-01-15,1.775
2016-01-18,1.7775
2016-01-19,1.81
2016-01-20,2.0
2016-01-21,1.9275
2016-01-22,2.12
2016-01-25,2.045
2016-01-26,2.035
2016-01-27,2.06
2016-01-28,2.14
2016-01-29,2.205
2016-02-01,2.2275
2016-02-02,2.25
2016-02-03,2.75
2016-02-04,2.86
2016-02-05,2.7475
2016-02-08,2.7425
2016-02-09,2.7425
2016-02-10,2.7575
2016-02-11,2.6325
2016-02-12,2.6225
2016-02-15,2.4
2016-02-16,2.365
2016-02-17,2.345
2016-02-18,2.2775
2016-02-19,2.285
2016-02-22,2.305
2016-02-23,2.275
2016-02-24,2.2075
2016-02-25,2.2175
2016-02-26,2.1525
2016-02-29,2.135
2016-03-01,2.1675
2016-03-02,2.095
2016-03-03,2.0875
2016-03-04,2.0075
2016-03-07,1.9925
2016-03-08,1.98
2016-03-09,2.0325
2016-03-10,1.9925
2016-03-11,2.015
2016-03-14,1.9825
2016-03-15,1.9275
2016-03-16,1.9325
2016-03-17,1.7975
2016-03-18,1.7275
2016-03-21,1.7275
2016-03-22,1.75
2016-03-23,1.855
2016-03-24,2.0075
2016-03-25,1.9825
2016-03-28,2.0175
2016-03-29,1.9925
2016-03-30,1.9975
2016-03-31,1.9875
2016-04-01,1.9725
2016-04-04,1.985
2016-04-05,2.005
2016-04-06,2.0475
2016-04-07,2.1175
2016-04-08,2.095
2016-04-11,2.085
2016-04-12,2.0475
2016-04-13,2.075
2016-04-14,2.0525
2016-04-15,2.06
2016-04-18,2.075
2016-04-19,2.0475
2016-04-20,2.065
2016-04-21,2.065
2016-04-22,2.055
2016-04-25,2.01
2016-04-26,2.005
2016-04-27,2.0125
2016-04-28,1.9925
2016-04-29,1.8875
2016-05-02,1.86
2016-05-03,1.8775
2016-05-04,1.8875
2016-05-05,1.995
2016-05-06,1.9925
2016-05-09,2.0075
2016-05-10,2.0225
2016-05-11,2.0375
2016-05-12,2.03
2016-05-13,2.0675
2016-05-16,2.0
2016-05-17,2.0475
2016-05-18,2.04
2016-05-19,2.04
2016-05-20,2.0375
2016-05-23,2.03
2016-05-24,2.04
2016-05-25,1.995
2016-05-26,1.94
2016-05-27,1.885
2016-05-30,1.895
2016-05-31,1.875
2016-06-01,1.87
2016-06-02,1.775
2016-06-03,1.775
2016-06-06,1.7425
2016-06-07,1.8625
2016-06-08,1.6425
2016-06-09,1.6325
2016-06-10,1.6125
2016-06-13,1.7025
2016-06-14,1.7225
2016-06-15,1.7225
2016-06-16,1.7175
2016-06-17,1.7175
2016-06-20,1.715
2016-06-21,1.72
2016-06-22,1.745
2016-06-23,1.745
2016-06-24,1.765
2016-06-27,2.0625
2016-06-28,2.075
2016-06-29,2.005
2016-06-30,1.8175
2016-07-01,1.805
2016-07-04,1.83
2016-07-05,1.86
2016-07-06,1.865
2016-07-07,1.765
2016-07-08,1.7675
2016-07-11,1.715
2016-07-12,1.72
2016-07-13,1.67
2016-07-14,1.62
2016-07-15,1.55
2016-07-18,1.545
2016-07-19,1.575
2016-07-20,1.58
2016-07-21,1.5625
2016-07-22,1.565
2016-07-25,1.56
2016-07-26,1.58
2016-07-27,1.515
2016-07-28,1.475
2016-07-29,1.33
2016-08-01,1.325
2016-08-02,1.33
2016-08-03,1.3425
2016-08-04,1.3275
2016-08-05,1.3375
2016-08-08,1.2475
2016-08-09,1.2425
2016-08-10,1.2475
2016-08-11,1.2225
2016-08-12,1.2275
2016-08-15,1.2225
2016-08-16,1.22
2016-08-17,1.22
2016-08-18,1.2225
2016-08-19,1.2225
2016-08-22,1.3475
2016-08-23,1.3375
2016-08-24,1.3225
2016-08-25,1.33
2016-08-26,1.295
2016-08-29,1.3
2016-08-30,1.295
2016-08-31,1.275
2016-09-01,1.2625
2016-09-02,1.2675
2016-09-05,1.28
2016-09-06,1.27
2016-09-07,1.265
2016-09-08,1.2725
2016-09-09,1.2675
2016-09-12,1.295
2016-09-13,1.2825
2016-09-14,1.2975
2016-09-15,1.29
2016-09-16,1.29
2016-09-19,1.325
2016-09-20,1.335
2016-09-21,1.265
2016-09-22,1.265
2016-09-23,1.265
2016-09-26,1.28
2016-09-27,1.295
2016-09-28,1.2925
2016-09-29,1.295
2016-09-30,1.2925
2016-10-03,1.295
2016-10-04,1.275
2016-10-05,1.275
2016-10-06,1.27
2016-10-07,1.3125
2016-10-10,1.3125
2016-10-11,1.32
2016-10-12,1.315
2016-10-13,1.33
2016-10-14,1.32
2016-10-17,1.31
2016-10-18,1.335
2016-10-19,1.34
2016-10-20,1.3375
2016-10-21,1.3375
2016-10-24,1.32
2016-10-25,1.345
2016-10-26,1.35
2016-10-27,1.35
2016-10-28,1.355
2016-10-31,1.35
2016-11-01,1.36
2016-11-02,1.305
2016-11-03,1.33
2016-11-04,1.3225
2016-11-07,1.33
2016-11-08,1.32
2016-11-09,1.2575
2016-11-10,1.355
2016-11-11,1.425
2016-11-14,1.45
2016-11-15,1.575
2016-11-16,1.55
2016-11-17,1.5575
2016-11-18,1.5525
2016-11-21,1.58
2016-11-22,1.545
2016-11-23,1.5925
2016-11-24,1.59
2016-11-25,1.5925
2016-11-28,1.5925
2016-11-29,1.3875
2016-11-30,1.3825
2016-12-01,1.3825
2016-12-02,1.3975
2016-12-05,1.3975
2016-12-06,1.2925
2016-12-07,1.1925
2016-12-08,1.14
2016-12-09,1.135
2016-12-12,1.245
2016-12-13,1.405
2016-12-14,1.385
