Date,Value
2016-01-01,6.9625
2016-01-04,7.435
2016-01-05,7.415
2016-01-06,7.765
2016-01-07,7.805
2016-01-08,7.99
2016-01-11,7.87
2016-01-12,7.88
2016-01-13,7.755
2016-01-14,8.0
2016-01-15,8.535
2016-01-18,8.395
2016-01-19,8.22
2016-01-20,8.16
2016-01-21,8.04
2016-01-22,8.06
2016-01-25,7.8675
2016-01-26,7.85
2016-01-27,7.87
2016-01-28,7.8475
2016-01-29,8.185
2016-02-01,8.255
2016-02-02,8.285
2016-02-03,8.51
2016-02-04,8.78
2016-02-05,8.92
2016-02-08,9.1125
2016-02-09,9.2275
2016-02-10,9.2525
2016-02-11,9.35
2016-02-12,9.725
2016-02-15,9.4
2016-02-16,9.07
2016-02-17,9.15
2016-02-18,8.8475
2016-02-19,8.855
2016-02-22,8.72
2016-02-23,8.635
2016-02-24,8.305
2016-02-25,8.05
2016-02-26,7.8875
2016-02-29,7.8825
2016-03-01,7.56
2016-03-02,7.42
2016-03-03,7.43
2016-03-04,7.485
2016-03-07,7.65
2016-03-08,7.45
2016-03-09,7.745
2016-03-10,7.54
2016-03-11,7.605
2016-03-14,7.52
2016-03-15,7.37
2016-03-16,7.45
2016-03-17,7.0775
2016-03-18,6.79
2016-03-21,6.795
2016-03-22,6.8775
2016-03-23,7.045
2016-03-24,7.21
2016-03-25,7.095
2016-03-28,7.1
2016-03-29,6.845
2016-03-30,6.67
2016-03-31,6.635
2016-04-01,6.6
2016-04-04,6.5575
2016-04-05,6.69
2016-04-06,6.8275
2016-04-07,6.73
2016-04-08,6.73
2016-04-11,6.66
2016-04-12,6.365
2016-04-13,6.32
2016-04-14,6.415
2016-04-15,6.225
2016-04-18,6.26
2016-04-19,6.21
2016-04-20,6.115
2016-04-21,6.11
2016-04-22,6.1
2016-04-25,6.36
2016-04-26,6.3
2016-04-27,6.12
2016-04-28,6.125
2016-04-29,5.975
2016-05-02,5.99
2016-05-03,5.9
2016-05-04,6.2
2016-05-05,6.39
2016-05-06,6.34
2016-05-09,6.3625
2016-05-10,6.36
2016-05-11,6.28
2016-05-12,6.2425
2016-05-13,6.2175
2016-05-16,6.2625
2016-05-17,6.11
2016-05-18,6.3475
2016-05-19,6.305
2016-05-20,6.0
2016-05-23,5.9675
2016-05-24,5.935
2016-05-25,5.9825
2016-05-26,5.85
2016-05-27,5.8275
2016-05-30,6.08
2016-05-31,6.0
2016-06-01,5.9825
2016-06-02,5.7775
2016-06-03,5.4975
2016-06-06,5.335
2016-06-07,5.2825
2016-06-08,5.2175
2016-06-09,5.3275
2016-06-10,5.53
2016-06-13,5.82
2016-06-14,6.085
2016-06-15,6.1175
2016-06-16,5.9675
2016-06-17,5.9775
2016-06-20,5.7175
2016-06-21,5.52
2016-06-22,5.65
2016-06-23,5.6225
2016-06-24,6.565
2016-06-27,7.0025
2016-06-28,6.725
2016-06-29,6.0175
2016-06-30,5.965
2016-07-01,5.6675
2016-07-04,5.7175
2016-07-05,5.7
2016-07-06,6.0775
2016-07-07,5.9675
2016-07-08,6.0175
2016-07-11,5.86
2016-07-12,5.83
2016-07-13,5.7975
2016-07-14,5.78
2016-07-15,5.66
2016-07-18,5.81
2016-07-19,5.865
2016-07-20,5.86
2016-07-21,5.92
2016-07-22,5.8175
2016-07-25,5.91
2016-07-26,5.86
2016-07-27,5.7175
2016-07-28,5.715
2016-07-29,5.51
2016-08-01,5.6975
2016-08-02,5.7
2016-08-03,5.765
2016-08-04,5.735
2016-08-05,5.73
2016-08-08,5.905
2016-08-09,6.045
2016-08-10,6.365
2016-08-11,6.735
2016-08-12,6.68
2016-08-15,6.5125
2016-08-16,6.57
2016-08-17,6.735
2016-08-18,6.765
2016-08-19,6.965
2016-08-22,6.9275
2016-08-23,6.985
2016-08-24,6.97
2016-08-25,6.915
2016-08-26,6.835
2016-08-29,6.86
2016-08-30,6.8
2016-08-31,6.5925
2016-09-01,6.52
2016-09-02,6.315
2016-09-05,6.295
2016-09-06,6.285
2016-09-07,6.27
2016-09-08,6.245
2016-09-09,6.5
2016-09-12,6.66
2016-09-13,6.82
2016-09-14,6.97
2016-09-15,7.25
2016-09-16,7.045
2016-09-19,7.16
2016-09-20,7.12
2016-09-21,7.2
2016-09-22,7.195
2016-09-23,7.235
2016-09-26,7.335
2016-09-27,7.235
2016-09-28,7.25
2016-09-29,7.3175
2016-09-30,7.485
2016-10-03,7.2
2016-10-04,7.095
2016-10-05,7.1275
2016-10-06,7.1
2016-10-07,7.07
2016-10-10,6.965
2016-10-11,7.095
2016-10-12,7.0425
2016-10-13,7.18
2016-10-14,6.7325
2016-10-17,6.8275
2016-10-18,6.435
2016-10-19,6.43
2016-10-20,6.4675
2016-10-21,6.5425
2016-10-24,6.46
2016-10-25,6.4025
2016-10-26,6.4
2016-10-27,6.5625
2016-10-28,6.6275
2016-10-31,6.7
2016-11-01,6.5325
2016-11-02,6.6325
2016-11-03,6.7525
2016-11-04,6.61
2016-11-07,6.45
2016-11-08,6.34
2016-11-09,7.27
2016-11-10,7.25
2016-11-11,7.44
2016-11-14,7.855
2016-11-15,7.43
2016-11-16,7.425
2016-11-17,7.5225
2016-11-18,7.87
2016-11-21,7.77
2016-11-22,7.7
2016-11-23,7.685
2016-11-24,7.78
2016-11-25,7.8
2016-11-28,7.76
2016-11-29,7.735
2016-11-30,7.68
2016-12-01,7.5075
2016-12-02,7.515
2016-12-05,7.97
2016-12-06,7.785
2016-12-07,7.5975
2016-12-08,7.5525
2016-12-09,7.6275
2016-12-12,7.825
2016-12-13,7.65
2016-12-14,7.4875
2016-12-15,7.785
2016-12-16,7.7975
2016-12-19,7.835
2016-12-20,7.75
2016-12-21,7.7325
2016-12-22,7.915
2016-12-23,7.9825
2016-12-26,8.095
2016-12-27,8.09
2016-12-28,8.1275
2016-12-29,8.155
2016-12-30,8.22
2017-01-02,8.27
2017-01-03,7.95
2017-01-04,7.835
2017-01-05,7.745
2017-01-06,7.76
2017-01-09,7.9275
2017-01-10,7.765
2017-01-11,7.5
2017-01-12,7.585
2017-01-13,7.545
2017-01-16,7.5275
2017-01-17,7.4
2017-01-18,7.335
2017-01-19,7.45
2017-01-20,7.45
2017-01-23,7.3
2017-01-24,7.245
2017-01-25,7.075
2017-01-26,7.07
2017-01-27,7.3475
2017-01-30,7.42
2017-01-31,7.46
2017-02-01,7.3625
2017-02-02,7.35
2017-02-03,7.3825
2017-02-06,7.475
2017-02-07,7.3175
2017-02-08,7.3675
2017-02-09,7.3175
2017-02-10,7.3875
2017-02-13,7.25
2017-02-14,7.3175
2017-02-15,7.0825
2017-02-16,7.085
2017-02-17,6.9025
2017-02-20,7.0025
2017-02-21,7.0175
2017-02-22,7.0
2017-02-23,6.9025
2017-02-24,6.815
2017-02-27,6.86
2017-02-28,6.75
2017-03-01,6.965
2017-03-02,6.765
2017-03-03,7.085
2017-03-06,7.02
2017-03-07,6.715
2017-03-08,6.8475
2017-03-09,7.1125
2017-03-10,6.8975
2017-03-13,6.8175
2017-03-14,6.8175
2017-03-15,6.6975
2017-03-16,6.2025
2017-03-17,5.8925
2017-03-20,5.935
2017-03-21,5.8775
2017-03-22,6.17
2017-03-23,6.265
2017-03-24,6.13
2017-03-27,6.1225
2017-03-28,6.1
2017-03-29,6.0975
2017-03-30,6.1325
2017-03-31,6.1675
2017-04-03,6.05
2017-04-04,6.15
2017-04-05,6.1825
2017-04-06,6.365
2017-04-07,6.565
2017-04-10,6.6175
2017-04-11,6.57
2017-04-12,6.57
2017-04-13,6.5025
2017-04-14,6.5175
2017-04-17,6.5975
2017-04-18,6.6825
2017-04-19,6.5825
2017-04-20,6.44
2017-04-21,6.41
2017-04-24,6.065
2017-04-25,5.8275
2017-04-26,5.7675
2017-04-27,5.8475
2017-04-28,5.87
2017-05-01,5.9425
2017-05-02,5.81
2017-05-03,5.81
2017-05-04,5.8
2017-05-05,5.85
2017-05-08,5.7675
2017-05-09,5.91
2017-05-10,5.8675
2017-05-11,5.765
2017-05-12,5.58
2017-05-15,5.515
2017-05-16,5.4325
2017-05-17,5.635
2017-05-18,6.01
2017-05-19,6.2
2017-05-22,5.9175
2017-05-23,5.8825
2017-05-24,5.935
2017-05-25,5.865
2017-05-26,5.8475
2017-05-29,5.8475
2017-05-30,5.86
2017-05-31,5.8
2017-06-01,5.69
2017-06-02,5.46
2017-06-05,5.335
2017-06-06,5.35
2017-06-07,5.335
2017-06-08,5.335
2017-06-09,5.085
2017-06-12,5.25
2017-06-13,5.2975
2017-06-14,5.3
2017-06-15,5.385
2017-06-16,5.425
2017-06-19,5.4
2017-06-20,5.235
2017-06-21,5.465
2017-06-22,5.36
2017-06-23,5.235
2017-06-26,5.1725
2017-06-27,5.135
2017-06-28,5.345
2017-06-29,5.375
2017-06-30,5.4325
2017-07-03,5.4675
2017-07-04,5.65
2017-07-05,5.71
2017-07-06,5.835
2017-07-07,5.7525
2017-07-10,5.485
2017-07-11,5.35
2017-07-12,5.3675
2017-07-13,5.3225
2017-07-14,5.235
2017-07-17,5.2675
2017-07-18,5.2825
2017-07-19,5.2925
2017-07-20,5.2325
2017-07-21,5.1675
2017-07-24,5.2
2017-07-25,5.1825
2017-07-26,5.235
2017-07-27,5.315
2017-07-28,5.2825
2017-07-31,5.33
2017-08-01,5.3175
2017-08-02,5.3275
2017-08-03,5.36
2017-08-04,5.2775
2017-08-07,5.3175
2017-08-08,5.285
2017-08-09,5.485
2017-08-10,5.78
2017-08-11,5.87
2017-08-14,5.7475
2017-08-15,5.57
2017-08-16,5.545
2017-08-17,5.4375
2017-08-18,5.35
2017-08-21,5.3675
2017-08-22,5.3525
2017-08-23,5.2525
2017-08-24,5.1675
2017-08-25,5.0175
2017-08-28,5.035
2017-08-29,5.0975
2017-08-30,5.035
2017-08-31,5.07
2017-09-01,5.0225
2017-09-04,4.9725
2017-09-05,4.9975
2017-09-06,5.1525
2017-09-07,5.0825
2017-09-08,5.265
2017-09-11,5.11
2017-09-12,5.11
2017-09-13,5.1775
2017-09-14,5.31
2017-09-15,5.1325
2017-09-18,5.0
2017-09-19,4.96
2017-09-20,4.9775
2017-09-21,4.9825
2017-09-22,5.1475
2017-09-25,5.11
2017-09-26,5.235
2017-09-27,5.215
2017-09-28,5.285
2017-09-29,5.17
2017-10-02,5.1675
2017-10-03,5.185
2017-10-04,5.0525
2017-10-05,5.0025
2017-10-06,5.0025
2017-10-09,5.015
2017-10-10,4.985
2017-10-11,5.0025
2017-10-12,4.885
2017-10-13,4.8025
2017-10-16,4.8
2017-10-17,4.7675
2017-10-18,4.7525
2017-10-19,4.7175
2017-10-20,4.6025
2017-10-23,4.62
2017-10-24,4.485
2017-10-25,4.4675
2017-10-26,4.415
2017-10-27,4.4825
2017-10-30,4.485
2017-10-31,4.3325
2017-11-01,4.36
2017-11-02,4.4325
2017-11-03,4.35
2017-11-06,4.3175
2017-11-07,4.3175
2017-11-08,4.115
2017-11-09,4.0175
2017-11-10,3.985
2017-11-13,3.9525
2017-11-14,3.7525
2017-11-15,3.7425
2017-11-16,3.7375
2017-11-17,3.6525
2017-11-20,3.6825
2017-11-21,3.5525
2017-11-22,3.7175
2017-11-23,3.8175
2017-11-24,3.8325
2017-11-27,3.7825
2017-11-28,3.7825
2017-11-29,3.7825
2017-11-30,3.9
2017-12-01,3.8625
2017-12-04,3.8675
2017-12-05,3.86
2017-12-06,4.0625
2017-12-07,4.0675
2017-12-08,4.0475
2017-12-11,3.92
2017-12-12,3.8825
2017-12-13,3.915
2017-12-14,3.945
2017-12-15,4.0
2017-12-18,4.035
2017-12-19,3.9675
2017-12-20,4.0275
2017-12-21,4.21
2017-12-22,4.225
2017-12-25,4.27
2017-12-26,4.2575
2017-12-27,4.27
2017-12-28,4.38
2017-12-29,4.635
2018-01-01,4.635
2018-01-02,4.57
2018-01-03,4.6025
2018-01-04,4.5875
2018-01-05,4.5525
2018-01-08,4.4675
2018-01-09,4.65
2018-01-10,4.6
2018-01-11,4.535
2018-01-12,4.5175
2018-01-15,4.65
2018-01-16,4.6325
2018-01-17,4.7
2018-01-18,4.695
2018-01-19,4.9775
2018-01-22,5.18
2018-01-23,5.1975
2018-01-24,5.2
2018-01-25,5.375
2018-01-26,5.13
2018-01-29,5.0
2018-01-30,5.1825
2018-01-31,5.085
2018-02-01,5.01
2018-02-02,5.335
2018-02-05,5.45
2018-02-06,5.72
2018-02-07,5.5675
2018-02-08,6.045
2018-02-09,5.8675
2018-02-12,5.735
2018-02-13,5.6175
2018-02-14,5.7
2018-02-15,5.635
2018-02-16,5.645
2018-02-19,5.6675
2018-02-20,5.65
2018-02-21,5.5675
2018-02-22,5.625
2018-02-23,5.32
