Date,Value
2016-01-01,6.695
2016-01-04,7.625
2016-01-05,7.2425
2016-01-06,7.99
2016-01-07,7.8725
2016-01-08,7.815
2016-01-11,7.6775
2016-01-12,7.335
2016-01-13,6.6475
2016-01-14,7.265
2016-01-15,7.95
2016-01-18,7.515
2016-01-19,7.08
2016-01-20,6.87
2016-01-21,7.5425
2016-01-22,7.4375
2016-01-25,6.905
2016-01-26,7.04
2016-01-27,6.935
2016-01-28,6.8975
2016-01-29,7.5
2016-02-01,7.575
2016-02-02,7.43
2016-02-03,7.82
2016-02-04,8.3975
2016-02-05,8.125
2016-02-08,8.39
2016-02-09,8.615
2016-02-10,8.655
2016-02-11,9.8175
2016-02-12,10.2275
2016-02-15,9.175
2016-02-16,8.52
2016-02-17,8.5125
2016-02-18,7.935
2016-02-19,8.11
2016-02-22,7.55
2016-02-23,7.58
2016-02-24,7.1
2016-02-25,6.6775
2016-02-26,6.37
2016-02-29,6.5975
2016-03-01,6.355
2016-03-02,6.165
2016-03-03,6.825
2016-03-04,7.78
2016-03-07,7.755
2016-03-08,7.45
2016-03-09,7.635
2016-03-10,8.6
2016-03-11,8.82
2016-03-14,8.565
2016-03-15,7.5925
2016-03-16,7.075
2016-03-17,7.0
2016-03-18,6.87
2016-03-21,6.535
2016-03-22,6.605
2016-03-23,6.7025
2016-03-24,6.89
2016-03-25,7.455
2016-03-28,7.0275
2016-03-29,6.18
2016-03-30,6.045
2016-03-31,6.2675
2016-04-01,5.89
2016-04-04,5.985
2016-04-05,6.1825
2016-04-06,6.0725
2016-04-07,6.0175
2016-04-08,5.7825
2016-04-11,5.6375
2016-04-12,5.175
2016-04-13,4.925
2016-04-14,4.9775
2016-04-15,4.8
2016-04-18,4.645
2016-04-19,4.975
2016-04-20,4.8975
2016-04-21,5.235
2016-04-22,5.715
2016-04-25,5.915
2016-04-26,5.7975
2016-04-27,5.5775
2016-04-28,5.295
2016-04-29,5.255
2016-05-02,5.15
2016-05-03,4.92
2016-05-04,5.16
2016-05-05,5.62
2016-05-06,5.48
2016-05-09,5.485
2016-05-10,5.335
2016-05-11,5.2975
2016-05-12,4.73
2016-05-13,5.0175
2016-05-16,4.71
2016-05-17,4.66
2016-05-18,4.8
2016-05-19,4.9225
2016-05-20,4.685
2016-05-23,4.5025
2016-05-24,4.5225
2016-05-25,4.4975
2016-05-26,3.85
2016-05-27,4.2475
2016-05-30,5.055
2016-05-31,5.1075
2016-06-01,4.9625
2016-06-02,4.9775
2016-06-03,4.8075
2016-06-06,4.625
2016-06-07,4.835
2016-06-08,4.4775
2016-06-09,4.9025
2016-06-10,5.2825
2016-06-13,5.62
2016-06-14,5.685
2016-06-15,6.235
2016-06-16,5.685
2016-06-17,7.0375
2016-06-20,7.09
2016-06-21,6.6
2016-06-22,6.6375
2016-06-23,6.9075
2016-06-24,7.16
2016-06-27,6.905
2016-06-28,6.615
2016-06-29,6.305
2016-06-30,5.5575
2016-07-01,5.4225
2016-07-04,5.44
2016-07-05,5.4225
2016-07-06,5.575
2016-07-07,5.535
2016-07-08,5.8525
2016-07-11,5.31
2016-07-12,5.1275
2016-07-13,5.0525
2016-07-14,5.09
2016-07-15,5.1475
2016-07-18,4.96
2016-07-19,4.88
2016-07-20,4.95
2016-07-21,5.3275
2016-07-22,5.6275
2016-07-25,5.365
2016-07-26,5.62
2016-07-27,5.4775
2016-07-28,5.045
2016-07-29,5.07
2016-08-01,5.145
2016-08-02,5.245
2016-08-03,5.395
2016-08-04,5.2875
2016-08-05,6.095
2016-08-08,5.63
2016-08-09,5.495
2016-08-10,5.71
2016-08-11,6.74
2016-08-12,6.78
2016-08-15,6.2225
2016-08-16,6.1925
2016-08-17,6.64
2016-08-18,6.755
2016-08-19,6.975
2016-08-22,6.58
2016-08-23,6.725
2016-08-24,7.1775
2016-08-25,7.4175
2016-08-26,6.275
2016-08-29,6.79
2016-08-30,6.645
2016-08-31,6.2975
2016-09-01,6.18
2016-09-02,6.3525
2016-09-05,5.5375
2016-09-06,5.5825
2016-09-07,6.125
2016-09-08,6.875
2016-09-09,5.93
2016-09-12,6.955
2016-09-13,7.0025
2016-09-14,6.6575
2016-09-15,6.4025
2016-09-16,5.725
2016-09-19,7.1025
2016-09-20,7.5975
2016-09-21,7.3625
2016-09-22,6.0875
2016-09-23,6.695
2016-09-26,6.6625
2016-09-27,7.0075
2016-09-28,6.69
2016-09-29,6.835
2016-09-30,7.33
2016-10-03,7.9625
2016-10-04,6.08
2016-10-05,6.01
2016-10-06,5.9575
2016-10-07,6.0125
2016-10-10,5.745
2016-10-11,6.3375
2016-10-12,6.06
2016-10-13,6.2025
2016-10-14,6.1475
2016-10-17,5.765
2016-10-18,5.8475
2016-10-19,5.82
2016-10-20,5.845
2016-10-21,4.87
2016-10-24,5.7025
2016-10-25,5.915
2016-10-26,5.9325
2016-10-27,6.115
2016-10-28,6.5925
2016-10-31,7.05
2016-11-01,7.0125
2016-11-02,7.1275
2016-11-03,7.48
2016-11-04,8.28
2016-11-07,7.6725
2016-11-08,7.6725
2016-11-09,6.665
2016-11-10,6.1925
2016-11-11,6.16
2016-11-14,7.89
2016-11-15,7.81
2016-11-16,7.1125
2016-11-17,7.4025
2016-11-18,8.025
2016-11-21,7.7025
2016-11-22,7.71
2016-11-23,7.9675
2016-11-24,8.085
2016-11-25,7.7525
2016-11-28,8.09
2016-11-29,7.6125
2016-11-30,7.6275
2016-12-01,7.29
2016-12-02,7.6225
2016-12-05,7.5925
2016-12-06,8.15
2016-12-07,7.735
2016-12-08,8.0725
2016-12-09,9.52
2016-12-12,8.22
2016-12-13,8.0
2016-12-14,7.925
2016-12-15,7.53
2016-12-16,7.0225
2016-12-19,6.8175
2016-12-20,6.8175
2016-12-21,6.0475
2016-12-22,5.86
2016-12-23,6.3575
2016-12-26,5.98
2016-12-27,6.4675
2016-12-28,6.76
2016-12-29,6.625
