Date,Value
2016-01-01,6.86
2016-01-04,7.155
2016-01-05,7.1075
2016-01-06,7.38
2016-01-07,7.5175
2016-01-08,7.795
2016-01-11,7.855
2016-01-12,7.91
2016-01-13,7.7925
2016-01-14,7.9175
2016-01-15,8.3175
2016-01-18,8.315
2016-01-19,8.2425
2016-01-20,8.225
2016-01-21,8.21
2016-01-22,8.165
2016-01-25,8.0575
2016-01-26,8.0475
2016-01-27,8.06
2016-01-28,8.0725
2016-01-29,8.2275
2016-02-01,8.29
2016-02-02,8.38
2016-02-03,8.6575
2016-02-04,8.71
2016-02-05,8.975
2016-02-08,8.99
2016-02-09,9.155
2016-02-10,9.205
2016-02-11,9.355
2016-02-12,9.83
2016-02-15,9.495
2016-02-16,9.2875
2016-02-17,9.24
2016-02-18,9.1075
2016-02-19,8.955
2016-02-22,8.8275
2016-02-23,8.835
2016-02-24,8.55
2016-02-25,8.435
2016-02-26,8.3275
2016-02-29,8.32
2016-03-01,8.0825
2016-03-02,7.9225
2016-03-03,7.8625
2016-03-04,7.9125
2016-03-07,7.975
2016-03-08,7.8975
2016-03-09,8.1225
2016-03-10,8.0575
2016-03-11,8.0425
2016-03-14,7.8575
2016-03-15,7.68
2016-03-16,7.705
2016-03-17,7.31
2016-03-18,7.08
2016-03-21,7.11
2016-03-22,7.185
2016-03-23,7.385
2016-03-24,7.53
2016-03-25,7.495
2016-03-28,7.5
2016-03-29,7.3225
2016-03-30,7.1775
2016-03-31,7.11
2016-04-01,6.9725
2016-04-04,6.92
2016-04-05,6.9825
2016-04-06,7.085
2016-04-07,7.065
2016-04-08,7.075
2016-04-11,7.06
2016-04-12,6.9475
2016-04-13,6.9675
2016-04-14,6.97
2016-04-15,6.93
2016-04-18,6.945
2016-04-19,6.945
2016-04-20,6.905
2016-04-21,6.8625
2016-04-22,6.83
2016-04-25,6.9825
2016-04-26,6.9725
2016-04-27,6.89
2016-04-28,6.83
2016-04-29,6.775
2016-05-02,6.79
2016-05-03,6.7575
2016-05-04,6.88
2016-05-05,6.9775
2016-05-06,6.995
2016-05-09,7.0175
2016-05-10,7.0425
2016-05-11,7.0425
2016-05-12,6.93
2016-05-13,6.99
2016-05-16,7.035
2016-05-17,6.9575
2016-05-18,6.9575
2016-05-19,7.0325
2016-05-20,7.0
2016-05-23,6.9575
2016-05-24,6.8825
2016-05-25,6.875
2016-05-26,6.8875
2016-05-27,6.8375
2016-05-30,6.8675
2016-05-31,6.895
2016-06-01,6.8975
2016-06-02,6.8875
2016-06-03,6.8025
2016-06-06,6.6925
2016-06-07,6.555
2016-06-08,6.3375
2016-06-09,6.3625
2016-06-10,6.3975
2016-06-13,6.4775
2016-06-14,6.6675
