Date,Value
2016-01-01,2.0912
2016-01-04,2.0598
2016-01-05,2.0454
2016-01-06,1.9757
2016-01-07,1.9398
2016-01-08,1.9014
2016-01-11,1.9419
2016-01-12,1.8726
2016-01-13,1.8653
2016-01-14,1.8581
2016-01-15,1.7958
2016-01-18,1.7958
2016-01-19,1.8195
2016-01-20,1.7387
2016-01-21,1.7741
2016-01-22,1.807
2016-01-25,1.7617
2016-01-26,1.7497
2016-01-27,1.7448
2016-01-28,1.7209
2016-01-29,1.6669
2016-02-01,1.7072
2016-02-02,1.5983
2016-02-03,1.6242
2016-02-04,1.5722
2016-02-05,1.5696
2016-02-08,1.4849
2016-02-09,1.4731
2016-02-10,1.4192
2016-02-11,1.4098
2016-02-12,1.503
2016-02-15,1.503
2016-02-16,1.5171
2016-02-17,1.5713
2016-02-18,1.4957
2016-02-19,1.5119
2016-02-22,1.5213
2016-02-23,1.4905
2016-02-24,1.5116
2016-02-25,1.4738
2016-02-26,1.535
2016-02-29,1.5165
2016-03-01,1.6281
2016-03-02,1.652
2016-03-03,1.6473
2016-03-04,1.6786
2016-03-07,1.7074
2016-03-08,1.6332
2016-03-09,1.6812
2016-03-10,1.751
2016-03-11,1.79
2016-03-14,1.7707
2016-03-15,1.783
2016-03-16,1.6937
2016-03-17,1.6841
2016-03-18,1.653
2016-03-21,1.6964
2016-03-22,1.7328
2016-03-23,1.6652
2016-03-24,1.6896
2016-03-25,1.6896
2016-03-28,1.6752
2016-03-29,1.5837
2016-03-30,1.5813
2016-03-31,1.5331
2016-04-01,1.5402
2016-04-04,1.526
2016-04-05,1.4905
2016-04-06,1.5142
2016-04-07,1.448
2016-04-08,1.4692
2016-04-11,1.4763
2016-04-12,1.5308
2016-04-13,1.5285
2016-04-14,1.5666
2016-04-15,1.5261
2016-04-18,1.5404
2016-04-19,1.5595
2016-04-20,1.6242
2016-04-21,1.641
2016-04-22,1.6677
2016-04-25,1.6919
2016-04-26,1.7089
2016-04-27,1.6245
2016-04-28,1.6005
2016-04-29,1.6155
2016-05-02,1.6511
2016-05-03,1.5705
2016-05-04,1.5492
2016-05-05,1.5161
2016-05-06,1.5443
2016-05-09,1.5089
2016-05-10,1.523
2016-05-11,1.5041
2016-05-12,1.5395
2016-05-13,1.4921
2016-05-16,1.5512
2016-05-17,1.5797
2016-05-18,1.6632
2016-05-19,1.6632
2016-05-20,1.6465
2016-05-23,1.6465
2016-05-24,1.6801
2016-05-25,1.6849
2016-05-26,1.6345
2016-05-27,1.6677
2016-05-30,1.6677
2016-05-31,1.663
