Date,Value
2016-01-01,0.9292
2016-01-04,0.9102
2016-01-05,0.8922
2016-01-06,0.8457
2016-01-07,0.8032
2016-01-08,0.7802
2016-01-11,0.7827
2016-01-12,0.7602
2016-01-13,0.7482
2016-01-14,0.7232
2016-01-15,0.6702
2016-01-18,0.6602
2016-01-19,0.6932
2016-01-20,0.6472
2016-01-21,0.6602
2016-01-22,0.6992
2016-01-25,0.6822
2016-01-26,0.6667
2016-01-27,0.6632
2016-01-28,0.6532
2016-01-29,0.6102
2016-02-01,0.6372
2016-02-02,0.5672
2016-02-03,0.5572
2016-02-04,0.5532
2016-02-05,0.5842
2016-02-08,0.5037
2016-02-09,0.4952
2016-02-10,0.4812
2016-02-11,0.4472
2016-02-12,0.5047
2016-02-15,0.5182
2016-02-16,0.5082
2016-02-17,0.5332
2016-02-18,0.5032
2016-02-19,0.5412
2016-02-22,0.5452
2016-02-23,0.5242
2016-02-24,0.5362
2016-02-25,0.5117
2016-02-26,0.5672
2016-02-29,0.5652
2016-03-01,0.6282
2016-03-02,0.6362
2016-03-03,0.6312
2016-03-04,0.6607
2016-03-07,0.6972
2016-03-08,0.6572
2016-03-09,0.6827
2016-03-10,0.7217
2016-03-11,0.7552
2016-03-14,0.7512
2016-03-15,0.7732
2016-03-16,0.6692
2016-03-17,0.6782
2016-03-18,0.6607
2016-03-21,0.6982
2016-03-22,0.7242
2016-03-23,0.6952
2016-03-24,0.7072
2016-03-25,0.7102
2016-03-28,0.7057
2016-03-29,0.6302
2016-03-30,0.6012
2016-03-31,0.5822
2016-04-01,0.6122
2016-04-04,0.6012
2016-04-05,0.5762
2016-04-06,0.5922
2016-04-07,0.5612
2016-04-08,0.5782
2016-04-11,0.5752
2016-04-12,0.6002
2016-04-13,0.5952
2016-04-14,0.6082
2016-04-15,0.5832
2016-04-18,0.5952
2016-04-19,0.6192
2016-04-20,0.6572
2016-04-21,0.6602
2016-04-22,0.6682
2016-04-25,0.68235
2016-04-26,0.6932
2016-04-27,0.6602
2016-04-28,0.64055
2016-04-29,0.6422
2016-05-02,0.6572
2016-05-03,0.6222
2016-05-04,0.6052
2016-05-05,0.5852
2016-05-06,0.59975
2016-05-09,0.5692
2016-05-10,0.5877
2016-05-11,0.5902
2016-05-12,0.6142
2016-05-13,0.6062
2016-05-16,0.6402
2016-05-17,0.6832
2016-05-18,0.7487
2016-05-19,0.7532
2016-05-20,0.7472
2016-05-23,0.7652
2016-05-24,0.7937
2016-05-25,0.7897
2016-05-26,0.7512
2016-05-27,0.8062
2016-05-30,0.8212
2016-05-31,0.7662
2016-06-01,0.781
2016-06-02,0.77135
2016-06-03,0.6517
2016-06-06,0.6668
2016-06-07,0.6502
2016-06-08,0.6482
2016-06-09,0.6352
2016-06-10,0.5982
2016-06-13,0.5822
2016-06-14,0.59515
2016-06-15,0.5434
2016-06-16,0.5482
2016-06-17,0.5632
2016-06-20,0.60515
2016-06-21,0.6132
2016-06-22,0.5912
2016-06-23,0.6272
2016-06-24,0.45595
2016-06-27,0.4082
2016-06-28,0.4412
2016-06-29,0.4817
2016-06-30,0.4422
2016-07-01,0.4642
2016-07-04,0.4692
2016-07-05,0.4372
2016-07-06,0.4492
2016-07-07,0.4612
2016-07-08,0.4712
2016-07-11,0.5221
2016-07-12,0.5552
2016-07-13,0.52775
2016-07-14,0.5552
2016-07-15,0.5707
2016-07-18,0.5857
2016-07-19,0.5892
2016-07-20,0.6052
2016-07-21,0.59915
2016-07-22,0.6087
2016-07-25,0.6182
2016-07-26,0.6042
2016-07-27,0.58485
2016-07-28,0.5672
2016-07-29,0.5292
2016-08-01,0.5502
2016-08-02,0.5492
2016-08-03,0.5457
2016-08-04,0.5322
2016-08-05,0.6042
2016-08-08,0.6112
2016-08-09,0.5852
2016-08-10,0.5622
2016-08-11,0.6162
2016-08-12,0.58825
2016-08-15,0.6042
2016-08-16,0.6262
2016-08-17,0.6157
2016-08-18,0.6012
2016-08-19,0.6372
2016-08-22,0.6267
2016-08-23,0.6342
2016-08-24,0.6302
2016-08-25,0.6622
2016-08-26,0.7096
2016-08-29,0.6802
2016-08-30,0.6772
2016-08-31,0.6912
2016-09-01,0.6762
2016-09-02,0.6812
2016-09-05,0.6842
2016-09-06,0.6222
2016-09-07,0.62845
2016-09-08,0.6647
2016-09-09,0.6842
2016-09-12,0.6592
2016-09-13,0.6772
2016-09-14,0.6467
2016-09-15,0.6302
2016-09-16,0.6562
2016-09-19,0.6772
2016-09-20,0.6772
2016-09-21,0.6735
2016-09-22,0.6622
2016-09-23,0.6582
2016-09-26,0.6362
2016-09-27,0.6322
2016-09-28,0.6423
2016-09-29,0.6352
2016-09-30,0.6567
2016-10-03,0.6687
2016-10-04,0.6931
2016-10-05,0.7142
2016-10-06,0.7352
2016-10-07,0.7172
2016-10-10,0.7412
2016-10-11,0.7492
2016-10-12,0.7423
2016-10-13,0.7242
2016-10-14,0.7302
2016-10-17,0.7092
2016-10-18,0.6912
2016-10-19,0.6922
2016-10-20,0.7162
2016-10-21,0.7152
2016-10-24,0.7342
2016-10-25,0.7367
2016-10-26,0.7432
2016-10-27,0.76485
2016-10-28,0.7452
2016-10-31,0.7402
2016-11-01,0.7337
2016-11-02,0.7162
2016-11-03,0.7147
2016-11-04,0.6979
2016-11-07,0.73735
2016-11-08,0.7657
2016-11-09,0.81155
2016-11-10,0.8372
2016-11-11,0.8342
2016-11-14,0.9086
2016-11-15,0.9042
2016-11-16,0.9072
2016-11-17,0.9462
2016-11-18,0.9682
2016-11-21,0.9587
2016-11-22,0.9592
2016-11-23,0.9992
2016-11-24,1.0162
2016-11-25,1.00835
2016-11-28,0.9787
2016-11-29,0.9662
2016-11-30,0.9947
2016-12-01,1.0261
2016-12-02,0.9857
2016-12-05,1.0172
2016-12-06,1.0252
2016-12-07,1.0012
2016-12-08,1.0222
2016-12-09,1.0485
2016-12-12,1.0502
2016-12-13,1.0662
2016-12-14,1.1682
2016-12-15,1.1822
2016-12-16,1.1742
2016-12-19,1.1522
2016-12-20,1.1592
2016-12-21,1.1452
2016-12-22,1.16135
2016-12-23,1.1692
2016-12-26,1.1702
2016-12-27,1.18795
2016-12-28,1.1657
2016-12-29,1.1452
2016-12-30,1.1512
2017-01-02,1.1492
2017-01-03,1.1602
2017-01-04,1.1482
2017-01-05,1.1157
