Date,Value
2016-01-01,0.3816
2016-01-04,0.3911
2016-01-05,0.3936
2016-01-06,0.3936
2016-01-07,0.3916
2016-01-08,0.3941
2016-01-11,0.3961
2016-01-12,0.3946
2016-01-13,0.3971
2016-01-14,0.3936
2016-01-15,0.3946
2016-01-18,0.3936
2016-01-19,0.3931
2016-01-20,0.3911
2016-01-21,0.3946
2016-01-22,0.4016
2016-01-25,0.4036
2016-01-26,0.4036
2016-01-27,0.4046
2016-01-28,0.4091
2016-01-29,0.4086
2016-02-01,0.4156
2016-02-02,0.4141
2016-02-03,0.4166
2016-02-04,0.4156
2016-02-05,0.4136
2016-02-08,0.4126
2016-02-09,0.4126
2016-02-10,0.4126
2016-02-11,0.4126
2016-02-12,0.4151
2016-02-15,0.4141
2016-02-16,0.4151
2016-02-17,0.4201
2016-02-18,0.4191
2016-02-19,0.4201
2016-02-22,0.4191
2016-02-23,0.4221
2016-02-24,0.4246
2016-02-25,0.4246
2016-02-26,0.4281
2016-02-29,0.4251
2016-03-01,0.4266
2016-03-02,0.4246
2016-03-03,0.4226
2016-03-04,0.4226
2016-03-07,0.4216
2016-03-08,0.4196
2016-03-09,0.4176
2016-03-10,0.4191
2016-03-11,0.4266
2016-03-14,0.4221
2016-03-15,0.4191
2016-03-16,0.4036
2016-03-17,0.4066
2016-03-18,0.4076
2016-03-21,0.4086
2016-03-22,0.4076
2016-03-23,0.4076
2016-03-24,0.4081
2016-03-25,0.4091
2016-03-28,0.4096
2016-03-29,0.4076
2016-03-30,0.4081
2016-03-31,0.4051
2016-04-01,0.4056
2016-04-04,0.4046
2016-04-05,0.4056
2016-04-06,0.4036
2016-04-07,0.4046
2016-04-08,0.4031
2016-04-11,0.4026
2016-04-12,0.4036
2016-04-13,0.4036
2016-04-14,0.4041
2016-04-15,0.4041
2016-04-18,0.4051
2016-04-19,0.4046
2016-04-20,0.4051
2016-04-21,0.4061
2016-04-22,0.4061
2016-04-25,0.4041
2016-04-26,0.4076
2016-04-27,0.4051
2016-04-28,0.4066
2016-04-29,0.4066
2016-05-02,0.4066
2016-05-03,0.4056
2016-05-04,0.4051
2016-05-05,0.4066
2016-05-06,0.4066
2016-05-09,0.4061
2016-05-10,0.4071
2016-05-11,0.4071
2016-05-12,0.4071
2016-05-13,0.4061
2016-05-16,0.4076
2016-05-17,0.4116
2016-05-18,0.4191
2016-05-19,0.4246
2016-05-20,0.4256
2016-05-23,0.4341
2016-05-24,0.4381
2016-05-25,0.4401
2016-05-26,0.4381
2016-05-27,0.4511
2016-05-30,0.4476
2016-05-31,0.4416
2016-06-01,0.4411
2016-06-02,0.4421
2016-06-03,0.4141
2016-06-06,0.4131
2016-06-07,0.4131
2016-06-08,0.4106
2016-06-09,0.4131
2016-06-10,0.4126
2016-06-13,0.4101
2016-06-14,0.4111
2016-06-15,0.4081
2016-06-16,0.4131
2016-06-17,0.4131
2016-06-20,0.4141
2016-06-21,0.4131
2016-06-22,0.4151
