Date,Value
2016-01-04,0.3911
2016-01-05,0.3941
2016-01-06,0.3946
2016-01-07,0.3941
2016-01-08,0.3951
2016-01-11,0.3961
2016-01-12,0.3961
2016-01-13,0.4011
2016-01-14,0.4026
2016-01-15,0.4001
2016-01-18,0.4011
2016-01-19,0.4031
2016-01-20,0.3981
2016-01-21,0.4036
2016-01-22,0.4136
2016-01-25,0.4171
2016-01-26,0.4161
2016-01-27,0.4151
2016-01-28,0.4186
2016-01-29,0.4211
2016-02-01,0.4291
2016-02-02,0.4211
2016-02-03,0.4241
2016-02-04,0.4241
2016-02-05,0.4251
2016-02-08,0.4151
2016-02-09,0.4151
2016-02-10,0.4171
2016-02-11,0.4131
2016-02-12,0.4161
2016-02-15,0.4191
2016-02-16,0.4211
2016-02-17,0.4231
2016-02-18,0.4231
2016-02-19,0.4261
2016-02-22,0.4281
2016-02-23,0.4311
2016-02-24,0.4321
2016-02-25,0.4311
2016-02-26,0.4356
2016-02-29,0.4311
2016-03-01,0.4351
2016-03-02,0.4351
2016-03-03,0.4311
2016-03-04,0.4331
2016-03-07,0.4341
2016-03-08,0.4281
2016-03-09,0.4271
2016-03-10,0.4321
2016-03-11,0.4361
2016-03-14,0.4401
2016-03-15,0.4361
2016-03-16,0.4111
2016-03-17,0.4126
2016-03-18,0.4141
2016-03-21,0.4201
2016-03-22,0.4191
2016-03-23,0.4191
2016-03-24,0.4231
2016-03-28,0.4191
2016-03-29,0.4121
2016-03-30,0.4131
2016-03-31,0.4121
2016-04-01,0.4101
2016-04-04,0.4111
2016-04-05,0.4071
2016-04-06,0.4071
2016-04-07,0.4071
2016-04-08,0.4071
2016-04-11,0.4071
2016-04-12,0.4066
2016-04-13,0.4071
2016-04-14,0.4101
2016-04-15,0.4101
2016-04-18,0.4106
2016-04-19,0.4116
2016-04-20,0.4126
2016-04-21,0.4176
2016-04-22,0.4161
2016-04-25,0.4161
2016-04-26,0.4191
2016-04-27,0.4156
2016-04-28,0.4161
2016-04-29,0.4156
2016-05-02,0.4176
2016-05-03,0.4141
2016-05-04,0.4171
2016-05-05,0.4181
2016-05-06,0.4141
2016-05-09,0.4126
2016-05-10,0.4156
2016-05-11,0.4131
2016-05-12,0.4161
2016-05-13,0.4146
2016-05-16,0.4161
2016-05-17,0.4281
2016-05-18,0.4531
2016-05-19,0.4536
2016-05-20,0.4501
2016-05-23,0.4556
2016-05-24,0.4676
2016-05-25,0.4666
2016-05-26,0.4601
2016-05-27,0.4781
2016-05-30,0.4741
2016-05-31,0.4631
2016-06-01,0.4591
2016-06-02,0.4701
2016-06-03,0.4281
2016-06-06,0.4236
2016-06-07,0.4196
2016-06-08,0.4216
2016-06-09,0.4261
2016-06-10,0.4231
2016-06-13,0.4221
2016-06-14,0.4206
2016-06-15,0.4121
2016-06-16,0.4181
2016-06-17,0.4196
2016-06-20,0.4221
2016-06-21,0.4231
2016-06-22,0.4191
2016-06-23,0.4276
2016-06-24,0.3961
2016-06-27,0.4061
2016-06-28,0.4156
2016-06-29,0.4211
2016-06-30,0.4186
2016-07-01,0.4191
2016-07-04,0.4181
2016-07-05,0.4191
2016-07-06,0.4196
2016-07-07,0.4226
2016-07-08,0.4251
2016-07-11,0.4271
2016-07-12,0.4271
2016-07-13,0.4271
2016-07-14,0.4301
2016-07-15,0.4346
2016-07-18,0.4326
2016-07-19,0.4316
2016-07-20,0.4331
2016-07-21,0.4381
2016-07-22,0.4381
2016-07-25,0.4401
2016-07-26,0.4461
2016-07-27,0.4406
2016-07-28,0.4441
2016-07-29,0.4371
2016-08-01,0.4381
2016-08-02,0.4446
2016-08-03,0.4421
2016-08-04,0.4461
2016-08-05,0.4521
2016-08-08,0.4511
2016-08-09,0.4506
2016-08-10,0.4466
2016-08-11,0.4521
2016-08-12,0.4466
2016-08-15,0.4476
2016-08-16,0.4531
2016-08-17,0.4576
2016-08-18,0.4546
2016-08-19,0.4591
2016-08-22,0.4616
2016-08-23,0.4636
2016-08-24,0.4656
2016-08-25,0.4756
2016-08-26,0.4916
2016-08-29,0.4806
2016-08-30,0.4751
2016-08-31,0.4846
2016-09-01,0.4871
2016-09-02,0.4811
2016-09-06,0.4686
2016-09-07,0.4651
2016-09-08,0.4826
2016-09-09,0.4876
2016-09-12,0.4696
2016-09-13,0.4716
2016-09-14,0.4701
2016-09-15,0.4676
2016-09-16,0.4716
2016-09-19,0.4726
2016-09-20,0.4786
2016-09-21,0.4476
2016-09-22,0.4461
2016-09-23,0.4461
2016-09-26,0.4431
2016-09-27,0.4411
2016-09-28,0.4431
2016-09-29,0.4476
2016-09-30,0.4491
2016-10-03,0.4496
2016-10-04,0.4551
2016-10-05,0.4616
2016-10-06,0.4636
2016-10-07,0.4501
2016-10-10,0.4491
2016-10-11,0.4531
2016-10-12,0.4561
2016-10-13,0.4656
2016-10-14,0.4631
2016-10-17,0.4636
2016-10-18,0.4656
2016-10-19,0.4696
2016-10-20,0.4866
2016-10-21,0.4881
2016-10-24,0.4921
2016-10-25,0.4951
2016-10-26,0.4951
2016-10-27,0.5031
2016-10-28,0.5026
2016-10-31,0.5016
2016-11-01,0.5001
2016-11-02,0.5006
2016-11-03,0.5111
2016-11-04,0.5081
2016-11-07,0.5131
2016-11-08,0.5216
2016-11-09,0.5386
2016-11-10,0.5376
2016-11-11,0.5371
