Date,Value
2016-01-01,0.4992
2016-01-04,0.4977
2016-01-05,0.4932
2016-01-06,0.4832
2016-01-07,0.4772
2016-01-08,0.4812
2016-01-11,0.4842
2016-01-12,0.4822
2016-01-13,0.4832
2016-01-14,0.4742
2016-01-15,0.4542
2016-01-18,0.4572
2016-01-19,0.4752
2016-01-20,0.4497
2016-01-21,0.4517
2016-01-22,0.4672
2016-01-25,0.4712
2016-01-26,0.4682
2016-01-27,0.4622
2016-01-28,0.4592
2016-01-29,0.4522
2016-02-01,0.4652
2016-02-02,0.4422
2016-02-03,0.4482
2016-02-04,0.4482
2016-02-05,0.4552
2016-02-08,0.4262
2016-02-09,0.4222
2016-02-10,0.4242
2016-02-11,0.4112
2016-02-12,0.4212
2016-02-15,0.4282
2016-02-16,0.4292
2016-02-17,0.4392
2016-02-18,0.4332
2016-02-19,0.4462
2016-02-22,0.4552
2016-02-23,0.4552
2016-02-24,0.4572
2016-02-25,0.4562
2016-02-26,0.4752
2016-02-29,0.4662
2016-03-01,0.4822
2016-03-02,0.4792
2016-03-03,0.4742
2016-03-04,0.4807
2016-03-07,0.4952
2016-03-08,0.4867
2016-03-09,0.4932
2016-03-10,0.4987
2016-03-11,0.5092
2016-03-14,0.5172
2016-03-15,0.5202
2016-03-16,0.4662
2016-03-17,0.4732
2016-03-18,0.4767
2016-03-21,0.4907
2016-03-22,0.4982
2016-03-23,0.4842
2016-03-24,0.4922
2016-03-25,0.4932
2016-03-28,0.4882
2016-03-29,0.4632
2016-03-30,0.4552
2016-03-31,0.4532
2016-04-01,0.4622
2016-04-04,0.4562
2016-04-05,0.4462
2016-04-06,0.4522
2016-04-07,0.4422
2016-04-08,0.4482
2016-04-11,0.4462
2016-04-12,0.4512
2016-04-13,0.4512
2016-04-14,0.4527
2016-04-15,0.4482
2016-04-18,0.4492
2016-04-19,0.4587
2016-04-20,0.4697
2016-04-21,0.4702
2016-04-22,0.4732
2016-04-25,0.4747
2016-04-26,0.4757
2016-04-27,0.4662
2016-04-28,0.4627
2016-04-29,0.4637
2016-05-02,0.4637
2016-05-03,0.4582
2016-05-04,0.4577
2016-05-05,0.4542
2016-05-06,0.4557
2016-05-09,0.4462
2016-05-10,0.4502
2016-05-11,0.4482
2016-05-12,0.4542
2016-05-13,0.4532
2016-05-16,0.4612
2016-05-17,0.4892
2016-05-18,0.5392
2016-05-19,0.5372
2016-05-20,0.5362
2016-05-23,0.5502
2016-05-24,0.5597
2016-05-25,0.5562
2016-05-26,0.5437
2016-05-27,0.5742
2016-05-30,0.5732
2016-05-31,0.5472
2016-06-01,0.5472
2016-06-02,0.5517
2016-06-03,0.4822
2016-06-06,0.4822
2016-06-07,0.4742
2016-06-08,0.4752
2016-06-09,0.4737
2016-06-10,0.4632
2016-06-13,0.4562
2016-06-14,0.4612
2016-06-15,0.4392
2016-06-16,0.4427
2016-06-17,0.4457
2016-06-20,0.4652
2016-06-21,0.4667
2016-06-22,0.4577
2016-06-23,0.4732
2016-06-24,0.3822
2016-06-27,0.3777
2016-06-28,0.3997
2016-06-29,0.4182
2016-06-30,0.4057
2016-07-01,0.4162
2016-07-04,0.4202
2016-07-05,0.4157
2016-07-06,0.4157
2016-07-07,0.4212
2016-07-08,0.4332
2016-07-11,0.4432
2016-07-12,0.4567
2016-07-13,0.4462
2016-07-14,0.4577
2016-07-15,0.4617
2016-07-18,0.4642
2016-07-19,0.4722
2016-07-20,0.4787
2016-07-21,0.4842
2016-07-22,0.4812
2016-07-25,0.4872
2016-07-26,0.4877
2016-07-27,0.4822
2016-07-28,0.4812
2016-07-29,0.4632
2016-08-01,0.4662
2016-08-02,0.4707
2016-08-03,0.4757
2016-08-04,0.4732
2016-08-05,0.4922
2016-08-08,0.4922
2016-08-09,0.4852
2016-08-10,0.4757
2016-08-11,0.4932
2016-08-12,0.4792
2016-08-15,0.4867
2016-08-16,0.5002
2016-08-17,0.5002
2016-08-18,0.4967
2016-08-19,0.5082
2016-08-22,0.5122
2016-08-23,0.5167
2016-08-24,0.5192
2016-08-25,0.5322
2016-08-26,0.5532
2016-08-29,0.5422
2016-08-30,0.5372
2016-08-31,0.5462
2016-09-01,0.5437
2016-09-02,0.5422
2016-09-05,0.5472
2016-09-06,0.5192
2016-09-07,0.5187
2016-09-08,0.5407
2016-09-09,0.5432
2016-09-12,0.5337
2016-09-13,0.5342
2016-09-14,0.5242
2016-09-15,0.5212
2016-09-16,0.5332
2016-09-19,0.5397
2016-09-20,0.5452
2016-09-21,0.5312
2016-09-22,0.5292
2016-09-23,0.5277
2016-09-26,0.5152
2016-09-27,0.5112
2016-09-28,0.5242
2016-09-29,0.5227
2016-09-30,0.5352
2016-10-03,0.5417
2016-10-04,0.5497
2016-10-05,0.5597
2016-10-06,0.5667
2016-10-07,0.5572
2016-10-10,0.5607
2016-10-11,0.5712
2016-10-12,0.5692
2016-10-13,0.5697
2016-10-14,0.5702
2016-10-17,0.5667
2016-10-18,0.5607
2016-10-19,0.5612
2016-10-20,0.5762
2016-10-21,0.5782
2016-10-24,0.5882
2016-10-25,0.5932
2016-10-26,0.5922
2016-10-27,0.5992
2016-10-28,0.5922
2016-10-31,0.5912
2016-11-01,0.5907
2016-11-02,0.5847
2016-11-03,0.5872
2016-11-04,0.5802
2016-11-07,0.5952
2016-11-08,0.6092
2016-11-09,0.6132
2016-11-10,0.6092
2016-11-11,0.6102
2016-11-14,0.6342
2016-11-15,0.6372
2016-11-16,0.6387
2016-11-17,0.6552
2016-11-18,0.6582
2016-11-21,0.6647
2016-11-22,0.6712
2016-11-23,0.6872
2016-11-24,0.6932
2016-11-25,0.6892
2016-11-28,0.6827
2016-11-29,0.6792
2016-11-30,0.6882
2016-12-01,0.6982
2016-12-02,0.6927
2016-12-05,0.7012
2016-12-06,0.7067
2016-12-07,0.7057
2016-12-08,0.7162
2016-12-09,0.7212
2016-12-12,0.7227
2016-12-13,0.7272
2016-12-14,0.7412
2016-12-15,0.7392
2016-12-16,0.7362
2016-12-19,0.7332
2016-12-20,0.7357
2016-12-21,0.7362
2016-12-22,0.7422
2016-12-23,0.7432
2016-12-26,0.7432
2016-12-27,0.7482
2016-12-28,0.7462
2016-12-29,0.7502
2016-12-30,0.7502
2017-01-02,0.7492
2017-01-03,0.7627
2017-01-04,0.7602
2017-01-05,0.7592
2017-01-06,0.7702
2017-01-09,0.7652
2017-01-10,0.7652
2017-01-11,0.7647
2017-01-12,0.7662
2017-01-13,0.7712
2017-01-16,0.7662
2017-01-17,0.7622
2017-01-18,0.7832
2017-01-19,0.7932
2017-01-20,0.7872
2017-01-23,0.7757
2017-01-24,0.7912
2017-01-25,0.7992
2017-01-26,0.8052
2017-01-27,0.8022
2017-01-30,0.7982
2017-01-31,0.7982
2017-02-01,0.7947
2017-02-02,0.8002
2017-02-03,0.7952
2017-02-06,0.7802
2017-02-07,0.7847
2017-02-08,0.7782
2017-02-09,0.7962
2017-02-10,0.8057
2017-02-13,0.8112
2017-02-14,0.8252
2017-02-15,0.8522
2017-02-16,0.8422
2017-02-17,0.8342
2017-02-20,0.8352
2017-02-21,0.8512
2017-02-22,0.8492
2017-02-23,0.8522
2017-02-24,0.8542
2017-02-27,0.8772
2017-02-28,0.9327
2017-03-01,0.9352
2017-03-02,0.9642
2017-03-03,0.9652
2017-03-06,0.9642
2017-03-07,0.9742
2017-03-08,0.9822
2017-03-09,0.9982
2017-03-10,1.0087
2017-03-13,1.0152
2017-03-14,1.0152
2017-03-15,1.0032
2017-03-16,1.0172
2017-03-17,1.0202
2017-03-20,1.0152
2017-03-21,1.0212
2017-03-22,1.0162
2017-03-23,1.0232
2017-03-24,1.0252
2017-03-27,1.0182
2017-03-28,1.0252
2017-03-29,1.0232
2017-03-30,1.0372
2017-03-31,1.0437
2017-04-03,1.0382
2017-04-04,1.0472
2017-04-05,1.0552
2017-04-06,1.0657
2017-04-07,1.0652
2017-04-10,1.0612
2017-04-11,1.0522
2017-04-12,1.0437
2017-04-13,1.0502
2017-04-14,1.0522
2017-04-17,1.0452
2017-04-18,1.0272
2017-04-19,1.0412
2017-04-20,1.0592
2017-04-21,1.0522
2017-04-24,1.0892
2017-04-25,1.1002
2017-04-26,1.1012
2017-04-27,1.1012
2017-04-28,1.1047
2017-05-01,1.1042
2017-05-02,1.1022
2017-05-03,1.1162
2017-05-04,1.1232
2017-05-05,1.1362
2017-05-08,1.1522
2017-05-09,1.1577
2017-05-10,1.1572
2017-05-11,1.1542
2017-05-12,1.1352
2017-05-15,1.1352
2017-05-16,1.1382
2017-05-17,1.1012
